,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
83,Gelson Martins,2,1,28.5,78.1,0.9,0.3,0.0,6.94
84,Eiji Kawashima,0.0,0.0,33.0,54.5,0.0,14.0,0.0,6.94
85,Gaëtan Poussin,0.0,0.0,33.0,54.5,0.0,10.0,0.0,6.94
86,Youri Tielemans,1,1,45.5,79.9,0.5,2.8,0.1,6.94
87,Kenny Tete,3,1.5,48.7,84.0,1.2,1.8,0.0,6.94
88,Xavier Chavalerin,2,1.3,39.0,80.5,0.8,2.9,0.0,6.94
89,Bertrand Traoré,2,0.7,29.3,82.5,0.2,0.9,0.1,6.93
90,Pedro Mendes,0.0,0.3,41.0,82.1,0.1,4.6,0.0,6.93
91,Ludovic Ajorque,1,0.5,18.1,74.8,0.0,0.8,0.0,6.93
92,Jacques-Alaixys Romao,3,0.3,39.7,79.1,0.1,2.4,0.1,6.92
93,William Saliba,0.0,0.1,40.3,85.6,0.0,2.9,0.0,6.91
94,Rony Lopes,2,2,21.8,74.2,1.9,0.3,0.1,6.91
95,Wylan Cyprien,2,2.1,64.7,87.5,1.2,4.3,0.1,6.91
96,Djegui Koita,0.0,0.0,29.0,70.7,0.0,3.0,0.0,6.91
97,Damien Le Tallec,0.0,0.6,34.4,79.1,0.0,2.1,0.0,6.91
98,Yann M'Vila,1,0.7,61.8,86.2,0.1,6.5,0.1,6.91
99,Jordan Amavi,2,0.9,34.5,79.5,0.8,1.3,0.0,6.91
100,Fodé Ballo-Touré,1,0.4,32.7,77.8,0.2,0.9,0.0,6.9
101,Franck Tabanou,0.0,0.0,32.5,76.9,0.0,1.5,0.0,6.9
102,Diego Carlos,0.0,0.3,48.0,82.5,0.1,4.0,0.0,6.9
103,Baba Rahman,1,0.4,41.3,79.7,0.4,1.5,0.0,6.9
104,Serigne Modou Kara Mbodji,0.0,0.2,33.5,78.1,0.0,2.2,0.0,6.89
105,Mehmet Zeki Çelik,5,1,37.2,76.9,0.6,1.1,0.1,6.89
106,Vincent Manceau,1,0.6,40.5,82.2,0.4,2.0,0.1,6.89
107,Faycal Fajr,4,1.5,53.0,81.4,1.5,7.1,0.1,6.88
108,M'Baye Niang,4,0.4,13.5,72.6,0.1,0.6,0.0,6.88
109,Anthony Briançon,2,0.2,39.4,81.2,0.1,4.5,0.0,6.88
110,Issiaga Sylla,0.0,0.7,37.5,77.9,0.4,1.5,0.0,6.88
111,Christopher Nkunku,2,0.8,27.9,91.0,0.1,0.4,0.2,6.88
112,Gianluigi Buffon,0.0,0.0,19.4,90.0,0.0,2.0,0.0,6.88
113,Damien Da Silva,1,0.1,42.9,87.8,0.0,2.4,0.0,6.88
114,Adrien Silva,0.0,0.4,48.7,83.2,0.2,3.6,0.0,6.87
115,Pedro Rebocho,8,1.5,40.4,79.7,1.8,2.1,0.0,6.87
116,Ismaël Aaneba,0.0,0.7,28.0,64.3,0.7,1.3,0.0,6.87
117,Dante,1,0.2,66.6,91.5,0.0,3.4,0.0,6.87
118,Pierrick Capelle,3,1,31.0,83.9,0.7,1.2,0.0,6.87
119,Jeff Reine-Adélaïde,3,1,31.2,84.1,0.0,0.9,0.1,6.87
120,Mario Balotelli,0.0,0.5,15.2,68.9,0.0,0.7,0.0,6.86
121,Ramy Bensebaini,0.0,0.4,41.2,77.9,0.3,2.0,0.0,6.86
122,Benjamin Lecomte,0.0,0.0,29.7,63.9,0.0,9.5,0.0,6.86
123,Christopher Jullien,0.0,0.3,43.4,83.0,0.0,3.6,0.0,6.86
124,Stéphane Ruffier,0.0,0.0,27.9,57.6,0.0,5.9,0.0,6.86
125,Morgan Sanson,3,0.7,39.1,82.9,0.4,3.0,0.1,6.86
126,Pierre Lees-Melou,1,1,47.0,85.7,0.5,2.7,0.0,6.85
127,Abdoulaye Touré,1,0.7,39.8,80.4,0.2,1.6,0.1,6.85
128,Radamel Falcao,2,0.5,19.8,77.4,0.1,0.4,0.1,6.85
129,Sofiane Alakouch,0.0,0.8,32.1,74.3,0.2,1.2,0.1,6.85
130,Malang Sarr,1,0.2,59.5,89.8,0.1,3.9,0.0,6.85
131,Félix Eboa Eboa,0.0,0.2,35.2,77.4,0.1,2.1,0.0,6.85
