,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
38,Hiroki Sakai,2.1,1.4,1.2,0.3,2.4,0.9,0.4,0.0,1.0,4.0,0.2,1.0,0.4,0.9,0.0,0.6,0.9,4.0,1.0,43.2,81.6,0.3,1.3,0.0
39,Serhou Guirassy,0.5,0.3,1.2,0.0,1.1,0.3,0.0,0.0,3.0,1.0,2.1,1.0,0.7,3.1,0.5,2.4,3.5,1.0,1.0,24.5,65.2,0.1,0.5,0.0
40,Vukasin Jovanovic,1.6,2.3,1.1,0.7,6.5,0.4,0.8,0.0,0.0,0.0,0.1,0.1,0.3,1.0,0.0,0.0,0.3,0.0,0.1,50.0,85.0,0.0,4.3,0.0
41,Erik Pieters,3.3,1.1,1.1,0.3,3.3,0.5,0.9,0.0,1.0,1.0,0.8,0.8,0.5,1.5,0.0,0.4,1.2,1.0,0.8,34.8,71.1,0.7,2.3,0.0
42,Christophe Hérelle,2.2,1.8,1.0,0.5,4.6,0.3,0.5,0.0,0.0,0.0,0.5,0.2,0.2,1.4,0.0,0.2,0.5,0.0,0.2,65.8,88.7,0.1,3.1,0.0
43,Marco Verratti,2.8,0.7,1.3,0.0,0.3,1.7,0.0,0.0,0.0,2.0,0.1,1.1,1.3,2.2,0.0,1.4,0.8,2.0,1.1,79.5,90.9,0.0,2.6,0.5
44,Thomas Meunier,2.0,0.8,1.0,0.0,1.0,0.6,0.1,1.0,3.0,3.0,0.9,0.9,0.4,0.2,0.2,0.5,0.6,3.0,0.9,37.5,84.5,0.5,1.2,0.0
45,Loïc Mbe Soh,0.0,1.5,0.5,1.0,2.5,1.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,63.5,91.3,0.0,0.5,0.0
46,Thiago Silva,0.6,1.3,0.8,0.4,3.7,0.2,0.8,0.0,0.0,1.0,0.5,0.2,0.1,1.0,0.0,0.1,0.2,1.0,0.2,75.0,94.2,0.0,3.5,0.1
47,Ibrahim Sangaré,3.6,1.0,1.8,0.0,1.7,1.1,0.7,0.0,1.0,3.0,1.3,0.7,1.8,1.4,0.1,1.2,1.9,3.0,0.7,54.1,79.6,0.0,3.9,0.1
48,Houssem Aouar,1.7,0.9,0.8,0.0,0.5,1.2,0.2,0.0,7.0,7.0,1.9,1.2,1.6,1.4,0.3,1.8,1.6,7.0,1.2,55.6,86.7,0.1,2.3,0.1
49,Walter Benítez,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,26.9,75.2,0.0,4.8,0.0
50,Florent Mollet,1.1,0.7,1.4,0.0,0.1,1.2,0.0,0.0,6.0,4.0,2.6,2.1,0.6,1.0,0.2,1.5,1.5,4.0,2.1,39.8,87.3,2.0,2.4,0.0
51,Nicolas Pallois,3.2,1.4,1.0,0.2,4.6,1.2,0.6,0.0,2.0,0.0,0.8,0.2,0.9,0.5,0.1,0.4,0.6,0.0,0.2,43.5,77.1,0.0,3.9,0.0
52,Gaëtan Laborde,1.0,0.2,0.9,0.0,0.7,0.4,0.1,0.0,11.0,4.0,2.4,1.0,1.2,1.0,0.2,1.7,2.5,4.0,1.0,24.1,67.4,0.1,0.4,0.1
53,Renaud Ripart,2.0,0.7,1.0,0.1,1.9,1.2,0.2,0.0,8.0,4.0,1.8,0.8,0.4,1.8,0.2,1.3,2.2,4.0,0.8,25.8,73.3,0.3,0.7,0.1
54,Wesley Fofana,3.5,2.0,1.0,0.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,39.0,88.5,0.0,2.5,0.0
55,Dani Alves,1.8,0.3,1.9,0.1,0.3,1.1,0.2,1.0,1.0,7.0,1.2,1.4,0.7,1.0,0.2,1.0,1.0,7.0,1.4,63.1,85.6,0.7,2.2,0.3
56,Julian Draxler,1.3,0.5,0.8,0.0,0.1,0.9,0.0,0.0,3.0,7.0,1.0,1.3,1.4,0.5,0.0,1.4,1.1,7.0,1.3,49.5,89.8,0.4,1.3,0.1
57,Jonathan Bamba,0.8,1.1,0.7,0.0,0.2,0.7,0.0,0.0,13.0,3.0,1.8,1.1,0.9,1.7,0.1,2.2,2.1,3.0,1.1,30.1,79.6,0.3,0.9,0.2
58,Ghislain Konan,2.3,2.0,0.8,0.3,2.3,0.8,0.2,0.0,0.0,1.0,0.1,0.9,1.3,1.5,0.2,0.8,1.8,1.0,0.9,34.6,77.5,0.8,1.6,0.0
59,Naïm Sliti,1.6,0.3,0.9,0.0,0.3,0.9,0.0,0.0,3.0,4.0,1.8,2.1,2.4,2.0,0.3,1.8,2.5,4.0,2.1,22.6,76.8,1.3,1.1,0.1
60,Léo Dubois,2.0,0.9,1.2,0.1,1.9,0.6,0.4,0.0,1.0,6.0,0.7,1.0,0.5,0.6,0.1,0.5,0.8,6.0,1.0,48.6,85.6,1.0,1.8,0.0
61,Emiliano Sala,0.4,0.1,0.8,0.0,1.1,0.4,0.1,0.0,12.0,2.0,1.9,1.2,0.2,1.8,0.7,1.6,2.8,2.0,1.2,19.1,64.2,0.1,0.1,0.1
62,Marcus Thuram,1.4,0.3,1.4,0.0,0.4,0.7,0.0,0.0,9.0,1.0,1.9,1.1,3.2,1.4,0.2,2.9,3.0,1.0,1.1,24.5,73.2,0.3,0.3,0.0
63,Ellyes Skhiri,2.8,1.6,1.1,0.0,1.0,1.3,0.2,0.0,3.0,2.0,0.7,0.6,0.9,0.9,0.0,0.9,1.0,2.0,0.6,44.5,85.7,0.1,2.8,0.0
64,Tanguy Ndombele,1.9,0.9,1.2,0.0,0.3,0.9,0.3,0.0,1.0,7.0,0.9,1.4,1.9,2.1,0.0,1.5,1.7,7.0,1.4,57.7,89.1,0.0,1.6,0.1
65,Ismaila Sarr,1.0,0.4,1.0,0.0,0.1,0.5,0.1,0.0,8.0,6.0,1.5,1.1,1.8,2.8,0.3,1.9,2.6,6.0,1.1,19.8,76.5,0.3,0.3,0.0
66,Thilo Kehrer,2.4,1.1,1.0,0.3,2.3,0.9,0.7,0.0,1.0,2.0,0.5,0.2,0.1,0.7,0.0,0.3,0.3,2.0,0.2,49.5,92.7,0.1,1.4,0.0
67,Pablo Martinez,1.6,1.6,0.9,0.3,3.9,0.6,0.7,0.0,3.0,1.0,0.4,0.1,0.2,1.5,0.0,0.1,0.3,1.0,0.1,49.4,84.2,0.1,5.9,0.0
68,Yunis Abdelhamid,1.6,1.7,0.9,0.3,4.8,0.3,0.6,1.0,0.0,0.0,0.5,0.1,0.6,0.5,0.0,0.2,0.4,0.0,0.1,42.2,82.9,0.0,2.8,0.0
69,Samuel Kalu,1.3,0.4,0.9,0.0,0.1,0.3,0.1,0.0,3.0,2.0,2.0,1.4,2.2,1.8,0.1,1.9,1.7,2.0,1.4,22.1,71.8,1.2,1.1,0.0
70,José Fonte,0.8,1.0,0.8,0.5,4.2,0.2,0.7,0.0,3.0,1.0,0.9,0.2,0.1,0.4,0.0,0.1,0.4,1.0,0.2,61.4,87.4,0.0,3.5,0.0
71,Frédéric Guilbert,2.9,2.3,1.7,0.3,3.1,1.2,0.6,0.0,1.0,2.0,0.3,0.7,0.9,1.1,0.0,0.7,1.3,2.0,0.7,31.6,74.2,0.4,1.9,0.0
72,Ole Selnaes,2.2,1.0,1.5,0.1,1.4,1.1,0.4,0.0,0.0,5.0,0.6,1.1,0.6,0.6,0.1,0.6,0.8,5.0,1.1,44.8,82.5,0.5,4.2,0.3
73,Sanjin Prcic,1.5,1.4,0.8,0.0,0.5,0.8,0.6,0.0,2.0,1.0,1.2,1.5,0.9,0.3,0.0,0.5,0.7,1.0,1.5,54.2,87.5,1.1,7.4,0.1
74,Bouna Sarr,2.3,1.3,1.3,0.1,1.7,0.6,0.1,0.0,1.0,1.0,0.7,1.0,1.9,1.1,0.1,1.0,1.4,1.0,1.0,37.4,85.2,0.8,1.1,0.0
75,Loic Perrin,1.7,1.4,0.8,0.5,3.6,0.4,0.8,0.0,1.0,1.0,0.4,0.3,0.2,0.6,0.0,0.2,0.3,1.0,0.3,51.8,86.1,0.0,3.3,0.0
76,Cheikh N'Doye,0.9,0.9,1.2,0.0,2.1,0.8,0.3,0.0,0.0,3.0,1.5,0.6,0.2,0.9,0.1,1.0,1.4,3.0,0.6,31.6,61.0,0.1,0.6,0.1
77,Jonas Martin,2.0,1.3,1.5,0.0,1.7,0.7,0.5,0.0,3.0,1.0,0.9,1.0,0.8,1.0,0.0,1.3,0.9,1.0,1.0,65.4,88.4,0.2,4.4,0.0
78,Moussa Dembele,0.4,0.1,1.1,0.0,0.4,0.3,0.1,0.0,15.0,4.0,2.7,0.9,0.8,0.4,0.5,1.2,2.0,4.0,0.9,12.2,74.6,0.2,0.2,0.0
79,Leandro Paredes,2.1,0.9,0.9,0.1,1.3,1.1,0.3,0.0,0.0,2.0,0.9,1.1,0.3,1.4,0.0,0.5,0.3,2.0,1.1,79.1,92.1,0.7,4.5,0.3
80,Fodé Ballo-Touré,2.6,1.6,0.9,0.1,1.7,1.1,0.1,1.0,0.0,3.0,0.2,1.0,1.7,1.2,0.1,0.8,1.2,3.0,1.0,33.6,79.8,0.9,0.9,0.1
81,Alexander Djiku,1.5,2.7,1.6,0.5,5.8,0.6,1.0,0.0,1.0,0.0,0.2,0.1,0.3,1.4,0.0,0.4,0.5,0.0,0.1,45.3,83.0,0.0,4.4,0.0
82,Charles Traoré,3.1,1.5,2.0,0.1,2.7,0.8,0.2,0.0,0.0,0.0,0.5,0.5,0.1,1.7,0.0,0.7,1.1,0.0,0.5,32.2,71.8,0.6,1.2,0.0
83,Gelson Martins,1.3,0.5,0.9,0.0,0.4,1.2,0.1,0.0,4.0,2.0,1.9,1.0,1.6,1.6,0.1,1.4,3.0,2.0,1.0,28.5,78.1,0.9,0.3,0.0
84,Eiji Kawashima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,54.5,0.0,14.0,0.0
85,Gaëtan Poussin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,54.5,0.0,10.0,0.0
86,Youri Tielemans,2.3,0.9,1.1,0.1,1.0,1.2,0.2,0.0,5.0,1.0,1.8,1.0,0.9,1.6,0.0,0.9,1.4,1.0,1.0,45.5,79.9,0.5,2.8,0.1
87,Kenny Tete,2.3,1.4,1.5,0.5,2.0,0.5,0.4,0.0,0.0,3.0,0.6,1.5,0.1,0.9,0.1,0.5,1.4,3.0,1.5,48.7,84.0,1.2,1.8,0.0
88,Xavier Chavalerin,2.9,2.0,1.3,0.0,0.9,1.2,0.3,0.0,2.0,2.0,0.6,1.3,0.6,0.3,0.0,0.5,0.8,2.0,1.3,39.0,80.5,0.8,2.9,0.0
89,Bertrand Traoré,1.1,0.4,0.6,0.0,0.4,0.4,0.1,0.0,7.0,2.0,1.9,0.7,1.5,1.3,0.5,1.1,1.9,2.0,0.7,29.3,82.5,0.2,0.9,0.1
90,Pedro Mendes,2.3,1.5,1.5,0.4,2.1,0.5,0.7,0.0,1.0,0.0,0.3,0.3,0.4,1.5,0.0,0.3,0.5,0.0,0.3,41.0,82.1,0.1,4.6,0.0
91,Ludovic Ajorque,0.7,0.2,1.8,0.0,0.4,0.2,0.0,0.0,9.0,1.0,1.8,0.5,0.4,0.6,0.1,0.9,1.6,1.0,0.5,18.1,74.8,0.0,0.8,0.0
92,Jacques-Alaixys Romao,3.2,1.6,2.5,0.0,1.8,1.6,0.4,0.0,0.0,3.0,0.4,0.3,0.7,2.3,0.0,0.7,1.1,3.0,0.3,39.7,79.1,0.1,2.4,0.1
93,William Saliba,2.0,1.8,0.6,0.1,2.7,0.5,0.6,0.0,0.0,0.0,0.3,0.1,0.6,0.7,0.0,0.5,0.7,0.0,0.1,40.3,85.6,0.0,2.9,0.0
94,Rony Lopes,1.4,0.3,0.7,0.0,0.3,0.5,0.0,0.0,2.0,2.0,2.1,2.0,1.2,1.2,0.2,1.0,2.0,2.0,2.0,21.8,74.2,1.9,0.3,0.1
95,Wylan Cyprien,1.4,0.4,0.8,0.0,0.5,1.0,0.2,0.0,4.0,2.0,1.8,2.1,0.7,1.7,0.0,0.8,1.0,2.0,2.1,64.7,87.5,1.2,4.3,0.1
96,Djegui Koita,4.0,0.0,0.5,0.0,4.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,29.0,70.7,0.0,3.0,0.0
97,Damien Le Tallec,2.6,1.6,1.5,0.0,1.3,1.6,0.2,0.0,3.0,0.0,0.9,0.6,0.1,0.7,0.0,0.4,0.6,0.0,0.6,34.4,79.1,0.0,2.1,0.0
98,Yann M'Vila,1.9,2.0,0.5,0.0,2.1,1.2,0.3,0.0,0.0,1.0,0.4,0.7,0.3,0.9,0.0,0.5,0.5,1.0,0.7,61.8,86.2,0.1,6.5,0.1
99,Jordan Amavi,2.6,1.6,1.6,0.3,2.8,0.8,0.3,0.0,0.0,2.0,0.9,0.9,0.8,1.2,0.0,0.9,1.3,2.0,0.9,34.5,79.5,0.8,1.3,0.0
100,Fodé Ballo-Touré,2.6,1.5,0.7,0.6,1.9,0.6,0.4,0.0,0.0,1.0,0.2,0.4,1.0,1.6,0.1,1.2,1.4,1.0,0.4,32.7,77.8,0.2,0.9,0.0
101,Franck Tabanou,2.0,3.0,1.5,0.0,6.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,32.5,76.9,0.0,1.5,0.0
102,Diego Carlos,1.7,1.5,1.3,0.6,5.2,0.2,0.9,0.0,1.0,0.0,0.9,0.3,0.2,0.7,0.1,0.1,0.5,0.0,0.3,48.0,82.5,0.1,4.0,0.0
103,Baba Rahman,2.4,1.5,1.4,0.1,3.0,0.3,0.3,0.0,1.0,1.0,0.5,0.4,1.2,1.2,0.0,0.7,1.4,1.0,0.4,41.3,79.7,0.4,1.5,0.0
104,Serigne Modou Kara Mbodji,2.0,1.0,0.3,0.5,4.0,0.3,0.2,0.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0,0.3,0.5,0.0,0.2,33.5,78.1,0.0,2.2,0.0
105,Mehmet Zeki Çelik,2.6,1.0,1.6,0.3,1.9,1.6,0.1,0.0,1.0,5.0,0.4,1.0,0.5,0.8,0.0,0.6,0.9,5.0,1.0,37.2,76.9,0.6,1.1,0.1
106,Vincent Manceau,3.2,1.4,0.9,0.4,2.3,0.9,0.3,1.0,1.0,1.0,0.5,0.6,0.4,1.1,0.0,0.5,0.8,1.0,0.6,40.5,82.2,0.4,2.0,0.1
107,Faycal Fajr,1.8,0.8,1.2,0.0,0.4,1.1,0.2,0.0,5.0,4.0,1.4,1.5,0.8,2.5,0.1,1.0,1.3,4.0,1.5,53.0,81.4,1.5,7.1,0.1
108,M'Baye Niang,0.6,0.3,1.5,0.0,0.4,0.3,0.1,0.0,11.0,4.0,2.2,0.4,0.6,1.6,0.4,1.2,2.3,4.0,0.4,13.5,72.6,0.1,0.6,0.0
109,Anthony Briançon,1.4,2.1,0.9,0.4,5.4,0.7,1.2,0.0,2.0,2.0,0.6,0.2,0.1,0.7,0.0,0.1,0.2,2.0,0.2,39.4,81.2,0.1,4.5,0.0
