,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
397,Kepa Arrizabalaga,,,,,0.4,,,,6.36
398,Hamza Choudhury,0.9,1.2,0.6,,0.6,1.1,0.3,,6.35
399,Roberto Pereyra,0.7,0.5,0.8,,0.2,0.7,,,6.35
400,Michael McGovern,,,,,1.5,,,,6.35
401,Tommy Doyle,,,,,,1,,,6.35
402,Billy Gilmour,0.8,0.5,0.5,,0.3,0.3,,,6.35
403,Xherdan Shaqiri,0.1,,0.1,,,0.1,,,6.34
404,Michael Obafemi,0.3,0.3,0.5,,,0.6,,,6.34
405,Adam Lallana,1.3,0.3,0.5,0.1,0.1,1,,,6.34
406,Billy Sharp,0.2,,0.8,,0.1,0.2,,,6.34
407,Luke Freeman,0.5,0.9,0.5,,0.5,0.5,,,6.33
408,Adrián,0.1,,,,1.1,,,,6.33
409,DeAndre Yedlin,1.1,0.6,0.5,0.3,1,0.5,0.4,,6.33
410,Juan Mata,0.4,,0.4,,0.1,0.2,0.1,,6.33
411,Muhamed Besic,0.9,0.1,0.7,,0.7,0.3,,,6.33
412,Jake Vokins,2,,,,1,,,,6.32
413,Jed Steer,,,,,,,,,6.32
414,Timothy Fosu-Mensah,0.3,1.3,1.7,,0.3,1,,,6.32
415,Moise Kean,0.2,0.2,0.9,,,,,,6.32
416,Ryan Sessegnon,1,0.5,0.7,,1.7,0.5,,,6.32
417,Joseph Willock,0.9,0.1,0.3,,0.3,0.4,0.1,,6.31
418,Patrick Cutrone,0.3,0.2,0.4,,0.1,0.3,0.1,,6.31
419,Ki Sung-Yueng,0.3,1,0.3,,0.7,0.7,,,6.31
420,Cenk Tosun,0.4,,0.8,,0.2,0.2,,,6.31
421,Ruben Loftus-Cheek,,0.3,0.3,,0.3,0.3,0.1,,6.31
422,Lewis Cook,1,0.6,0.9,,0.6,1.4,0.2,,6.31
423,Darren Randolph,,,,,1,,,,6.31
424,Jesse Lingard,0.7,0.1,1.3,,,0.6,,,6.3
425,Emil Krafth,1.1,0.5,0.2,,2.4,0.6,0.5,,6.3
426,Chicharito,,0.5,,,,0.5,,,6.3
427,Robbie Brady,0.6,0.3,0.5,0.1,0.4,0.4,0.1,,6.3
428,Arnaut Danjuma,0.3,0.6,,,0.2,0.2,,,6.3
429,Emile Smith Rowe,0.5,0.5,,,1,1,,,6.3
430,Christian Atsu,0.5,0.3,0.6,,0.3,0.5,,,6.29
431,Florin Andone,0.3,,0.7,,0.3,,0.3,,6.29
432,Nathan Tella,,,,,,,,,6.29
433,Jairo Riedewald,0.8,1,0.2,0.1,1.1,0.2,0.1,,6.29
434,Jürgen Locadia,,,,,,,,,6.27
435,Callum Robinson,0.4,0.4,0.7,,0.2,0.3,,,6.27
436,Adrian Mariappa,1,0.6,1,0.4,3.4,1,0.4,1,6.25
437,Jota,0.3,0.3,0.6,,0.5,0.3,,,6.25
438,Glenn Murray,0.2,,0.7,,0.5,0.3,0.1,,6.25
439,Mamadou Sakho,0.5,1.4,0.2,0.3,3.1,0.2,0.4,,6.24
440,Ezequiel Schelotto,0.4,0.8,0.8,0.1,1.4,0.7,,,6.24
441,Ignacio Pussetto,1,0.4,0.4,,0.4,0.7,0.1,,6.24
442,Jordon Ibe,1,,,,0.5,,,,6.23
443,Leroy Sané,,,,,,,,,6.23
444,Keinan Davis,0.1,,0.7,,0.2,0.2,,,6.22
445,Marco Stiepermann,0.8,0.2,0.9,,0.7,0.7,0.1,,6.22
446,Alexis Mac Allister,1,0.1,0.4,,0.1,0.4,,,6.22
447,Valentino Lazaro,1,0.2,0.2,,0.2,0.5,,,6.21
448,Charlie Daniels,0.5,0.5,,,2,0.5,,,6.21
449,Max Meyer,1.1,0.4,0.4,,0.1,0.6,0.1,,6.2
450,Patrick Roberts,,,0.3,,,,,,6.2
451,João Pedro,,,0.3,,,,,,6.19
452,Lukas Rupp,1.3,1.3,0.8,,0.2,1,,,6.19
453,Angus Gunn,0.1,,,,0.3,0.2,,,6.19
454,Takumi Minamino,0.3,,0.7,,0.3,0.8,,,6.18
455,George Hirst,,,,,,,,,6.18
456,Diogo Dalot,0.8,0.5,0.3,0.3,0.3,0.3,,,6.18
457,Mario Vrancic,1.4,0.5,0.7,0.1,0.2,0.6,,,6.17
458,Henrikh Mkhitaryan,,,0.7,,0.3,0.7,,,6.17
459,Faustino Anjorin,,,,,,,,,6.16
460,Andre Gray,0.2,,0.4,,0.1,0.1,,,6.15
461,Tyrick Mitchell,1.3,0.5,0.3,,0.3,1.5,,,6.15
462,Jack Simpson,1.3,0.5,0.3,,3,1.5,,,6.15
463,Jack Rodwell,,,,,1,,,,6.14
464,Carlos Sánchez,0.2,0.3,0.3,,0.2,,,,6.14
465,Jesús Vallejo,0.5,1,1,,3.5,0.5,1.5,,6.14
466,Kevin Danso,1,0.3,0.7,,1.2,0.5,0.5,,6.13
467,Lloyd Kelly,0.9,0.8,0.9,0.5,1.9,0.1,0.6,,6.13
468,Marcos Rojo,1,,0.7,,2,0.3,0.3,,6.13
469,Gedson Fernandes,0.3,0.1,,,,0.3,,,6.12
470,Maya Yoshida,1,0.5,0.4,0.3,3.1,0.5,0.3,,6.12
471,Odion Ighalo,0.2,,0.1,,,0.2,0.1,,6.11
472,Michy Batshuayi,0.3,,0.3,,0.1,0.3,0.1,,6.1
473,Morgan Gibbs-White,,0.3,0.3,,,,,,6.1
474,Brandon Pierrick,,,,,0.5,,,,6.1
475,Harvey Elliott,,,,,,,,,6.1
476,Angel Gomes,,,0.5,,,,,,6.09
477,Bruno Jordão,,,,,,,,,6.09
478,Oliver Skipp,0.3,,0.1,,,0.4,0.3,,6.09
479,Ralf Fährmann,,,,,,,,,6.08
480,Aaron Lennon,0.9,0.5,0.6,,0.2,0.2,0.1,,6.08
481,Domingos Quina,0.5,,0.3,,,0.3,,,6.08
482,Gaëtan Bong,0.3,,,,,,0.3,,6.07
483,Georges-Kévin Nkoudou,,,,,,1,,,6.07
484,Dennis Srbeny,0.6,,0.1,,0.1,0.3,,,6.06
485,Juan Foyth,1.8,0.3,0.5,,0.5,0.3,,,6.05
486,Ørjan Nyland,,,,,0.3,,,,6.05
487,Yoshinori Muto,0.4,,0.3,,,0.1,,,6.04
488,Indiana Vassilev,,,,,,,,,6.04
489,Josh Martin,0.2,0.2,0.2,,,,,,6.03
490,Dimitri Foulquier,0.3,0.7,,,0.7,,,,6.03
491,Sam Surridge,,0.3,0.5,,,,,,6.03
492,Josip Drmic,0.1,,0.3,,0.2,0.4,,,6.03
493,Armando Broja,,,,,,,,,6.02
494,Tahith Chong,,,0.7,,,,,,6.02
495,Andrew Surman,0.8,0.2,0.2,,0.8,0.4,,,6.02
496,Henri Lansbury,0.6,,0.4,,0.2,0.6,,,6.01
497,Matty James,,,,,,,,,6.01
498,Troy Parrott,,,,,,,,,6.01
499,Victor Wanyama,,,0.5,,,,,,6.01
500,Víctor Camarasa,,,,,,,,,6.01
501,Jack Wilshere,0.1,0.1,0.1,,,0.5,,,6.01
502,Axel Tuanzebe,0.4,1,0.6,0.2,0.8,0.2,,,6.0
503,Jonathan Kodjia,,,0.2,,0.2,0.2,,,6.0
504,Akin Famewo,,,,,,,,,6.0
505,James Garner,,,,,1,1,,,6.0
506,Jordan Thomas,,,,,,,,,6.0
507,Kieron Freeman,,,0.5,,,,,,5.99
508,Max Thompson,,,,,,,,,5.98
509,Richairo Zivkovic,0.4,,0.2,,,0.2,,,5.98
510,Adam Idah,0.2,,0.2,,0.1,0.1,,,5.98
511,Kelland Watts,1,,,,,,,,5.97
512,Albian Ajeti,0.1,,0.7,,,,,,5.97
513,Oumar Niasse,1.3,0.3,0.7,,,,,,5.97
514,Isaac Success,,0.2,0.4,,,,,,5.96
515,Danny Drinkwater,2,1,1,,,1,,,5.92
516,Ravel Morrison,,,1,,,,,,5.92
517,Leon Clarke,,,,,1,,,,5.91
518,Danny Drinkwater,1.3,1.3,1.8,,1.3,4,,,5.74
519,Borja Bastón,0.5,,,,,1,,,5.71
520,Simon Moore,0.5,,,,,,,,5.39
521,Mark Travers,,,,,1,,,,4.95
