,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
106,Ante Rebic,0.6,0.1,1,,0.5,1,,,6.85
107,Salvatore Sirigu,,0.1,,,0.4,,,,6.85
108,Stefano Sturaro,2.4,0.6,2.4,,1.4,1.5,0.3,,6.84
109,Domenico Criscito,2,2,1.2,0.3,2.5,1.2,0.5,,6.84
110,Gonzalo Higuaín,0.4,0.2,0.6,,0.4,0.8,,,6.84
111,Luca Gagliano,,0.5,1.5,,,,,,6.84
112,Mário Rui,1.3,0.9,0.9,0.3,1.4,0.8,0.2,,6.83
113,Fabio Quagliarella,0.3,0.3,0.7,,0.5,1,,,6.83
114,Samu Castillejo,1,1,0.6,,0.1,1.4,0.1,,6.83
115,Rodrigo Palacio,0.5,0.1,0.9,,1,0.7,0.1,,6.83
116,Gianluca Lapadula,0.6,,1.7,,0.6,0.4,,,6.83
117,Adrien Rabiot,1.7,1.1,1.8,,0.5,0.9,0.2,,6.82
118,Jasmin Kurtic ,1.3,0.6,1.1,,1.3,1.3,0.1,,6.82
119,Manolo Gabbiadini,0.3,0.3,0.9,,0.3,0.2,,,6.82
120,Stefan Radu,1.5,1.2,1.1,0.2,2.9,0.5,0.3,,6.82
121,Takehiro Tomiyasu,1.4,1.7,1.3,0.3,2.3,0.7,0.3,,6.81
122,Filip Djuricic,0.8,0.3,1.2,,0.4,0.6,0.1,,6.81
123,Thomas Strakosha,,,,,0.5,,,,6.81
124,Matteo Politano,0.8,0.3,0.5,,0.1,0.6,,,6.81
125,Antonio Candreva,0.3,0.4,0.5,,0.7,0.7,0.3,,6.81
126,Gianluigi Donnarumma,,0.1,,,1.3,,,,6.81
127,Ken Sema,1.8,0.5,1,,1.0,1,0.2,,6.8
128,Cristian Romero,1.7,2.5,1.6,0.4,3.7,1,1.1,,6.8
129,Rafael Tolói,1.7,1.4,1.1,0.2,2.4,1.3,0.5,,6.8
130,Remo Freuler,1.6,0.9,1.3,,0.8,1.4,0.2,,6.8
131,Darko Lazovic,0.7,0.6,0.3,0.1,1.1,0.3,0.1,,6.8
132,Nicolò Barella,1.3,0.5,1.4,,0.4,1.1,0.2,,6.8
133,Amir Rrahmani,1.4,0.8,1.4,0.2,4.0,0.6,0.9,,6.8
134,Tomás Rincón,1.8,1.1,2.1,0.1,1.9,1.3,0.1,,6.8
135,Piotr Zielinski,0.7,0.6,0.7,,0.4,0.5,0.1,,6.79
136,Marash Kumbulla,1.6,2,1.9,0.7,3.3,0.7,1,,6.79
137,Marco Silvestri,,0.1,,,0.7,,,,6.79
138,Nikola Maksimovic,1.5,1.3,1.1,0.3,2.7,0.5,0.5,,6.79
139,Stefano Turati,,,,,1.0,,,,6.79
140,Matthijs de Ligt,0.9,0.9,1,0.4,3.3,0.3,0.8,,6.79
141,Cristian Ansaldi,1.4,0.5,1,0.1,0.6,0.6,0.1,,6.78
142,Lasse Schöne,1.3,1.2,1.1,,0.8,1.0,0.2,,6.78
143,Mattia Zaccagni,0.6,0.6,1,,0.4,0.4,0.1,,6.78
144,Simone Verdi,0.6,0.2,0.7,,,0.9,,,6.78
145,Kevin Malcuit,2.0,0.8,0.5,0.3,0.3,0.3,0.3,,6.78
146,Gianluca Mancini,1.5,1.8,2.1,0.6,2.9,0.7,0.5,,6.78
147,Andrea Petagna ,0.3,,1.5,,0.8,0.4,0.1,,6.78
148,Germán Pezzella,1.1,1.6,1.1,0.8,3.8,0.5,0.6,,6.78
149,Lorenzo Andrenacci,0.2,,,,0.8,0.3,,,6.77
150,Ola Aina,1.4,1.3,0.8,0.1,1.2,0.6,0.2,,6.77
151,Danilo D'Ambrosio,1.4,0.6,1.6,0.1,1.0,0.8,0.2,,6.77
152,Sofyan Amrabat,1.7,0.9,1.9,,0.5,0.9,0.3,,6.77
153,Karol Linetty,2.2,0.9,1.5,,0.6,1.6,0.1,,6.77
154,Bruno Peres,0.9,0.9,0.8,0.2,1.0,0.8,0.2,,6.77
155,Cristiano Biraghi,0.8,0.5,0.8,0.1,1.3,0.5,0.3,,6.77
156,Ernesto Torregrossa,0.7,0.2,2.0,,0.9,0.6,0.1,,6.77
157,Mattia Bani,1.7,1.9,1.6,0.5,3.2,0.4,0.6,,6.77
158,Alessandro Bastoni,1.3,1.0,1.5,,1.8,0.4,0.4,,6.76
159,Giorgio Chiellini,0.8,0.3,1.0,0.5,2.3,,0.5,,6.76
160,Luiz Felipe,1.6,1.6,0.7,0.1,2.3,0.5,1.2,,6.76
161,Adama Soumaoro,0.4,1.4,0.5,0.1,4.0,0.3,1.5,,6.76
162,Luca Ceppitelli,1.4,1.4,0.5,0.6,4.0,0.3,1.1,1,6.76
163,Jasmin Kurtic ,1.6,0.8,0.9,,1.2,1.1,0.3,,6.76
164,Joseph Alfred Duncan,0.9,0.4,0.7,,0.8,1.3,,,6.75
165,Douglas Costa,0.1,0.2,0.4,,0.2,0.5,,,6.75
166,Rogerio,1.5,0.6,1.3,,2.0,0.5,0.2,,6.75
167,Armando Izzo,1.4,2.3,1.5,0.4,3.8,0.6,0.9,,6.75
168,José Callejón,0.4,0.3,0.4,,0.3,0.5,0.1,,6.75
169,Franck Kessié,1.5,1.0,1.7,0.1,0.8,1.0,0.1,,6.75
170,Stefano Sabelli,2.3,1.6,0.9,0.2,2.3,1.6,0.4,1,6.75
171,Koray Günter,1.2,1.7,1.3,0.3,4.1,0.3,1.2,,6.75
172,Nikola Milenkovic,1.2,0.8,1.6,0.4,3.3,0.5,0.5,,6.75
173,Samir Handanovic,,,,,0.5,,,,6.74
174,Jordan Veretout,1.1,0.5,1,0.1,0.8,0.9,0.2,,6.74
175,Matteo Pessina,1,0.7,1,,0.9,0.6,0.2,,6.74
176,Omar Colley,1.4,1.9,1.3,0.9,4.8,0.4,0.7,,6.73
177,Mattia Caldara,1.5,2.1,1.4,0.4,1.6,0.4,0.4,,6.73
178,Luca Cigarini,1.7,0.9,1.7,,1.2,1.1,0.5,,6.73
179,Justin Kluivert,0.8,0.3,1.4,,0.2,0.4,,,6.73
180,Mattia De Sciglio,1.1,0.9,,,1.6,0.9,0.2,,6.73
181,Gabriel,0.1,,,,0.9,,,1,6.73
182,Mattia Valoti ,1.8,0.6,1.4,,0.7,1,0.2,,6.73
183,Carles Pérez,0.9,0.2,1,,0.1,0.5,0.1,,6.72
184,Stefano Okaka,0.6,0.2,2.1,,0.8,0.6,0.1,,6.72
185,Andrea Consigli,,0.1,,,0.9,,,,6.72
186,Maya Yoshida,0.3,1.9,1.1,0.4,5.0,0.3,0.9,,6.72
187,Kalidou Koulibaly,2,1.2,1.4,0.4,2.4,0.4,0.6,1,6.72
188,Giovanni Simeone,0.6,0.3,1.5,,0.4,0.7,0.2,,6.72
189,Antonio Sanabria,0.6,0.2,1,,0.5,0.5,,,6.72
190,Rafael Leão,0.2,,0.5,,0.1,0.2,,,6.72
191,Timothy Castagne,1.1,0.6,0.7,0.2,0.6,0.4,0.2,,6.72
192,Fabio Borini,0.1,0.9,0.8,,0.4,0.3,,,6.71
193,Mario Balotelli,0.1,0.4,1.7,0.1,1.2,0.1,0.1,,6.71
194,Giacomo Bonaventura,0.6,0.2,0.7,,0.3,0.4,0.1,,6.71
195,Kostas Manolas,0.9,1,0.9,0.7,2.8,0.3,0.5,,6.71
196,Amadou Diawara,1.8,1.5,1.3,,0.6,1.0,,,6.71
197,Dimitri Bisoli,2.6,1,1.5,,1.6,0.8,0.3,,6.7
198,Nicola Sansone,1.0,0.3,1.1,,0.2,1.3,,,6.7
199,Ibañez,1.2,2,1.6,0.6,2.2,0.2,0.7,,6.7
200,Victor Moses,0.3,,0.5,,0.3,0.5,,,6.7
201,Leonardo Bonucci,0.8,0.9,0.7,0.4,2.4,0.1,0.8,,6.7
202,Kevin Agudelo,2.3,0.6,2,,0.2,1,0.1,,6.7
203,Adam Marusic,0.7,0.9,0.5,0.1,0.8,0.5,0.1,,6.69
204,Elseid Hysaj,0.9,1.2,0.4,0.2,1,0.7,0.2,,6.69
205,Bartlomiej Dragowski,,0.1,,,0.6,,,,6.69
206,Bram Nuytinck,1.8,1,0.8,,3.5,0.4,1.2,,6.69
207,Paolo Faragò,2,0.5,1,0.2,2.4,1.1,0.4,1,6.69
208,Albin Ekdal,1.6,1,1.3,,1.3,1.4,0.4,,6.68
209,Riccardo Calafiori,,2,1,,,1,,,6.68
210,Diego Perotti,0.8,0.2,0.4,,0.2,0.7,,,6.68
211,Felipe Caicedo,0.6,0.1,0.9,,0.1,0.3,,,6.68
212,Matías Vecino,1.6,0.8,1.0,,1.3,1.4,0.2,,6.68
213,Leonardo Spinazzola,1.0,0.8,0.6,0.3,1.5,0.4,0.2,,6.67
214,Soualiho Meité,1.0,0.7,1.0,,1.1,0.7,0.2,,6.67
215,Gervinho ,0.4,0.2,0.3,,,0.4,,,6.67
216,Joseph Alfred Duncan,1.5,0.7,1.2,0.1,0.9,0.8,,,6.67
217,Nicolas Nkoulou,1.1,2.3,1.2,0.4,4.3,0.2,0.6,,6.67
218,Davide Biraschi,1.3,1.4,1.2,0.5,2.7,0.5,0.5,1,6.67
219,Rolando Mandragora,1.8,1.0,1.5,,0.7,1.5,0.2,,6.67
220,Dalbert,1.7,0.6,1.7,0.1,1.6,1.1,0.1,,6.66
221,Simone Zaza,0.6,0.4,2.4,,0.5,0.3,,,6.66
222,Hans Hateboer,1.1,0.3,1.4,0.1,0.8,0.6,0.2,,6.66
223,Federico Mattiello,1.7,1.0,0.9,0.2,1.2,0.9,0.4,,6.66
224,Allan,2.2,0.7,1.3,,0.4,1.6,0.1,,6.66
225,Christian Kouamé,0.4,0.1,0.9,,0.1,0.1,0.1,,6.66
226,Gregoire Defrel,0.7,0.2,1.0,,0.2,0.6,,,6.66
227,Nehuén Paz,0.3,1.7,2.0,,3.7,0.7,1,,6.66
228,Danilo,1.4,1.2,0.9,0.2,1.7,0.5,0.1,,6.66
229,Morten Thorsby,2.2,0.7,1.9,0.1,1.3,1.0,0.3,1,6.66
230,Rodrigo Becão,1.9,1.6,1.5,0.2,2.4,0.7,0.7,,6.66
231,Simone Missiroli ,1.2,1.6,0.8,,1.8,0.9,0.8,,6.65
232,Lukasz Skorupski,,0.1,,,0.8,,,,6.65
233,Nahitan Nández,1.7,0.7,1.3,,0.6,1.3,,,6.65
