,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
54,Loic Badé,1.8,2.4,1.4,4.3,0.5,0.0,0.0,0.0,0.4,0.2,0.7,0.5,0.0,0.4,0.7,0.0,0.2,63.0,85.5,0.1,3.6,0.0
55,Tinotenda Kadewere,1.1,0.6,1.1,0.8,0.1,0.0,10.0,3.0,1.8,0.6,0.9,0.8,0.3,1.0,1.6,3.0,0.6,17.9,75.2,0.2,0.4,0.0
56,Boubacar Kamara,2.5,1.0,1.4,1.3,0.4,0.0,0.0,2.0,0.5,0.7,1.0,1.6,0.0,0.7,1.1,2.0,0.7,58.0,86.7,0.0,3.0,0.0
57,Nayef Aguerd,1.1,1.3,0.6,2.9,0.6,0.0,3.0,1.0,0.8,0.1,0.3,0.8,0.1,0.3,0.3,1.0,0.1,77.4,90.4,0.0,3.7,0.0
58,Valentin Rongier,3.6,1.1,1.7,0.8,0.1,0.0,1.0,2.0,0.7,0.5,1.0,0.9,0.0,0.3,1.3,2.0,0.5,52.7,86.3,0.1,1.7,0.0
59,Vincent Pajot,2.9,3.5,1.3,0.8,0.2,0.0,0.0,0.0,0.5,0.3,0.3,1.0,0.1,0.3,0.7,0.0,0.3,41.8,88.8,0.2,2.6,0.0
60,Laurent Koscielny,1.1,2.1,0.5,4.4,1.3,0.0,0.0,2.0,0.2,0.3,0.1,0.9,0.1,0.0,0.3,2.0,0.3,51.1,90.1,0.0,3.8,0.0
61,Brendan Chardonnet,1.5,1.9,0.9,4.5,1.2,0.0,3.0,1.0,0.6,0.2,0.2,0.7,0.0,0.1,0.3,1.0,0.2,50.6,82.6,0.0,4.9,0.0
62,Dimitri Payet,0.8,0.2,0.5,0.3,0.1,0.0,7.0,10.0,1.4,2.0,1.1,1.4,0.0,0.8,1.6,10.0,2.0,36.5,78.9,1.4,1.5,0.1
63,Serhou Guirassy,0.1,0.2,1.4,0.6,0.0,0.0,10.0,1.0,1.9,1.0,0.9,2.0,0.2,1.1,2.4,1.0,1.0,18.0,76.1,0.0,0.8,0.0
64,Lilian Brassier,1.7,2.1,1.7,3.2,0.5,0.0,1.0,1.0,0.5,0.5,0.4,1.1,0.0,0.1,1.5,1.0,0.5,60.9,82.5,0.2,5.4,0.1
65,Randal Kolo Muani,0.6,0.2,1.7,0.7,0.1,0.0,9.0,4.0,1.6,1.0,1.4,2.0,0.6,1.6,3.1,4.0,1.0,16.0,67.3,0.1,0.2,0.1
66,Pol Lirola,1.5,1.3,0.7,1.2,0.3,0.0,2.0,2.0,0.5,1.0,1.5,0.8,0.0,0.6,2.0,2.0,1.0,32.3,78.3,0.7,1.7,0.0
67,Keylor Navas,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,21.6,85.6,0.0,3.2,0.0
68,Jeff Reine-Adélaïde,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,83.3,1.0,0.0,0.0
69,Jeff Reine-Adélaïde,0.5,0.3,0.4,0.4,0.1,0.0,1.0,2.0,1.1,1.2,3.0,1.5,0.1,2.9,2.4,2.0,1.2,40.3,86.3,0.4,1.9,0.2
