,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
185,Pepe Reina,0.0,0.0,24.0,69.8,0.0,5.0,0.0,6.73
186,Rolando Mandragora,2,0.8,32.3,84.4,0.4,1.6,0.0,6.73
187,Mateo Musacchio,0.0,0.3,60.0,90.0,0.0,2.8,0.0,6.73
188,Francesco Vicari ,1,0.1,36.1,88.3,0.0,2.3,0.0,6.72
189,Darijo Srna,4,1.7,47.0,81.2,1.6,3.3,0.1,6.72
190,Elseid Hysaj,2,0.6,57.8,86.0,0.2,2.2,0.0,6.72
191,Mauro Burruchaga,0.0,0.0,39.0,79.5,0.0,0.0,0.0,6.72
192,Gian Marco Ferrari,0.0,0.2,60.6,86.7,0.0,2.9,0.0,6.72
193,Bruno Alves ,1,0.3,36.8,78.9,0.1,5.1,0.0,6.72
194,Valon Behrami,0.0,0.3,24.4,82.1,0.0,0.3,0.0,6.72
195,Federico Dimarco ,0.0,0.7,24.8,76.5,0.6,1.8,0.0,6.72
196,Stefan Radu,1,0.3,44.2,85.6,0.4,1.6,0.0,6.72
197,Ibrahima Mbaye,0.0,0.2,32.4,78.5,0.2,1.4,0.0,6.72
198,Francesco Caputo,3,1.2,22.4,77.2,0.0,0.6,0.0,6.71
199,Edgar Barreto,2,0.8,39.7,81.3,0.3,1.5,0.1,6.71
200,Kevin-Prince Boateng,1,1.2,23.5,80.7,0.0,0.8,0.2,6.71
201,Marco Sportiello,0.0,0.0,28.6,62.1,0.0,5.9,0.0,6.71
202,Lukas Lerager,0.0,1.3,28.2,75.2,0.5,0.9,0.0,6.71
203,Andrea Consigli,0.0,0.0,28.2,69.5,0.0,6.3,0.0,6.71
204,Camillo Ciano,4,1.8,22.5,73.0,1.4,1.5,0.0,6.71
205,Danilo Cataldi,1,1.2,28.8,84.3,1,1.2,0.0,6.71
206,Emiliano Viviano ,0.0,0.1,31.7,68.1,0.0,9.0,0.0,6.71
207,Federico Mattiello,1,1.1,25.4,76.6,1.1,1.5,0.1,6.71
208,Javier Pastore,0.0,1.3,26.4,85.7,0.5,1.1,0.1,6.7
209,Davide Biraschi,0.0,0.3,32.4,68.2,0.3,2.1,0.0,6.7
210,Lorenzo De Silvestri,4,0.9,26.8,68.0,0.9,0.7,0.0,6.7
211,Nicolò Zaniolo,2,0.7,20.1,81.3,0.2,0.9,0.0,6.7
212,Miha Zajc,2,1.2,26.7,82.9,0.9,1.0,0.1,6.7
213,João Mário,2,0.9,35.2,84.9,0.4,0.8,0.0,6.7
214,Alessandro Murgia ,3,1.1,30.6,88.0,0.9,1.0,0.0,6.7
215,José Machín ,1,0.5,12.5,76.0,0.0,1.0,0.0,6.7
216,Luca Paganini,0.0,0.6,26.6,76.4,0.4,1.1,0.0,6.69
217,Lukasz Skorupski,0.0,0.0,23.8,63.6,0.0,7.4,0.0,6.69
218,Seko Fofana,4,1.2,35.8,85.2,0.4,2.0,0.1,6.69
219,Stefano Sorrentino,0.0,0.0,26.0,62.6,0.0,8.5,0.0,6.69
220,Jacopo Dezi ,0.0,0.0,40.0,90.0,0.0,1,0.0,6.69
221,Moise Kean,0.0,0.4,6.5,79.8,0.0,0.0,0.0,6.69
222,Bartosz Bereszynski,2,0.4,48.8,83.8,0.3,1.4,0.1,6.69
223,Mário Rui,1,1.3,54.2,84.5,0.7,2.1,0.1,6.69
224,Gerson,3,1,31.0,82.5,0.1,1.6,0.1,6.69
225,Cengiz Ünder,7,1.2,19.3,77.9,0.6,0.8,0.0,6.69
226,William Troost-Ekong,0.0,0.1,32.3,81.5,0.0,3.3,0.0,6.68
227,Federico Bernardeschi,3,1.2,22.1,83.1,0.9,1.5,0.1,6.68
228,Milan Badelj,0.0,0.4,37.1,86.1,0.2,1.8,0.0,6.68
229,Felipe Caicedo,2,0.7,12.6,75.6,0.0,0.2,0.1,6.68
230,Darko Lazovic,4,1.4,24.1,74.4,0.9,0.8,0.0,6.68
231,Jacopo Sala,1,0.9,47.3,85.3,0.3,1.6,0.1,6.67
232,Alex Ferrari,0.0,0.0,52.2,88.2,0.2,3.8,0.0,6.67
233,Sebastien De Maio,0.0,0.2,25.4,77.4,0.1,2.3,0.0,6.67
234,Bram Nuytinck,0.0,0.2,32.6,81.7,0.0,2.7,0.0,6.67
235,Joel Obi,0.0,0.5,25.8,84.9,0.1,0.4,0.0,6.67
236,Hamed Traore,2,0.8,29.9,79.2,0.1,1.6,0.1,6.67
237,Justin Kluivert,6,1.2,13.3,83.4,0.6,0.3,0.0,6.66
238,Joseph Alfred Duncan,4,1.2,31.4,81.6,0.2,1.4,0.1,6.66
239,Federico Ceccherini,0.0,0.2,38.5,85.6,0.1,2.3,0.1,6.66
240,Marek Hamsik,0.0,1.2,65.2,88.4,0.0,5.0,0.0,6.66
241,Ivan Provedel,0.0,0.2,23.8,69.0,0.0,5.9,0.0,6.66
242,Christian Nørgaard,0.0,0.3,29.3,83.5,0.0,1.2,0.0,6.66
243,Bartosz Salamon,0.0,0.1,38.6,82.1,0.0,2.8,0.0,6.65
244,Sandro,1,0.5,25.5,78.9,0.0,1.4,0.0,6.65
245,Francisco Sierralta ,0.0,0.3,15.0,67.8,0.0,1.3,0.0,6.65
246,Alberto Grassi ,0.0,0.3,16.6,81.0,0.0,1.0,0.0,6.65
247,Júnior Tavares,0.0,0.7,60.7,92.9,0.7,1.7,0.0,6.65
248,João Pedro,2,1.0,21.6,74.5,0.5,0.6,0.0,6.65
249,Riccardo Meggiorini,1,0.5,17.0,64.7,0.1,0.3,0.0,6.65
250,Giovanni Simeone,3,0.8,9.3,68.7,0.1,0.1,0.1,6.64
251,Arturo Calabresi,0.0,0.6,33.7,79.9,0.4,2.2,0.0,6.64
252,Marlon Santos,0.0,0.2,57.7,93.6,0.1,3.3,0.1,6.64
253,Mehdi Bourabia,0.0,0.8,32.1,83.7,0.3,0.8,0.0,6.64
254,Alban Lafont,0.0,0.1,24.9,62.6,0.0,5.6,0.0,6.64
255,Lautaro Martínez,2,0.8,8.9,70.8,0.1,0.4,0.1,6.64
256,Artur Ionita,2,0.5,30.4,83.3,0.2,0.9,0.0,6.64
257,Cristian Dell'Orco,0.0,0.3,41.0,88.0,0.0,1.6,0.0,6.63
258,Marco D'Alessandro,2,0.9,20.6,73.9,0.5,0.5,0.0,6.63
259,Luca Ceppitelli,1,0.1,50.2,82.9,0.0,4.6,0.0,6.63
260,Emiliano Moretti,0.0,0.1,44.0,85.6,0.1,2.8,0.0,6.63
261,Ionut Radu,0.0,0.1,25.9,44.2,0.0,8.0,0.0,6.63
262,Adam Marusic,1,0.8,29.4,83.9,0.6,1.0,0.0,6.63
263,Emil Audero,0.0,0.1,27.1,70.9,0.0,4.7,0.0,6.63
264,Douglas Costa,0.0,1.2,17.5,86.2,0.4,0.9,0.0,6.63
265,Ivan Radovanovic,0.0,0.3,42.6,81.1,0.1,4.1,0.0,6.63
266,Lorenzo Ariaudo,0.0,0.2,33.4,83.0,0.0,2.4,0.0,6.62
267,Emanuel Vignato,1,1.1,28.4,84.5,0.9,0.7,0.0,6.62
268,Antonino Barillà ,2,0.6,24.8,73.0,0.2,1.0,0.0,6.62
269,Edoardo Goldaniga,1,0.2,34.4,75.3,0.1,2.6,0.0,6.62
270,Ignazio Abate,0.0,0.4,42.4,83.7,0.3,1.9,0.0,6.62
271,Filippo Costa ,0.0,0.8,19.1,77.9,0.4,0.7,0.0,6.62
272,Nicolò Brighenti,0.0,0.2,47.2,77.8,0.1,2.0,0.1,6.61
273,Rogerio,2,0.6,40.6,82.5,0.5,1.9,0.0,6.61
274,Paolo Faragò,1,0.8,28.2,76.5,0.6,1.0,0.0,6.61
275,Blerim Dzemaili,1,0.6,24.6,79.2,0.1,1.3,0.0,6.61
276,Charalampos Lykogiannis,1,0.7,26.6,68.3,0.7,1.6,0.0,6.61
277,Wallace,0.0,0.2,45.1,84.7,0.1,3.8,0.1,6.61
278,Fabio Borini,2,0.7,17.0,71.8,0.0,0.9,0.0,6.6
279,Alex Berenguer,3,1.2,19.3,77.1,0.7,0.8,0.0,6.6
280,Luca Siligardi ,2,0.6,15.2,69.6,0.5,0.8,0.0,6.6
281,Andrea Masiello,2,0.3,52.3,87.6,0.0,3.8,0.0,6.6
282,Jacob Rasmussen,1,0.2,45.6,88.3,0.0,3.4,0.0,6.6
283,Marko Rog,0.0,0.0,20.4,90.8,0.0,0.3,0.0,6.6
284,Hidde ter Avest,1,0.6,29.3,73.2,0.5,0.7,0.0,6.6
285,Andrea Beghetto,3,2,27.2,67.8,2.1,1.9,0.0,6.6
286,Marco Benassi,1,1,24.7,76.9,0.3,0.6,0.1,6.6
287,Luca Valzania,1,0.8,19.4,77.0,0.2,0.8,0.1,6.6
288,Manolo Gabbiadini,2,0.8,15.1,77.2,0.2,0.3,0.0,6.6
289,Raffaele Maiello,0.0,0.7,41.5,81.9,0.2,4.1,0.0,6.59
290,Giancarlo González,1,0.3,27.4,76.6,0.0,2.7,0.0,6.59
291,Pasquale Schiattarella ,4,1.3,47.0,86.8,0.8,1.9,0.0,6.59
292,Lucas Paquetá,1,0.7,27.9,77.1,0.1,0.5,0.0,6.59
293,Amadou Diawara,0.0,0.4,41.8,92.8,0.0,2.6,0.0,6.59
294,Valentin Eysseric,1,1.5,19.9,81.8,0.5,1.1,0.1,6.59
295,Felipe ,2,0.3,41.0,86.7,0.1,2.5,0.0,6.59
296,Marco Capuano,0.0,0.2,43.1,83.6,0.0,1.9,0.0,6.58
297,Andrea Poli,1,0.5,24.3,89.0,0.1,1.0,0.0,6.58
298,Patrik Schick,0.0,0.8,11.0,74.7,0.0,0.1,0.0,6.58
299,Matías Silvestre,0.0,0.2,44.0,84.4,0.0,4.6,0.0,6.58
300,Keita Baldé,2,0.9,11.8,85.2,0.5,0.2,0.0,6.58
301,Mehdi Léris,2,0.8,29.4,78.1,0.4,1.4,0.0,6.58
302,Rafael Cabral,0.0,0.0,25.5,70.6,0.0,8.0,0.0,6.58
303,Luca Rigoni ,1,0.4,23.3,80.0,0.1,1.3,0.0,6.57
304,Andrea Pinamonti,3,0.6,14.7,72.8,0.1,0.4,0.0,6.57
305,Davide Santon,1,0.8,33.0,87.3,0.4,0.9,0.1,6.57
306,Mario Pasalic,3,0.7,30.0,83.0,0.1,1.8,0.0,6.57
307,Mitchell Dijks,0.0,0.6,27.2,76.2,0.4,1.1,0.0,6.57
308,Emil Hallfredsson,0.0,0.3,18.0,92.6,0.0,2.0,0.0,6.57
309,Luca Valzania,0.0,0.0,13.0,76.9,0.0,0.5,0.0,6.57
310,Luca Rossettini,0.0,0.0,38.2,85.2,0.0,3.4,0.0,6.57
311,Valter Birsa,2,1.4,29.3,80.5,0.8,1.6,0.1,6.57
312,Pierluigi Gollini,0.0,0.1,25.4,66.1,0.0,6.0,0.0,6.57
313,Luka Krajnc,0.0,0.1,41.4,81.2,0.1,2.2,0.0,6.57
314,Andrea Conti,2,0.5,24.2,83.4,0.6,0.7,0.0,6.56
315,Filip Helander,0.0,0.1,37.9,79.5,0.0,2.5,0.0,6.56
316,David Ospina,0.0,0.0,23.1,74.0,0.0,4.5,0.0,6.56
317,Simone Iacoponi ,0.0,0.3,30.1,72.8,0.0,2.3,0.0,6.56
318,Vlad Chiriches,0.0,0.0,43.7,93.9,0.0,4.0,0.0,6.56
319,Vanja Milinkovic-Savic ,0.0,0.0,29.0,53.4,0.0,5.0,0.0,6.56
320,Mattia Perin,0.0,0.0,21.1,75.3,0.0,5.2,0.0,6.55
321,Kevin Lasagna,2,0.5,12.5,69.9,0.1,0.2,0.0,6.55
322,Bartlomiej Dragowski,0.0,0.0,31.7,64.2,0.0,7.0,0.0,6.55
323,Fabio Pisacane,1,0.2,42.0,83.9,0.0,2.5,0.0,6.55
324,Ervin Zukanovic,0.0,0.3,39.6,85.0,0.3,2.4,0.0,6.55
325,Koray Günter,0.0,0.4,25.1,83.5,0.1,2.3,0.1,6.54
326,José Mauri,0.0,0.4,20.0,89.0,0.0,0.8,0.0,6.54
327,Ivan Radovanovic,0.0,0.5,53.8,85.7,0.0,7.8,0.0,6.54
328,Miranda,0.0,0.1,58.8,89.6,0.0,3.9,0.0,6.54
329,Robin Olsen,0.0,0.0,26.2,71.3,0.0,7.0,0.0,6.54
