,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
38,Marcelo Brozovic,3.2,1.4,1.5,0.0,0.8,1.7,0.3,0.0,2.0,1.0,0.8,1.6,0.7,0.9,0.0,0.8,1.4,1.0,1.6,78.8,90.1,0.8,7.2,0.1
39,Paulo Dybala,0.6,0.5,0.6,0.0,0.0,0.5,0.1,0.0,5.0,4.0,2.2,1.7,1.7,2.2,0.2,1.4,2.4,4.0,1.7,39.1,89.3,0.9,3.7,0.1
40,Sime Vrsaljko,2.0,1.1,0.9,0.1,2.1,0.5,0.1,0.0,0.0,2.0,0.2,1.6,0.2,1.0,0.1,0.4,0.8,2.0,1.6,49.6,85.9,2.1,1.8,0.0
41,Alessio Cragno,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,28.3,61.0,0.0,9.6,0.0
42,Federico Fazio,0.8,1.6,0.8,0.9,4.9,0.4,1.0,0.0,5.0,0.0,0.9,0.2,0.4,0.4,0.0,0.2,0.5,0.0,0.2,41.4,85.1,0.0,2.6,0.0
43,Germán Pezzella,1.8,1.9,1.0,0.3,4.8,0.6,0.9,1.0,2.0,1.0,0.8,0.2,0.1,0.8,0.0,0.3,0.5,1.0,0.2,50.9,85.9,0.0,3.6,0.0
44,Kalidou Koulibaly,1.7,1.1,1.4,0.5,3.9,0.5,0.9,0.0,2.0,2.0,0.5,0.2,0.3,0.5,0.0,0.3,0.5,2.0,0.2,71.9,88.7,0.0,4.5,0.0
45,Ivan Perisic,1.0,0.7,0.8,0.0,1.4,1.0,0.1,1.0,8.0,3.0,2.9,1.8,0.7,0.3,0.3,0.5,1.5,3.0,1.8,33.1,74.6,1.4,1.0,0.1
46,Steven Nzonzi,2.2,0.9,1.1,0.0,1.7,0.4,0.8,0.0,1.0,2.0,0.7,0.8,0.4,0.5,0.0,0.4,0.5,2.0,0.8,56.3,87.7,0.0,3.2,0.0
47,Luis Alberto,2.0,0.4,0.9,0.0,0.3,1.3,0.1,0.0,4.0,5.0,2.5,2.9,0.9,0.9,0.1,1.6,1.8,5.0,2.9,47.4,82.0,1.6,2.7,0.1
48,Christian Kouamé,0.8,0.7,0.9,0.0,0.6,0.3,0.1,0.0,4.0,5.0,2.3,1.3,1.1,2.2,0.5,2.1,2.7,5.0,1.3,23.8,66.0,0.2,0.4,0.0
49,Stefano Okaka,0.8,0.0,2.4,0.0,0.9,0.4,0.1,0.0,6.0,1.0,1.1,1.1,1.6,1.8,0.4,2.7,2.5,1.0,1.1,14.1,71.6,0.0,0.3,0.0
50,José Callejón,1.0,0.6,0.4,0.0,0.2,1.1,0.1,0.0,3.0,10.0,1.8,2.1,0.4,1.4,0.5,0.6,0.8,10.0,2.1,43.8,86.6,1.2,1.9,0.0
51,Joaquín Correa,0.6,0.1,0.8,0.0,0.2,0.4,0.1,0.0,5.0,6.0,2.1,1.7,2.1,1.2,0.2,0.8,1.7,6.0,1.7,25.1,86.1,0.2,0.5,0.1
52,Miralem Pjanic,1.3,1.2,1.2,0.0,0.6,1.4,0.2,0.0,2.0,6.0,0.9,2.3,0.4,0.7,0.0,0.5,0.8,6.0,2.3,62.5,92.1,1.2,5.8,0.1
53,Lyanco,2.2,1.7,0.8,0.3,4.3,0.4,1.2,0.0,1.0,0.0,0.6,0.2,0.7,0.2,0.2,0.4,0.6,0.0,0.2,40.7,80.3,0.0,3.4,0.0
