,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
385,Michael Gregoritsch,27,Forward,Schalke 04,1135,491,644,Austria,20,9,11,1,1,0,1,1,0,0,0,3,1,2,26,10,16,2,0,0.16,0.08,0.08,0.18,0,1135,2.06,44,57,568,1135,0.16,179,187,-1,11,0.6,0.1,0.7,0.7,0.6,0.1,0,1,1,1.7,0.6,0.1,0.4,0.1,0.6,1.7,1,0.6,14.9,63.9,0,0.1,0.1
386,Michael Lang,30,Defender,Werder Bremen,542,260,282,Switzerland,9,3,6,0,0,0,0,0,0,0,0,1,0,1,18,9,9,0,0,0,0,0,0,0,0,2.99,30,60,0,0,0,387,387,150,21,0.9,0.8,0.6,2,0.7,0.1,0,0,0,0.6,0.3,0.3,0.3,0.1,0.2,0.3,0,0.3,28,83.7,0.4,1,0
387,Michael Langer,36,Goalkeeper,Schalke 04,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Michael Parensen,34,Midfielder,Union Berlin,627,189,438,Germany,9,3,6,1,0,1,0,0,0,0,0,3,3,0,10,0,10,4,0,0.14,0,0.14,0,0.21,627,1.44,63,70,157,0,0.57,139,287,-1,8,1.2,1.3,1.8,1.7,0.6,0.9,0,1,0,0.3,0.1,0.2,1.2,0,0.1,0.3,0,0.1,34.1,79.8,0.2,1.9,0
389,Michael Ratajczak,39,Goalkeeper,Paderborn,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Michael Rensing,37,Goalkeeper,Fortuna Düsseldorf,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Mickaël Cuisance,21,Midfielder,Bayern München,302,204,98,France,9,6,3,1,0,1,0,0,0,0,0,5,2,3,2,2,0,1,0,0.3,0,0.3,0,0.92,302,0.6,151,34,302,0,0.3,68,278,-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Mijat Gaćinović,26,Midfielder,Eintracht Frankfurt,1048,453,595,Serbia,23,12,11,0,0,0,1,0,1,0,0,5,4,1,14,3,11,2,0,0.09,0.09,0,0,0,0,1.2,75,46,524,1048,0.17,368,172,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Mike Frantz,34,Midfielder,Freiburg,339,160,179,Germany,18,8,10,0,0,0,1,0,1,0,0,5,4,1,2,1,1,2,0,0.27,0.27,0,0,0,0,0.53,170,19,170,339,0.53,305,36,-1,21,0.2,0.1,0.4,0.2,0.4,0.2,0,0,1,0.2,0.4,0.1,0.3,0,0.1,0.4,1,0.4,6.2,74.8,0.1,0.3,0
394,Milos Veljkovic,25,Midfielder,Werder Bremen,2055,1153,902,Serbia,24,13,11,0,0,0,1,0,1,0,0,3,1,2,44,22,22,7,0,0.04,0.04,0,0,0,0,1.93,47,86,294,2055,0.31,258,233,-1,15,2.3,1.1,0.9,3.7,0.8,0.5,0,0,1,0.3,0.3,0,0.4,0,0,0.1,1,0.3,48.7,78.3,0,3.7,0
