,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
497,Sargis Adamyan,28,Forward,Hoffenheim,742,373,369,Armenia,15,8,7,5,1,4,1,1,0,0,0,4,2,2,10,6,4,1,0,0.73,0.12,0.61,0.24,0.98,148,1.21,74,49,742,742,0.12,14,134,-1,4,0.7,0.1,0.8,0.3,1.2,0.1,0,5,1,1.4,0.4,0.7,0.5,0.5,1.3,1.9,1,0.4,10.7,74.5,0.1,0.1,0
498,Sarpeet Singh,22,Midfielder,Bayern München,72,72,0,New Zealand,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.25,72,36,0,0,0,-1,-1,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,Sebastiaan Bornauw,22,Defender,Köln,2449,1433,1016,Belgium,28,16,12,6,4,2,0,0,0,0,0,5,5,0,55,21,34,6,1,0.22,0,0.22,0.25,0.18,408,2.02,45,87,350,0,0.26,101,375,134,2,1.3,1.5,1.5,3.3,0.7,0.4,0,6,0,0.6,0.2,0.4,0.3,0.1,0.2,0.5,0,0.2,44,81.4,0.1,4,0
500,Sebastian Andersson,29,Forward,Union Berlin,2689,1326,1363,Sweden,33,16,17,12,6,6,1,0,1,1,1,7,6,1,47,16,31,5,0,0.44,0.03,0.4,0.41,0.4,224,1.57,57,81,538,2689,0.17,43,248,-1,1,0.6,0.2,1.9,1.1,0.5,0.1,0,12,1,2,0.7,0.6,1.2,0.6,2,2.8,1,0.7,23.2,59.9,0.2,0.2,0
501,Sebastian Langkamp,33,Defender,Werder Bremen,313,133,180,Germany,5,3,2,0,0,0,0,0,0,0,0,1,0,1,5,2,3,3,0,0,0,0,0,0,0,1.44,63,63,104,0,0.86,251,261,63,13,0.6,0.6,1,2.2,0.4,0.6,0,0,0,0.8,0,0,1.2,0,0.2,0.2,0,0,39.6,85.4,0,1.6,0
502,Sebastian Polter,30,Forward,Union Berlin,351,146,205,Germany,13,6,7,2,1,1,2,1,1,2,0,2,2,0,3,0,3,2,1,1.03,0.51,0.51,0.62,0.44,176,0.77,117,27,117,176,0.77,22,5,-1,7,0.2,0.1,0.8,0.1,0.2,0,0,2,2,0.8,0.8,0.2,0.6,0.5,0.4,0.6,2,0.8,6.3,61,0,0.2,0
503,Sebastian Rode,30,Midfielder,Eintracht Frankfurt,1948,992,956,Germany,29,16,13,3,3,0,3,1,2,0,0,5,4,1,40,16,24,6,0,0.28,0.14,0.14,0.27,0,649,1.85,49,67,325,649,0.28,141,111,-1,7,2,1.2,1.4,0.4,1.4,0.2,0,3,3,0.4,0.8,0.4,0.8,0,0.4,0.9,3,0.8,40.1,84.9,0.4,2.2,0
504,Sebastian Rudy,31,Midfielder,Hoffenheim,2739,1326,1413,Germany,32,16,16,1,0,1,3,1,2,0,0,7,2,5,45,32,13,9,0,0.13,0.1,0.03,0,0.06,2739,1.48,61,86,304,913,0.3,228,165,-1,14,2.3,0.8,0.8,1.2,1.5,0.2,0,1,3,0.8,1.7,0.6,1.1,0,0.6,1.1,3,1.7,43.1,81,0.9,2.2,0.1
505,Sebastian Schonlau,26,Midfielder,Paderborn,2070,1080,990,Germany,23,12,11,2,2,0,0,0,0,0,0,5,1,4,42,26,16,2,0,0.09,0,0.09,0.17,0,1035,1.83,49,90,1035,0,0.09,169,288,-1,7,2.8,1.7,0.9,5.7,1.1,0.7,0,2,0,0.5,0.2,0.4,0.9,0,0.1,0.9,0,0.2,63.7,87.9,0,3.9,0
506,Sebastian Vasiliadis,23,Midfielder,Paderborn,2811,1334,1477,Germany,32,15,17,1,1,0,1,1,0,0,0,5,1,4,62,37,25,10,0,0.06,0.03,0.03,0.07,0,2811,1.99,45,88,281,2811,0.32,231,251,-1,16,2.3,1.1,1.5,1.4,1.7,0.2,0,1,1,1.2,0.8,1.6,0.8,0,1.2,1.8,1,0.8,32.7,76,0.1,2.1,0
507,Serge Gnabry,25,Forward,Bayern München,2203,1088,1115,Germany,31,15,16,12,4,8,10,6,4,0,0,15,7,8,22,11,11,0,0,0.9,0.41,0.49,0.33,0.65,184,0.9,100,71,0,220,0,27,11,-1,2,1.2,0.5,0.5,0,0.6,0,0,12,10,3.1,1.7,1.8,0.8,0.5,0.8,1.7,10,1.7,33.1,82.3,0.4,0.6,0.1
508,Sergio Duvan Córdova Lezama,23,Forward,Augsburg,359,142,217,Venezuela,16,9,7,2,1,1,1,1,0,0,0,6,3,3,4,1,3,0,0,0.75,0.25,0.5,0.63,0.41,180,1,90,22,0,359,0,25,45,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Sheraldo Becker,26,Forward,Union Berlin,536,250,286,Netherlands,13,5,8,0,0,0,2,2,0,0,0,1,1,0,13,5,8,1,0,0.34,0.34,0,0,0,0,2.18,41,41,536,268,0.17,363,18,-1,18,0.2,0,0.7,0.1,0.2,0,0,0,2,0.5,0.6,0.6,0.4,0.2,0.2,0.7,2,0.6,8.8,63.5,0.2,0,0
510,Shinta Karl Appelkamp,20,Midfielder,Fortuna Düsseldorf,0,0,0,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,Sidney Friede,23,Midfielder,Hertha BSC,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,Simon Falette,29,Defender,Eintracht Frankfurt,90,0,90,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,27,0,3,0,5,1,3,0,0,0,0,1,1,1,0,0,0,0,1,63,77.8,0,6,0
513,Simon Straudi,22,Midfielder,Werder Bremen,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,Simon Terodde,33,Forward,Köln,801,368,433,Germany,23,11,12,3,1,2,1,1,0,0,0,4,3,1,14,5,9,4,0,0.45,0.11,0.34,0.24,0.42,267,1.57,57,35,200,801,0.45,57,143,-1,8,0.3,0.1,1.1,0.6,0.4,0.1,0,3,1,1.5,0.3,0.1,0.5,0.1,0.3,0.5,1,0.3,7.3,56.8,0,0.1,0
515,Stefan Bell,29,Defender,Mainz 05,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,Stefan Ilsanker,32,Midfielder,Eintracht Frankfurt,1255,597,658,Austria,18,8,10,2,0,2,1,0,1,0,0,3,1,2,29,11,18,6,0,0.22,0.07,0.14,0,0.27,628,2.08,43,70,209,1255,0.43,138,213,-1,8,0.5,1.2,0.7,3.5,0.5,0.5,0,0,0,1,0.2,0.2,0.3,0,0.2,0,0,0.2,61.8,88.9,0.2,3.2,0
517,Stefan Ilsanker,32,Midfielder,Eintracht Frankfurt,1255,597,658,Austria,18,8,10,2,0,2,1,0,1,0,0,3,1,2,29,11,18,6,0,0.22,0.07,0.14,0,0.27,628,2.08,43,70,209,1255,0.43,138,213,-1,8,1.9,1.6,1.3,2.1,1.1,0.1,0,2,1,0.5,0.5,0.3,0.8,0,0.3,0.7,1,0.5,44.4,80.3,0.2,2.4,0.1
518,Stefan Lainer,28,Midfielder,Borussia M'gladbach,2714,1320,1394,Austria,31,15,16,1,0,1,3,1,2,0,0,5,2,3,32,15,17,9,0,0.13,0.1,0.03,0,0.06,2714,1.06,85,88,302,905,0.3,225,163,-1,11,1.6,0.9,1.3,1.9,1,0.2,0,1,3,0.5,1.2,1.1,0.9,0,1,1,3,1.2,37.9,71.4,0.8,2.2,0
519,Stefan Posch,24,Defender,Hoffenheim,2316,1114,1202,Austria,28,13,15,0,0,0,0,0,0,0,0,7,2,5,34,23,11,9,0,0,0,0,0,0,0,1.32,68,83,257,0,0.35,351,352,53,24,2.3,1.4,1.4,3.1,1,0.9,0,0,0,0.9,0.2,0.3,0.8,0,0.4,0.6,0,0.2,49.6,79.8,0.1,2.4,0
520,Stefano Russo,20,Defender,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Stefanos Kapino,27,Goalkeeper,Werder Bremen,90,0,90,Greece,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,63,0,8,0
522,Stephan Lichtsteiner,37,Defender,Augsburg,1348,760,588,Switzerland,20,11,9,0,0,0,1,0,1,0,0,3,2,1,32,17,15,5,1,0.07,0.07,0,0,0,0,2.14,42,67,270,1348,0.33,245,200,139,18,1.2,0.8,0.7,1.6,0.6,0.4,1,0,1,0.1,0.4,0.3,1.2,0.1,0.3,0.4,1,0.4,20,66,0.3,0.7,0
523,Steven Skrzybski,28,Forward,Fortuna Düsseldorf,528,159,369,Germany,11,6,5,1,0,1,2,0,2,0,0,1,1,0,13,3,10,0,0,0.51,0.34,0.17,0,0.24,528,2.22,41,48,0,264,0,115,19,-1,6,0.4,0.9,0.3,0.4,1.5,0,0,1,2,1.3,0.5,0.5,1.4,0.1,1.3,1.1,2,0.5,10.2,68.8,0.1,0.2,0
524,Steven Zuber,29,Midfielder,Hoffenheim,753,309,444,Switzerland,14,6,8,2,1,1,0,0,0,0,1,4,1,3,15,11,4,1,0,0.24,0,0.24,0.29,0.2,377,1.79,50,54,753,0,0.12,93,353,-1,10,0.8,0.6,0.6,0.8,0.7,0.1,0,2,0,0.7,0.3,0.6,0.4,0,0.5,0.6,0,0.3,24.9,82.8,0.2,0.7,0
525,Streli Mamba,26,Midfielder,Paderborn,1527,752,775,Congo DR,24,13,11,5,2,3,2,0,2,0,0,3,1,2,28,17,11,5,0,0.41,0.12,0.29,0.24,0.35,305,1.65,55,64,305,764,0.29,72,136,-1,3,0.6,0.3,1.5,0.1,0.5,0.1,0,5,2,1,0.4,0.6,1.2,0.5,0.9,1.7,2,0.4,11,76,0,0.1,0
526,Suat Serdar,24,Midfielder,Schalke 04,1605,827,778,Germany,20,11,9,7,6,1,0,0,0,0,0,5,4,1,27,10,17,2,0,0.39,0,0.39,0.65,0.12,229,1.51,59,80,803,0,0.11,47,283,-1,1,2.8,1.2,1.5,0.4,2.2,0.4,0,7,0,1.8,0.6,2.7,1.7,0.1,2.2,2.1,0,0.6,23.8,75.4,0,0.9,0.2
527,Suleiman Abdullahi,24,Forward,Union Berlin,153,102,51,Nigeria,6,4,2,1,1,0,0,0,0,0,0,1,1,0,4,3,1,1,0,0.59,0,0.59,0.88,0,153,2.35,38,26,153,0,0.59,-1,-1,-1,11,0,0.2,0,0,0.5,0.2,0,1,0,1,0.2,0.3,0,0.5,0,1.2,0,0.2,5.7,52.9,0.2,0.2,0
528,Sven Bender,32,Defender,Bayer Leverkusen,2730,1290,1440,Germany,33,17,16,2,1,1,1,1,0,0,0,10,6,4,35,16,19,3,0,0.1,0.03,0.07,0.07,0.06,1365,1.15,78,83,910,2730,0.1,182,253,36,8,1.6,2,0.8,2.6,0.8,0.4,0,2,1,0.5,0.1,0.2,0.6,0,0.2,0.5,1,0.1,77.4,91.3,0,3.1,0
529,Sven Michel,30,Midfielder,Paderborn,1366,766,600,Germany,29,16,13,5,1,4,1,1,0,0,0,3,1,2,42,27,15,7,0,0.4,0.07,0.33,0.12,0.6,273,2.77,33,47,195,1366,0.46,58,209,-1,1,0.5,0.2,1,0.2,0.6,0.1,0,5,1,1.4,0.8,0.8,0.5,0.5,1.3,2.4,1,0.8,12,64.9,0.1,0.4,0
530,Sven Ulreich,32,Goalkeeper,Bayern München,90,90,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,90,90,90,0,1,-1,-1,-1,26,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,83,0,3,0
531,Taiwo Micheal Awoniyi,23,Forward,Mainz 05,478,181,297,Nigeria,12,5,7,1,0,1,0,0,0,0,0,1,0,1,9,5,4,1,0,0.19,0,0.19,0,0.3,478,1.69,53,40,478,0,0.19,111,303,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,Taylan Duman,23,Midfielder,Borussia Dortmund,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,Theodor Gebre Selassie,34,Defender,Werder Bremen,2429,1260,1169,Czech Republic,28,14,14,2,2,0,2,1,1,0,0,3,1,2,46,23,23,2,0,0.15,0.07,0.07,0.14,0,1215,1.7,53,87,1215,1215,0.07,185,202,97,7,1.3,2.3,0.9,2.6,0.6,0.3,0,2,2,0.4,0.6,0.1,0.8,0.1,0.4,0.9,2,0.6,39.1,81.4,0.4,1.3,0
534,Thiago Alcantara,30,Midfielder,Bayern München,1772,793,979,Spain,24,11,13,3,1,2,0,0,0,0,0,8,4,4,21,9,12,7,0,0.15,0,0.15,0.11,0.18,591,1.07,84,74,253,0,0.36,133,324,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,Thomas Delaney,29,Midfielder,Borussia Dortmund,836,384,452,Denmark,11,5,6,0,0,0,0,0,0,0,0,6,4,2,6,1,5,4,0,0,0,0,0,0,0,0.65,139,76,209,0,0.43,293,309,-1,18,2,2.4,1.8,2.2,0.5,0.6,1,0,0,0.3,0.1,0.4,1.1,0.1,0.6,0.7,0,0.1,52.7,84.3,0,2.5,0
536,Thomas Kessler,35,Goalkeeper,Köln,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Thomas Kraft,32,Goalkeeper,Hertha BSC,360,180,180,Germany,4,2,2,0,0,0,0,0,0,0,0,0,0,0,9,4,5,1,0,0,0,0,0,0,0,2.25,40,90,360,0,0.25,327,329,140,23,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,28.5,56.1,0,8.8,0
538,Thomas Müller,31,Forward,Bayern München,2259,1065,1194,Germany,33,16,17,8,5,3,21,9,12,0,0,15,7,8,22,10,12,5,0,1.16,0.84,0.32,0.42,0.23,282,0.88,103,68,452,108,0.2,59,1,-1,3,1.4,0.4,0.5,0.2,1.4,0.1,0,8,21,1.6,2.5,0.5,0.8,0.3,0.6,1.6,21,2.5,36.6,78,1,1.3,0.2
539,Thomas Pledl,27,Midfielder,Fortuna Düsseldorf,86,0,86,Germany,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3.14,29,17,0,0,0,-1,-1,-1,25,0.8,0,0.2,0.2,0.2,0,0,0,0,0.2,0.2,0.4,0,0.2,0.4,0.6,0,0.2,6,53.3,0,0,0
540,Thorgan Hazard,28,Forward,Borussia Dortmund,2392,1230,1162,Belgium,33,17,16,7,3,4,13,6,7,0,0,15,9,6,26,12,14,3,0,0.75,0.49,0.26,0.22,0.31,342,0.98,92,72,797,184,0.11,82,6,-1,5,1.2,0.4,1.1,0,1.2,0,0,7,13,1.5,1.7,1.5,1.2,0.4,1.7,1.8,13,1.7,33.1,81,1,1,0
541,Tim Kleindienst,25,Forward,Freiburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Tim Lemperle,19,Forward,Köln,15,0,15,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,100,0,0,0
543,Tim Rieder,27,Defender,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Timo Becker,24,Defender,Schalke 04,333,237,96,Germany,10,5,5,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,0,0,0,2.43,37,33,0,0,0,249,263,144,12,1,0.3,0.2,0.6,0.4,0.1,0,0,0,0.4,0.4,0.5,0.2,0,0.2,1,0,0.4,11.7,77.8,0.3,0.6,0
545,Timo Horn,28,Goalkeeper,Köln,3060,1530,1530,Germany,34,17,17,0,0,0,0,0,0,0,0,6,5,1,67,25,42,0,0,0,0,0,0,0,0,1.97,46,90,0,0,0,373,371,127,25,0,0.1,0,1.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,32.2,71.7,0,9.9,0
546,Timo Werner,25,Forward,RB Leipzig,2808,1446,1362,Germany,34,17,17,28,11,17,8,5,3,3,0,10,2,8,25,14,11,4,0,1.15,0.26,0.9,0.68,1.12,100,0.8,112,83,702,351,0.13,5,39,-1,1,0.6,0.1,0.5,0,0.4,0,0,28,8,3.6,1.6,1.7,0.9,1.3,1,2.5,8,1.6,27.7,75.6,0.5,0.7,0
547,Timothy Chandler,31,Defender,Eintracht Frankfurt,1212,443,769,USA,22,9,13,5,3,2,1,0,1,0,0,2,2,0,24,6,18,4,0,0.45,0.07,0.37,0.61,0.23,242,1.78,51,55,303,1212,0.3,51,193,107,5,1,0.6,0.7,0.9,0.3,0.2,0,5,1,0.9,0.5,0.3,0.5,0.2,0.2,0.6,1,0.5,15.5,63.3,0.7,0.6,0
548,Tin Jedvaj,25,Defender,Augsburg,2642,1508,1134,Croatia,31,17,14,2,2,0,0,0,0,0,0,7,3,4,47,27,20,6,0,0.07,0,0.07,0.12,0,1321,1.6,56,85,440,0,0.2,192,378,85,8,1.4,1.9,0.6,3.7,0.8,0.6,1,2,0,0.5,0.2,0.2,0.5,0,0.3,0.4,0,0.2,34.2,73.7,0.1,2.5,0
549,Tobias Raschl,21,Midfielder,Borussia Dortmund,25,25,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,-1,-1,-1,24,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,87.5,0,1,0
550,Tobias Sippel,33,Goalkeeper,Borussia M'gladbach,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Tobias Strobl,31,Midfielder,Borussia M'gladbach,613,166,447,Germany,10,2,8,0,0,0,0,0,0,0,0,1,0,1,9,3,6,1,0,0,0,0,0,0,0,1.32,68,61,613,0,0.15,247,289,-1,14,0.9,1.1,1.2,0.5,0.5,0.4,0,0,0,0.1,0.4,0.4,1,0,0.2,0.3,0,0.4,38.6,87,0,2.4,0.1
552,Tom Krauß,19,Midfielder,RB Leipzig,3,0,3,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0,0
553,Tomáš Koubek,28,Goalkeeper,Augsburg,2160,1080,1080,Czech Republic,24,12,12,0,0,0,0,0,0,0,0,4,2,2,50,22,28,2,0,0,0,0,0,0,0,2.08,43,90,1080,0,0.08,307,311,136,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Toni Leistner,30,Defender,Köln,1012,494,518,Germany,13,6,7,0,0,0,0,0,0,0,0,2,1,1,21,10,11,3,0,0,0,0,0,0,0,1.87,48,78,337,0,0.27,277,272,117,18,1.5,2.5,1.2,4.3,0.6,0.5,0,0,0,0.2,0.2,0.5,0.5,0,0,0.5,0,0.2,49.2,81.1,0.2,5.3,0
555,Tony Jantschke,31,Defender,Borussia M'gladbach,1010,422,588,Germany,17,7,10,0,0,0,0,0,0,0,0,4,1,3,11,5,6,6,0,0,0,0,0,0,0,0.98,92,59,168,0,0.53,255,347,19,17,1.9,1.6,1,2.7,0.5,0.6,0,0,0,0.2,0.4,0.1,0.2,0,0,0.2,0,0.4,37.4,80.3,0.2,2.2,0.1
556,Torben Müsel,21,Forward,Borussia M'gladbach,0,0,0,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,Tyler Adams,22,Midfielder,RB Leipzig,955,624,331,USA,14,8,6,0,0,0,0,0,0,0,0,3,0,3,10,8,2,0,0,0,0,0,0,0,0,0.94,96,68,0,0,0,263,267,-1,16,1.6,1,0.6,0.8,0.9,0.1,0,0,0,0.5,0.5,0.3,1.1,0,0.6,0.5,0,0.5,45.5,83.5,0.2,1.2,0
558,Ulysses Llanez Jr.,20,Forward,Wolfsburg,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Uwe Hünemeier,35,Defender,Paderborn,1207,563,644,Germany,16,8,8,1,1,0,0,0,0,1,0,3,0,3,28,20,8,7,1,0.07,0,0.07,0.16,0,1207,2.09,43,75,172,0,0.52,186,380,137,14,1.3,1.5,1.1,3.9,0.6,0.8,0,1,0,0.8,0.4,0.1,0.3,0.1,0,0.4,0,0.4,50.8,86.5,0,5.4,0
560,Valon Berisha,28,Midfielder,Fortuna Düsseldorf,949,614,335,Kosovo,13,8,5,0,0,0,1,1,0,0,0,2,1,1,13,9,4,1,0,0.09,0.09,0,0,0,0,1.23,73,73,949,949,0.09,285,178,-1,11,1.1,0.7,0.9,0.6,1.2,0.1,0,0,1,0.9,1.1,0.1,0.5,0.1,0.8,1.3,1,1.1,28.5,83.8,0.3,1.4,0
561,Vedad Ibišević,36,Forward,Hertha BSC,1256,577,679,Bosnia and Herzegovina,25,13,12,7,2,5,2,1,1,1,0,6,4,2,19,8,11,4,0,0.64,0.14,0.5,0.31,0.66,179,1.36,66,50,314,628,0.29,24,112,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,Vincent Koziello,25,Midfielder,Köln,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,Vincenzo Grifo,28,Midfielder,Freiburg,1634,890,744,Italy,27,14,13,4,2,2,8,5,3,1,0,4,4,0,24,10,14,2,1,0.66,0.44,0.22,0.2,0.24,409,1.32,68,61,545,204,0.17,97,7,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,91.7,0,2,0
564,Vincenzo Grifo,28,Midfielder,Freiburg,1634,890,744,Italy,27,14,13,4,2,2,8,5,3,1,0,4,4,0,24,10,14,2,1,0.66,0.44,0.22,0.2,0.24,409,1.32,68,61,545,204,0.17,97,7,-1,5,0.6,0.5,0.4,0.6,0.7,0,0,4,8,1.9,1.6,1,0.6,0.2,1,1.7,8,1.6,25.1,79.2,1.3,1.5,0.1
565,Vladimír Darida,30,Midfielder,Hertha BSC,2261,1179,1082,Czech Republic,28,15,13,3,3,0,4,2,2,0,0,7,5,2,42,20,22,8,1,0.28,0.16,0.12,0.23,0,754,1.67,54,81,283,565,0.32,150,98,-1,8,1.8,1,1.4,0.6,1.3,0.3,0,3,4,1.5,1.8,0.9,0.9,0.1,1.6,1.8,4,1.8,37.3,75.9,1.2,2.5,0.1
566,Wendell,27,Defender,Bayer Leverkusen,1904,967,937,Brazil,24,12,12,0,0,0,2,2,0,0,0,7,4,3,28,13,15,6,1,0.09,0.09,0,0,0,0,1.32,68,79,317,952,0.28,378,176,54,20,2.7,1.5,1.3,1.5,1,0.2,0,0,2,0.4,0.6,0.6,1,0,0.3,1.2,2,0.6,69.1,86.3,0.1,2.4,0
567,Weston McKennie,22,Midfielder,Schalke 04,2077,1037,1040,USA,28,14,14,3,1,2,0,0,0,0,0,5,2,3,40,18,22,8,0,0.13,0,0.13,0.09,0.17,692,1.73,52,74,260,0,0.35,143,391,-1,6,1.4,1.6,1.3,1.3,1,0.4,0,3,0,1.1,0.6,1,0.5,0,0.7,1.1,0,0.6,36.7,80.9,0,2.2,0
568,Willi Orban,28,Defender,RB Leipzig,853,373,480,Germany,12,6,6,1,0,1,0,0,0,0,0,3,0,3,9,7,2,0,0,0.11,0,0.11,0,0.19,853,0.95,95,71,0,0,0,155,364,16,14,1.7,1.3,0.5,4.3,0.7,0.3,0,1,0,0.6,0.3,0.2,0.9,0.2,0.1,0.2,0,0.3,48.8,87.5,0,2.4,0
569,William de Asevedo Furtado,26,Defender,Wolfsburg,1365,645,720,Brazil,16,8,8,1,1,0,1,0,1,0,0,5,2,3,15,7,8,0,0,0.13,0.07,0.07,0.14,0,1365,0.99,91,85,0,1365,0,181,198,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,Woo-Yeong Jeong,21,Midfielder,Bayern München,0,0,0,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
