,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
156,Davide Calabria,24,Defender,AC Milan,1619,910,709,Italy,25,14,11,1,1,0,1,0,1,0,0,8,5,3,20,8,12,5,2,0.11,0.06,0.06,0.1,0,1619,1.11,81,65,270,1619,0.33,223,214,48,12,2.1,0.8,0.6,1.4,0.2,0,1,1,0.5,0.5,0.4,0.9,0,0.1,0.8,1,0.5,38.1,81.1,0.6,2.5,0
157,Davide Faraoni,29,Defender,Hellas Verona,3229,1699,1530,Italy,36,19,17,5,2,3,3,2,1,0,0,10,5,5,39,21,18,6,0,0.22,0.08,0.14,0.11,0.18,646,1.09,83,90,538,1076,0.17,138,189,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Davide Riccardi,25,Defender,Lecce,19,19,0,Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.74,19,19,0,0,0,-1,-1,-1,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66.7,0,0,0
159,Davide Santon,30,Defender,Roma,616,175,441,Italy,15,6,9,0,0,0,0,0,0,0,0,3,1,2,11,4,7,4,0,0,0,0,0,0,0,1.61,56,41,154,0,0.58,436,447,132,24,0.7,0.7,1.1,0.6,0.1,0,0,0,0.1,0.1,0.7,0.5,0.1,0.2,0.5,0,0.1,23.3,90.8,0.1,1.2,0
160,Davide Zappacosta,28,Defender,Roma,446,92,354,Italy,9,4,5,0,0,0,1,0,1,0,0,0,0,0,7,1,6,0,0,0.2,0.2,0,0,0,0,1.41,64,50,0,446,0,434,64,102,27,0.8,0.7,0.2,0.7,0.1,0,0,1,0.4,0.8,0.3,0.2,0.3,0.4,0.8,1,0.8,19.4,86.3,0.6,0.3,0
161,Dejan Kulusevski,21,Midfielder,Parma,2937,1493,1444,Sweden,36,19,17,10,5,5,8,4,4,1,0,5,4,1,50,20,30,3,0,0.55,0.25,0.31,0.3,0.31,294,1.53,59,82,979,367,0.09,64,42,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Demba Thiam,23,Goalkeeper,SPAL,180,180,0,Senegal,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1.5,60,90,0,0,0,-1,-1,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Denilho Cleonise,19,Forward,Genoa,43,2,41,Netherlands,4,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,11,22,0,4.19,-1,-1,-1,14,0.3,0.3,0.5,0,0,0,0,0,0.3,0,0,0.3,0,0.5,0,0,0,1.8,100,0,0,0
164,Denis Portanova,19,Defender,Bologna,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Denis Vavro,25,Defender,Lazio,318,90,228,Slovakia,11,5,6,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,1.13,80,29,0,0,0,421,397,55,24,0.3,0.4,0.3,0.8,0.5,0,0,0,0.3,0,0.1,0,0,0.1,0.2,0,0,17.6,88.2,0,1.1,0
166,Diego Abbrandini,19,Goalkeeper,Brescia,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
