,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
10,Adam Smith,29,Defender,AFC Bournemouth,2060,1031,1029,England,24,12,12,0,0,0,1,1,0,0,0,4,3,1,39,18,21,7,0,0.04,0.04,0,0,0,0,1.7,53,86,294,2060,0.31,363,231,139,25,2,1,1,0.2,2,1.1,0.3,0,0,1,0.2,0.4,1,1.7,0.1,0.6,1.1,1,0.4,35,79.5,0.3,1.1,0
11,Adam Uche Idah,20,Forward,Norwich City,219,69,150,Republic of Ireland,12,6,6,0,0,0,0,0,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,0,0,3.29,27,18,0,0,0,-1,-1,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Adam Webster,26,Defender,Brighton & Hove Albion,2670,1206,1464,England,31,14,17,3,0,3,1,0,1,0,0,7,3,4,42,19,23,4,0,0.13,0.03,0.1,0,0.18,890,1.42,64,86,668,2670,0.13,153,255,111,5,1,1.5,0.4,0.4,3.5,0.6,0.8,1,3,1,0.5,0.4,0.5,0.6,0,0.2,0.6,1,0.4,60.6,83.1,0.1,3.7,0
13,Adama Traoré Diarra,25,Midfielder,Wolverhampton Wanderers,2605,1254,1351,Spain,37,19,18,4,2,2,9,4,5,0,0,12,8,4,30,14,16,1,0,0.45,0.31,0.14,0.14,0.13,651,1.04,87,70,2605,289,0.03,119,20,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Adrian Mariappa,34,Defender,Watford,1509,590,919,Jamaica,20,8,12,0,0,0,0,0,0,0,0,5,3,2,27,10,17,6,1,0,0,0,0,0,0,1.61,56,75,252,0,0.36,296,275,127,15,1,0.6,1,0.4,3.4,1,0.4,1,0,0,0.2,0.2,0.1,0.4,0.1,0.2,0.5,0,0.2,23.1,73.2,0.3,1.3,0
15,Adrián San Miguel del Castillo,34,Goalkeeper,Liverpool,873,513,360,Spain,11,7,4,0,0,0,0,0,0,0,0,2,0,2,10,8,2,1,0,0,0,0,0,0,0,1.03,87,79,873,0,0.1,343,309,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ahmed Eissa El Mohamady Abdel Fattah,33,Midfielder,Aston Villa,1026,568,458,Egypt,18,11,7,1,0,1,1,0,1,0,0,6,6,0,25,14,11,1,0,0.18,0.09,0.09,0,0.2,1026,2.19,41,57,1026,1026,0.09,170,148,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ainsley Maitland-Niles,23,Midfielder,Arsenal,1382,685,697,England,20,10,10,0,0,0,2,0,2,0,0,5,1,4,20,12,8,6,1,0.13,0.13,0,0,0,0,1.3,69,69,230,691,0.39,379,98,-1,23,2.1,1.4,0.8,0.2,1.6,1.1,0.2,0,0,2,0.2,0.6,1,0.7,0,0.9,0.9,2,0.6,42,81.9,0.3,1.8,0
18,Akin Famewo,22,Defender,Norwich City,0,0,0,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Albian Ajeti,24,Forward,West Ham United,130,78,52,Switzerland,9,5,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.38,65,14,0,0,0,-1,-1,-1,21,0.1,0,0.7,0,0,0,0,0,0,0,0.3,0.2,0,0,0.2,0.2,0.4,0,0.2,1.7,80,0,0,0
20,Alex Iwobi,24,Forward,Everton,1604,754,850,Nigeria,25,12,13,1,1,0,0,0,0,0,0,4,3,1,27,9,18,0,0,0.06,0,0.06,0.12,0,1604,1.51,59,64,0,0,0,198,388,-1,9,1,0.6,0.5,0,0.4,0.8,0.1,0,1,0,0.9,1,1.3,0.2,0,0.7,1.4,0,1,22.3,79.7,0.5,1.1,0.2
21,Alex McCarthy,31,Goalkeeper,Southampton,2520,1260,1260,England,28,14,14,0,0,0,0,0,0,0,0,7,3,4,33,16,17,0,0,0,0,0,0,0,0,1.18,76,90,0,0,0,329,354,61,19,0,0,0,0,0.9,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,26.6,51.5,0,7.2,0
22,Alex Oxlade-Chamberlain,27,Midfielder,Liverpool,1489,560,929,England,30,13,17,4,2,2,1,0,1,0,0,12,5,7,12,3,9,1,0,0.3,0.06,0.24,0.32,0.19,372,0.73,124,50,1489,1489,0.06,74,192,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Alexander Banor Tettey,35,Midfielder,Norwich City,2351,1227,1124,Norway,30,15,15,1,1,0,1,0,1,0,0,5,2,3,43,23,20,5,0,0.08,0.04,0.04,0.07,0,2351,1.65,55,78,470,2351,0.19,230,221,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Alexander Cochrane,0,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Alexandre Jankewitz,19,Midfielder,Southampton,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Alexandre Lacazette,29,Forward,Arsenal,1878,998,880,France,30,15,15,10,8,2,4,3,1,0,0,8,4,4,24,12,12,8,0,0.67,0.19,0.48,0.72,0.2,188,1.15,78,63,235,470,0.38,23,62,-1,2,1,0.2,1.5,0,0.5,0.5,0,0,10,4,1.7,0.8,0.8,1.5,0.4,1.2,1.8,4,0.8,16.8,76.4,0.2,0.4,0
27,Alexandre Nascimento Costa Silva,24,Forward,West Ham United,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Alexis Mac Allister,22,Midfielder,Brighton & Hove Albion,351,184,167,Argentina,9,4,5,0,0,0,0,0,0,0,0,4,1,3,6,5,1,0,0,0,0,0,0,0,0,1.54,59,39,0,0,0,261,314,-1,25,1,0.1,0.4,0,0.1,0.4,0,0,0,0,0.8,0.6,0.2,0.4,0.1,0.8,0.8,0,0.6,10.9,75.5,0.3,0.2,0
29,Alfie Lewis,21,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Alfie Whiteman,22,Goalkeeper,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Ali Koiki,20,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Alireza Jahanbakhsh,27,Forward,Brighton & Hove Albion,307,177,130,Iran,10,6,4,2,2,0,0,0,0,0,0,2,1,1,4,1,3,0,0,0.59,0,0.59,1.02,0,154,1.17,77,31,0,0,0,15,291,-1,7,0.8,0.3,0.2,0,0.1,0.2,0,0,2,0,1.2,0.4,0.8,0.7,0.1,0.6,0.8,0,0.4,11.2,75,0,0.3,0.1
33,Alisson Becker,28,Goalkeeper,Liverpool,2545,1195,1350,Brazil,29,14,15,0,0,0,1,1,0,0,0,13,7,6,23,8,15,1,1,0.04,0.04,0,0,0,0,0.81,111,88,1273,2545,0.07,312,223,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Allan Saint-Maximin,24,Midfielder,Newcastle United,1874,1028,846,France,26,15,11,3,1,2,4,1,3,0,0,10,6,4,19,10,9,0,0,0.34,0.19,0.14,0.09,0.21,625,0.91,99,72,0,469,0,114,63,-1,4,0.5,0.3,0.7,0,0.2,0.5,0.1,0,3,4,1.8,1.3,4.7,1.8,0.1,2,2.8,4,1.3,16.6,79.1,0.3,0.8,0
35,André Filipe Tavares Gomes,27,Midfielder,Everton,1460,838,622,Portugal,19,10,9,0,0,0,1,1,0,0,0,6,3,3,18,10,8,6,0,0.06,0.06,0,0,0,0,1.11,81,77,243,1460,0.37,396,193,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Andre Gray,29,Forward,Watford,744,470,274,England,23,9,14,2,1,1,0,0,0,0,0,5,3,2,14,10,4,1,0,0.24,0,0.24,0.19,0.33,372,1.69,53,32,744,0,0.12,75,363,-1,8,0.2,0,0.4,0,0.1,0.1,0,0,2,0,0.8,0.4,0.3,0,0.3,0.6,1.3,0,0.4,6.5,65.3,0,0.2,0
37,Andreas Christensen,25,Defender,Chelsea,1754,808,946,Denmark,21,10,11,0,0,0,0,0,0,0,0,3,3,0,32,9,23,5,0,0,0,0,0,0,0,1.64,55,84,351,0,0.26,313,408,131,23,1.8,1.4,0.8,0.4,2.7,0.3,0.4,0,0,0,0.3,0.2,0.2,0.5,0,0,0.2,0,0.2,62.2,91.4,0,2.5,0.1
38,Andreas Pereira,25,Midfielder,Manchester United,1490,787,703,Brazil,25,12,13,1,1,0,3,2,1,0,0,8,5,3,16,7,9,3,0,0.24,0.18,0.06,0.11,0,1490,0.97,93,60,497,497,0.18,207,69,-1,12,1,0.3,1.1,0,0.2,1.2,0,0,1,3,1.5,1.3,0.8,0.6,0.1,1.6,1.8,3,1.3,28,78.3,0.4,1.2,0
39,Andrew Lonergan,37,Goalkeeper,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Andrew Robertson,27,Defender,Liverpool,3113,1553,1560,Scotland,36,18,18,2,1,1,12,6,6,0,0,14,7,7,31,15,16,2,0,0.4,0.35,0.06,0.06,0.06,1557,0.9,100,86,1557,259,0.06,210,14,28,12,1.5,1.1,0.5,0.5,1.6,0.9,0.2,0,2,12,0.6,1.7,0.6,0.4,0.1,0.3,1.4,12,1.7,69.2,83.7,1.1,2.3,0
41,Andrew Surman,34,Midfielder,AFC Bournemouth,233,0,233,England,5,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,0,0,0,0,2.32,39,47,233,0,0.39,-1,-1,-1,23,0.8,0.2,0.2,0,0.8,0.4,0,0,0,0,0.2,0.2,0,0.2,0,0.4,0.8,0,0.2,25.4,81.1,0.4,1.2,0
42,Andriy Yarmolenko,31,Forward,West Ham United,986,566,420,Ukraine,23,11,12,5,4,1,1,1,0,0,0,6,2,4,16,10,6,2,0,0.55,0.09,0.46,0.64,0.21,197,1.46,62,43,493,986,0.18,27,144,-1,3,0.6,0.3,0.7,0,0.2,0.7,0,0,5,1,1.1,0.8,0.4,0.4,0.3,0.5,1,1,0.8,17.5,80.6,0.2,1,0
43,Andros Townsend,29,Midfielder,Crystal Palace,1290,567,723,England,24,11,13,1,1,0,1,1,0,0,0,7,4,3,22,6,16,0,0,0.14,0.07,0.07,0.16,0,1290,1.53,59,54,0,1290,0,192,186,-1,10,1.4,0.6,0.4,0,0.3,0.9,0,0,1,1,0.5,0.5,1.6,1.1,0,1.5,1.3,1,0.5,16.4,76.6,0.7,0.5,0
44,Andy Carroll,32,Forward,Newcastle United,618,326,292,England,19,10,9,0,0,0,4,3,1,0,0,6,4,2,7,4,3,1,0,0.58,0.58,0,0,0,0,1.02,88,33,618,155,0.15,258,2,-1,20,0.3,0.1,0.9,0.1,1.3,0.3,0.1,0,0,4,0.8,0.6,0.3,0.7,0.3,0.6,1.3,4,0.6,10.9,61.1,0.1,0.4,0
45,Angel Gomes,20,Midfielder,Manchester United,19,10,9,England,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4.74,19,10,0,0,0,-1,-1,-1,17,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,6.5,84.6,0,1,0.5
46,Angelo Ogbonna,32,Defender,West Ham United,2787,1260,1527,Italy,31,14,17,2,2,0,0,0,0,0,0,7,3,4,42,20,22,4,0,0.06,0,0.06,0.14,0,1394,1.36,66,90,697,0,0.13,214,293,105,10,1.2,0.9,0.7,0.8,4.2,0.5,1,1,2,0,0.4,0.1,0.2,0.5,0,0.1,0.3,0,0.1,31.5,76.2,0,2.5,0
47,Angus Gunn,25,Goalkeeper,Southampton,900,450,450,England,10,5,5,0,0,0,0,0,0,0,0,2,0,2,23,17,6,0,0,0,0,0,0,0,0,2.3,39,90,0,0,0,323,405,166,13,0.1,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,23.1,37.7,0,4.3,0
48,Anthony Driscoll-Glennon,21,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Anthony Gordon,20,Midfielder,Everton,437,273,164,England,11,5,6,0,0,0,1,1,0,0,0,3,1,2,6,4,2,0,0,0.21,0.21,0,0,0,0,1.24,73,40,0,437,0,263,50,-1,13,1,0.7,0.9,0,0.1,0.9,0.2,0,0,1,0.5,0.5,1,1.1,0.1,0.7,1,1,0.5,10.3,78.8,0.4,0.3,0
50,Anthony Martial,25,Forward,Manchester United,2640,1273,1367,France,32,16,16,17,11,6,6,5,1,0,1,12,6,6,24,13,11,1,0,0.78,0.2,0.58,0.78,0.4,155,0.82,110,83,2640,440,0.03,16,54,-1,2,0.5,0.2,0.9,0,0.5,0.5,0,0,17,6,2.5,0.9,1.6,1.3,0.4,1.9,2.3,6,0.9,22.3,80.6,0.1,0.3,0.1
51,Antonio Rüdiger,28,Defender,Chelsea,1710,900,810,Germany,20,10,10,2,0,2,0,0,0,0,0,5,4,1,23,9,14,3,0,0.11,0,0.11,0,0.22,855,1.21,74,86,570,0,0.16,136,270,65,10,1.4,0.8,1,0.3,2.8,0.5,0.5,1,2,0,0.6,0.3,0.2,0.4,0,0.2,0.3,0,0.3,74.6,86.8,0.1,5.7,0
52,Anwar El Ghazi,25,Forward,Aston Villa,2060,1209,851,Netherlands,34,18,16,4,4,0,4,0,4,1,0,6,6,0,45,25,20,3,0,0.35,0.17,0.17,0.3,0,515,1.97,46,61,687,515,0.13,101,71,-1,4,0.6,0.4,0.6,0,0.4,0.5,0,0,4,4,1.5,0.9,0.9,0.5,0.4,1,1.6,4,0.9,14.1,72.4,0.8,0.4,0
53,Archie Mair,20,Goalkeeper,Norwich City,0,0,0,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Armando Broja,19,Forward,Chelsea,4,4,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,100,0,0,0
55,Arnaut Groeneveld,24,Forward,AFC Bournemouth,626,320,306,Netherlands,14,7,7,0,0,0,0,0,0,0,0,2,1,1,12,7,5,0,0,0,0,0,0,0,0,1.73,52,45,0,0,0,269,298,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Arthur Masuaku,27,Defender,West Ham United,933,362,571,France,17,7,10,0,0,0,1,1,0,0,0,5,2,3,17,9,8,6,1,0.1,0.1,0,0,0,0,1.64,55,55,156,933,0.58,262,132,132,22,2.4,0.8,0.6,0.4,1.3,0.9,0.3,0,0,1,0.3,0.4,1.6,0.5,0,1.1,0.9,1,0.4,29.6,80.3,0.3,1,0
57,Artur Boruc,41,Goalkeeper,AFC Bournemouth,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Ashley Barnes,31,Forward,Burnley,1362,750,612,England,19,11,8,6,3,3,0,0,0,1,0,7,5,2,21,12,9,4,0,0.4,0,0.4,0.36,0.44,227,1.39,65,72,341,0,0.26,36,413,-1,3,0.5,0.3,1.8,0,0.4,0.3,0.1,0,6,0,2.1,0.3,0.3,2.1,0.7,1,2,0,0.3,13.2,54.6,0,0.2,0
59,Ashley Westwood,31,Midfielder,Burnley,3150,1530,1620,England,35,17,18,2,1,1,6,4,2,0,0,15,8,7,37,16,21,9,0,0.23,0.17,0.06,0.06,0.06,1575,1.06,85,90,350,525,0.26,201,70,-1,6,1.5,0.9,0.9,0,0.7,0.9,0.3,0,2,6,0.4,1.5,0.2,0.9,0,0.3,0.8,6,1.5,49.7,78.7,1.1,3.3,0.1
60,Ashley Young,35,Midfielder,Manchester United,954,416,538,England,12,5,7,0,0,0,0,0,0,0,0,2,1,1,9,3,6,5,0,0,0,0,0,0,0,0.85,106,80,191,0,0.47,389,403,-1,24,1.2,0.9,1.2,0.1,1.8,1,0.2,0,0,0,0.3,1.6,0.6,1.3,0,0.6,0.8,0,1.6,47.6,80.6,1.8,2.3,0
61,Axel Tuanzebe,23,Defender,Manchester United,186,90,96,England,5,2,3,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0.97,93,37,0,0,0,-1,-1,-1,25,0.4,1,0.6,0.2,0.8,0.2,0,0,0,0,0,0,0,0.6,0,0.4,0.2,0,0,27.2,88.2,0,0.8,0
62,Aymeric Laporte,26,Defender,Manchester City,1104,460,644,France,15,7,8,1,0,1,0,0,0,0,0,11,6,5,5,2,3,1,0,0.08,0,0.08,0,0.14,1104,0.41,221,74,1104,0,0.08,175,285,1,12,0.9,1.3,0.6,0.7,1.7,0.3,0.3,0,1,0,0.3,0.2,0.1,0.6,0,0.1,0.1,0,0.2,76.5,92.5,0,3.9,0
63,Ayotomiwa Dele-Bashiru,21,Midfielder,Watford,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Ayoze Perez,27,Forward,Leicester City,2019,922,1097,Spain,33,16,17,8,3,5,4,0,4,1,0,12,7,5,23,10,13,0,0,0.53,0.18,0.36,0.29,0.41,252,1.03,88,61,0,505,0,45,66,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Bailey Peacock-Farrell,24,Goalkeeper,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Bakayo Sako,0,Midfielder,Arsenal,1755,834,921,England,26,13,13,1,0,1,5,3,2,0,0,8,4,4,17,7,10,6,0,0.31,0.26,0.05,0,0.1,1755,0.87,103,68,293,351,0.31,221,31,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Ben Chilwell,24,Defender,Leicester City,2376,1306,1070,England,27,15,12,3,1,2,3,1,2,0,0,10,5,5,24,15,9,3,0,0.23,0.11,0.11,0.07,0.17,792,0.91,99,88,792,792,0.11,144,126,29,7,1.6,1,1.1,0.2,2,1.1,0.2,0,3,3,0.6,1.3,0.7,1.1,0,0.8,1.9,3,1.3,61.3,78.3,0.7,2,0
68,Ben Davies,28,Defender,Tottenham Hotspur,1432,646,786,Wales,18,9,9,0,0,0,0,0,0,0,0,5,4,1,18,6,12,6,0,0,0,0,0,0,0,1.13,80,80,239,0,0.38,284,394,55,19,1.6,1.2,1.5,0.4,2.3,0.8,0.7,0,0,0,0.4,0.5,0.5,0.4,0.1,0.5,0.4,0,0.5,44.2,76.6,0.6,1.4,0
69,Ben Foster,38,Goalkeeper,Watford,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,9,7,2,58,25,33,1,0,0,0,0,0,0,0,1.53,59,90,3420,0,0.03,398,368,123,17,0,0,0.1,0,0.8,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,28.7,40.4,0,8.5,0
70,Ben Gibson,28,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Ben Godfrey,23,Midfielder,Norwich City,2646,1336,1310,England,30,15,15,0,0,0,0,0,0,0,0,4,2,2,59,30,29,4,1,0,0,0,0,0,0,2.01,45,88,529,0,0.17,346,332,-1,27,0.7,0.8,0.5,0.3,4.9,0.3,1.2,1,0,0,0.5,0.1,0.3,0.3,0,0.1,0.4,0,0.1,55.3,87.9,0,3.2,0
