,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
394,Manuel Castellano Castro,32,Defender,CA Osasuna,193,103,90,Spain,4,2,2,0,0,0,0,0,0,0,0,1,0,1,4,2,2,2,0,0,0,0,0,0,0,1.87,48,48,97,0,0.93,-1,-1,-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Manuel Garrido Alvarez,20,Forward,Leganés,115,56,59,Spain,4,2,2,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,1.57,58,29,115,0,0.78,-1,-1,-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Manuel Javier Vallejo Galván,24,Forward,Valencia CF,413,211,202,Spain,11,6,5,2,0,2,0,0,0,0,0,2,1,1,4,1,3,0,0,0.44,0,0.44,0,0.89,207,0.87,103,38,0,0,0,18,321,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Manuel Morlanes Ariño,22,Midfielder,Villarreal,249,40,209,Spain,9,4,5,0,0,0,1,1,0,0,0,7,4,3,3,0,3,0,0,0.36,0.36,0,0,0,0,1.08,83,28,0,249,0,-1,-1,-1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Manuel Reina Rodríguez,36,Goalkeeper,RCD Mallorca,3240,1710,1530,Spain,36,19,17,0,0,0,0,0,0,0,0,5,5,0,57,21,36,4,0,0,0,0,0,0,0,1.58,57,90,810,0,0.11,334,356,162,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,Manuel Sánchez De La Peña,20,Defender,Atlético Madrid,326,215,111,Spain,5,3,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65,326,0,0.28,338,305,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,Marc Bartra,30,Defender,Real Betis,2527,1119,1408,Spain,30,14,16,3,2,1,1,1,0,0,0,5,2,3,46,20,26,8,0,0.14,0.04,0.11,0.16,0.06,842,1.64,55,84,316,2527,0.28,151,221,168,5,2.1,1.2,1.1,4.1,0.8,0,3,1,0.8,0.2,0.5,0.9,0,0.3,0.6,1,0.2,55.7,85.3,0,3.5,0
401,Marc Cardona Rovira,25,Forward,CA Osasuna,703,234,469,Spain,19,11,8,1,0,1,2,1,1,0,0,7,4,3,14,5,9,1,0,0.38,0.26,0.13,0,0.19,703,1.79,50,37,703,352,0.13,136,25,-1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Marc Cucurella Saseta,22,Defender,Getafe CF,3250,1684,1566,Spain,37,19,18,1,1,0,5,3,2,0,0,14,8,6,32,18,14,9,0,0.17,0.14,0.03,0.05,0,3250,0.89,102,88,361,650,0.25,251,92,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Marc Navarro Ceciliano,25,Defender,Leganés,220,84,136,Spain,4,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,0,1.64,55,55,220,0,0.41,-1,-1,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Marc Pedraza Sarto,34,Midfielder,RCD Mallorca,131,70,61,Spain,3,2,1,0,0,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,2.75,33,44,0,0,0,-1,-1,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Marc Roca Junqué,24,Midfielder,RCD Espanyol,3019,1595,1424,Spain,35,18,17,2,2,0,1,1,0,2,0,6,3,3,49,28,21,8,0,0.09,0.03,0.06,0.11,0,1510,1.46,62,86,377,3019,0.24,212,245,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Marc-André ter Stegen,28,Goalkeeper,FC Barcelona,3240,1710,1530,Germany,36,19,17,0,0,0,2,1,1,0,0,14,8,6,32,13,19,1,0,0.06,0.06,0,0,0,0,0.89,101,90,3240,1620,0.03,348,197,36,19,0.1,0.1,0,0.7,0,0,0,2,0,0.1,0,0.1,0,0,0.1,2,0.1,34.8,86.4,0,6.2,0
407,Marcelo,32,Defender,Real Madrid,1299,611,688,Brazil,15,7,8,1,1,0,2,1,1,0,0,4,2,2,12,7,5,2,0,0.21,0.14,0.07,0.15,0,1299,0.83,108,87,650,650,0.14,197,102,28,20,1.3,1.2,0.5,1.2,0.1,0,1,2,1.1,1.7,1.2,1.2,0,0.7,1.3,2,1.7,59.2,84.2,1.1,3.3,0.1
408,Marco Asensio,25,Midfielder,Real Madrid,334,160,174,Spain,9,5,4,3,2,1,1,1,0,0,0,5,4,1,3,1,2,0,0,1.08,0.27,0.81,1.13,0.52,111,0.81,111,37,0,334,0,1,17,-1,5,0.4,0.1,0.2,0.4,0,0,3,1,0.9,0.9,0.6,0.4,0.1,0.6,0.4,1,0.9,16.1,87.6,0.3,1.2,0
409,Marcos Lavín Rodríguez,24,Goalkeeper,Getafe CF,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Marcos Llorente,26,Midfielder,Atlético Madrid,1367,622,745,Spain,29,14,15,3,0,3,3,1,2,0,0,13,7,6,16,6,10,4,0,0.4,0.2,0.2,0,0.36,456,1.05,85,47,342,456,0.26,88,50,-1,8,1,0.5,0.8,0.3,0.1,0,3,3,0.5,0.6,0.9,0.4,0.1,0.9,1,3,0.6,16.6,78.8,0.1,0.4,0
411,Mariano,27,Forward,Real Madrid,40,7,33,Dominican Republic,5,3,2,1,1,0,0,0,0,0,0,3,3,0,2,0,2,1,0,2.25,0,2.25,12.86,0,40,4.5,20,8,40,0,2.25,-1,-1,-1,21,0,0,0.4,0,0,0,1,0,1.2,0.2,0.2,0,0,0,0,0,0.2,2.8,71.4,0,0,0
412,Mario Gaspar,30,Defender,Villarreal,1962,970,992,Spain,25,12,13,0,0,0,2,0,2,0,0,7,4,3,27,13,14,2,0,0.09,0.09,0,0,0,0,1.24,73,78,981,981,0.09,398,137,105,20,1.4,1,1.4,2.4,0.4,0,0,2,0.6,0.8,0.2,0.4,0,0.2,0.6,2,0.8,34.6,75,0.4,1.1,0
413,Mario Hermoso,25,Defender,Atlético Madrid,1220,741,479,Spain,17,11,6,0,0,0,0,0,0,0,0,9,6,3,9,6,3,4,1,0,0,0,0,0,0,0.66,136,72,244,0,0.37,394,397,14,26,0.9,0.7,1.1,3.5,0.3,0,0,0,0.2,0.1,0.4,0.5,0.1,0.1,0.2,0,0.1,36.8,79.4,0,3.4,0
414,Mario Rodríguez Ruiz,24,Midfielder,Granada CF,1,0,1,Spain,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Markel Bergara,34,Midfielder,Getafe CF,70,70,0,Spain,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,35,35,0,2.57,-1,-1,-1,19,0,0,1.5,1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,8,56.3,0,0,0
