,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
2574,Tim Maciejewski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0
2575,Tim Ream,1.7,0.9,0.4,3.3,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,66.9,90.6,0.0,3.7,0.0
2576,Tim Siersleben,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,83.3,0.0,2.0,0.0
2577,Timo Becker,1.7,1.1,0.5,2.4,0.2,0.0,0.0,0.0,0.3,0.2,0.8,0.5,0.0,0.7,1.3,0.0,0.2,33.3,76.0,0.2,1.4,0.0
2578,Timo Horn,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,35.6,72.7,0.0,9.1,0.0
2579,Timo Werner,0.6,0.2,0.8,0.2,0.0,0.0,6.0,8.0,2.3,1.0,0.8,0.9,0.8,0.8,2.5,8.0,1.0,22.3,78.8,0.3,0.2,0.0
2580,Timothy Castagne,1.9,1.1,0.7,1.9,0.2,0.0,2.0,3.0,0.3,0.8,0.4,0.5,0.0,0.4,0.9,3.0,0.8,49.0,84.3,0.3,0.9,0.0
2581,Timothy Chandler,0.3,0.2,0.4,0.3,0.1,0.0,1.0,0.0,0.4,0.3,0.2,0.1,0.3,0.1,0.3,0.0,0.3,9.9,77.7,0.1,0.5,0.0
2582,Timothy Fosu-Mensah,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,66.0,90.9,1.0,1.0,0.0
2583,Timothy Fosu-Mensah,0.7,1.2,0.8,0.3,0.5,0.0,0.0,0.0,0.3,0.3,0.5,0.7,0.0,0.5,0.8,0.0,0.3,51.2,87.9,0.5,1.8,0.0
2584,Timothy Weah,0.5,0.1,0.5,0.1,0.0,0.0,3.0,0.0,0.9,0.2,0.3,0.3,0.1,0.3,0.9,0.0,0.2,10.0,78.9,0.0,0.0,0.0
2585,Timothée Kolodziejczak,1.2,1.5,1.2,3.3,0.6,0.0,0.0,0.0,0.4,0.1,0.1,0.3,0.0,0.1,0.4,0.0,0.1,53.7,83.1,0.1,2.6,0.0
2586,Timothée Pembélé,1.3,0.8,1.2,1.3,0.0,1.0,1.0,0.0,0.7,0.3,1.3,0.5,0.0,0.5,1.8,0.0,0.3,38.7,91.8,0.0,0.0,0.0
2587,Tin Jedvaj,1.7,0.7,1.3,2.7,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,38.0,81.6,0.0,1.7,0.3
2588,Tinotenda Kadewere,1.1,0.6,1.1,0.8,0.1,0.0,10.0,3.0,1.8,0.6,0.9,0.8,0.3,1.0,1.6,3.0,0.6,17.9,75.2,0.2,0.4,0.0
2589,Tobias Sippel,0.0,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,33.5,61.2,0.0,8.3,0.0
2590,Tobias Strobl,0.7,1.0,0.6,0.8,0.3,0.0,0.0,0.0,0.2,0.5,0.3,0.9,0.0,0.6,1.0,0.0,0.5,27.6,81.9,0.1,1.7,0.0
2591,Toby Alderweireld,1.4,0.4,0.7,4.6,1.1,1.0,1.0,0.0,0.4,0.3,0.2,0.1,0.0,0.1,0.1,0.0,0.3,57.5,82.5,0.0,4.4,0.1
2592,Tolgay Arslan,1.7,0.7,1.3,0.4,0.1,0.0,3.0,0.0,0.7,0.3,1.1,1.5,0.0,0.7,0.7,0.0,0.3,28.9,85.6,0.1,1.3,0.0
2593,Toluwalase Emmanuel Arokodare,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.2,0.2,0.6,0.0,0.3,3.6,72.2,0.0,0.2,0.0
2594,Tom Cairney,0.9,0.0,0.4,0.1,0.0,0.0,1.0,1.0,1.2,1.7,1.6,1.8,0.1,1.1,1.5,1.0,1.7,59.4,92.3,1.2,4.0,0.0
2595,Tom Davies,1.2,1.4,1.0,0.8,0.4,0.0,0.0,1.0,0.3,0.2,0.7,1.0,0.0,0.4,0.8,1.0,0.2,27.9,81.2,0.1,1.4,0.0
2596,Tom Lacoux,1.7,0.9,1.4,0.5,0.2,0.0,0.0,0.0,0.2,0.1,0.4,0.1,0.0,0.7,1.1,0.0,0.1,16.7,86.6,0.0,0.5,0.0
2597,Toma Basic,1.0,0.9,1.2,1.1,0.1,0.0,4.0,1.0,1.3,0.8,0.7,0.9,0.1,0.6,1.4,1.0,0.8,35.8,84.8,0.4,1.7,0.0
2598,Tomas Soucek,2.1,1.6,1.8,2.7,0.5,1.0,10.0,1.0,1.7,0.5,0.4,1.1,0.1,0.6,1.1,1.0,0.5,42.3,75.5,0.0,2.2,0.0
2599,Tomislav Gomelt,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,94.4,0.0,1.0,0.0
2600,Tommaso Augello,1.1,0.9,0.4,1.7,0.1,0.0,1.0,3.0,0.2,0.8,0.8,0.7,0.1,0.4,1.2,3.0,0.8,43.1,79.5,0.7,1.4,0.0
2601,Tommaso Pobega,1.2,0.5,1.4,1.0,0.1,0.0,6.0,0.0,1.1,0.4,0.2,0.9,0.0,0.3,0.9,0.0,0.4,22.0,77.3,0.1,1.0,0.0
2602,Tomás Pina,1.2,1.1,2.1,1.3,0.2,0.0,1.0,1.0,0.3,0.2,0.5,0.9,0.1,0.4,0.9,1.0,0.2,27.5,82.5,0.0,0.9,0.0
2603,Tomás Rincón,1.9,0.9,2.0,1.1,0.2,0.0,1.0,1.0,0.6,0.4,1.0,1.2,0.0,0.7,1.1,1.0,0.4,37.1,84.6,0.2,2.8,0.0
2604,Tomás Tavares,0.7,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,88.9,0.0,0.3,0.0
2605,Tomás Vaclik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,24.6,80.5,0.0,4.6,0.0
2606,Toni Kroos,1.5,0.5,1.0,0.3,0.2,0.0,3.0,10.0,1.2,2.4,0.6,1.1,0.0,0.3,0.5,10.0,2.4,72.2,93.6,1.3,8.2,0.1
2607,Toni Lato,0.9,0.7,0.9,0.7,0.1,1.0,1.0,0.0,0.1,0.2,0.2,0.3,0.1,0.3,0.4,0.0,0.2,19.5,77.1,0.2,0.9,0.0
2608,Toni Villa,1.5,0.2,0.8,0.1,0.0,0.0,2.0,0.0,0.7,0.6,1.1,1.5,0.1,0.9,1.6,0.0,0.6,16.2,75.4,0.3,0.8,0.0
2609,Tony Jantschke,0.3,0.5,0.4,0.8,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,32.6,91.6,0.0,0.9,0.0
2610,Tony Mauricio,0.7,0.1,0.7,0.2,0.0,0.0,0.0,4.0,0.5,0.5,0.2,0.4,0.0,0.5,0.3,4.0,0.5,10.8,86.8,0.4,0.8,0.0
2611,Tosin Adarabioyo,1.1,1.3,0.5,5.8,0.6,1.0,0.0,0.0,0.5,0.2,0.3,0.2,0.1,0.2,0.4,0.0,0.2,57.7,86.2,0.0,3.6,0.0
2612,Toño,0.3,0.6,0.8,1.0,0.1,0.0,0.0,2.0,0.2,0.5,0.7,0.8,0.1,0.6,0.9,2.0,0.5,27.0,82.1,0.2,1.0,0.0
2613,Trent Alexander-Arnold,1.6,1.4,0.6,1.2,0.1,0.0,2.0,7.0,1.5,2.1,0.9,0.3,0.1,0.6,0.9,7.0,2.1,66.1,79.4,1.9,4.2,0.1
2614,Trevoh Chalobah,1.6,2.4,0.7,1.9,0.2,0.0,2.0,2.0,0.5,0.3,1.3,0.9,0.0,0.3,0.9,2.0,0.3,41.1,84.8,0.0,2.0,0.1
2615,Trincão,0.1,0.0,0.2,0.1,0.0,0.0,3.0,2.0,0.8,0.3,1.0,0.5,0.3,0.7,0.7,2.0,0.3,13.3,86.3,0.0,0.1,0.0
