,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
859,Enda Stevens,31,Premier League,Defender,Sheffield United,2700,1260,1440,Republic of Ireland,30,14,16,0,0,0,1,1,0,0,0,4,3,1,53,21,32,6,0,0.03,0.03,0.0,0.0,0.0,0,1.77,51,90,450,2700,0.2
860,Eneko Ortiz,18,La Liga,Midfielder,Deportivo Alavés,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
861,Enes Ünal,24,La Liga,Forward,Getafe CF,1321,728,593,Turkey,28,14,14,4,1,3,2,1,1,1,0,9,5,4,12,6,6,4,0,0.41,0.14,0.27,0.12,0.46,330,0.82,110,47,330,661,0.27
862,Enis Bardhi,26,La Liga,Midfielder,Levante UD,1685,719,966,FYR Macedonia,26,13,13,1,1,0,2,0,2,0,0,3,1,2,27,14,13,4,0,0.16,0.11,0.05,0.13,0.0,1685,1.44,62,65,421,843,0.21
863,Enock Kwateng,24,Ligue 1,Defender,Bordeaux,1036,529,507,France,18,8,10,1,0,1,0,0,0,0,0,7,5,2,13,6,7,4,0,0.09,0.0,0.09,0.0,0.18,1036,1.13,80,58,259,0,0.35
864,Enric Gallego Puigsech,34,La Liga,Forward,CA Osasuna,800,538,262,Spain,22,12,10,0,0,0,2,1,1,0,0,5,3,2,8,4,4,2,0,0.23,0.23,0.0,0.0,0.0,0,0.9,100,36,400,400,0.23
865,Enrico Salvatore Di Gesù,19,Serie A,Midfielder,AC Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
866,Enrique Barja Afonso,24,La Liga,Forward,CA Osasuna,1431,735,696,Spain,33,15,18,2,1,1,3,2,1,0,0,10,5,5,14,9,5,2,0,0.31,0.19,0.13,0.12,0.13,716,0.88,102,43,716,477,0.13
867,Enrique González Casín,31,La Liga,Forward,SD Eibar,156,99,57,Spain,12,5,7,0,0,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0,2.31,39,13,0,0,0.0
868,Enrique Pérez Muñoz,24,La Liga,Midfielder,Real Valladolid,1153,622,531,Spain,24,12,12,0,0,0,0,0,0,0,0,2,0,2,18,10,8,3,0,0.0,0.0,0.0,0.0,0.0,0,1.41,64,48,384,0,0.23
869,Enzo Ebosse,22,Ligue 1,Defender,Angers SCO,260,56,204,France,6,2,4,0,0,0,0,0,0,0,0,1,0,1,10,0,10,1,0,0.0,0.0,0.0,0.0,0.0,0,3.46,26,43,260,0,0.35
870,Enzo Le Fée,21,Ligue 1,Midfielder,Lorient,1818,917,901,France,36,18,18,0,0,0,6,4,2,0,0,5,4,1,34,12,22,6,0,0.3,0.3,0.0,0.0,0.0,0,1.68,53,51,303,303,0.3
871,Enzo Millot,19,Ligue 1,Forward,Monaco,39,0,39,France,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,20,0,0,0.0
872,Enzo Sandro Sédjro Kouêmahô Adeagbo,19,Serie A,Defender,Lazio,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
873,Enzo Valentim,20,Ligue 1,Defender,Reims,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
874,Eren Dinkci,0,Bundesliga,Forward,Werder Bremen,104,58,46,Germany,8,4,4,1,0,1,0,0,0,0,0,2,1,1,4,3,1,1,1,0.87,0.0,0.87,0.0,1.96,104,3.46,26,13,52,0,1.73
875,Eric Bertrand Bailly,27,Premier League,Defender,Manchester United,916,446,470,Côte d'Ivoire,12,5,7,0,0,0,0,0,0,0,0,3,1,2,16,12,4,3,0,0.0,0.0,0.0,0.0,0.0,0,1.57,57,76,305,0,0.29
876,Eric Dier,27,Premier League,Midfielder,Tottenham Hotspur,2520,1350,1170,England,28,15,13,0,0,0,0,0,0,0,0,8,5,3,30,14,16,3,0,0.0,0.0,0.0,0.0,0.0,0,1.07,84,90,840,0,0.11
877,Eric García Martret,20,Premier League,Defender,Manchester City,380,110,270,Spain,6,2,4,0,0,0,0,0,0,0,0,2,1,1,12,5,7,0,0,0.0,0.0,0.0,0.0,0.0,0,2.84,32,63,0,0,0.0
878,Eric Junior Dina Ebimbe,20,Ligue 1,Midfielder,Dijon,2152,1220,932,France,30,16,14,1,1,0,1,0,1,0,0,4,3,1,43,20,23,5,0,0.08,0.04,0.04,0.07,0.0,2152,1.8,50,72,430,2152,0.21
879,Erick Cathriel Cabaco Almada,26,La Liga,Defender,Getafe CF,1326,697,629,Uruguay,20,11,9,0,0,0,0,0,0,0,0,6,4,2,20,7,13,8,0,0.0,0.0,0.0,0.0,0.0,0,1.36,66,66,166,0,0.54
880,Erick Pulgar,32,Serie A,Forward,Fiorentina,1998,869,1129,Chile,31,14,17,1,1,0,3,2,1,0,0,7,3,4,29,11,18,8,0,0.18,0.14,0.05,0.1,0.0,1998,1.31,69,64,250,666,0.36
881,Erick Steven Ferigra Burnham,22,Serie A,Defender,Torino,0,0,0,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
882,Erik Durm,29,Bundesliga,Defender,Eintracht Frankfurt,1492,715,777,Germany,21,11,10,1,1,0,2,2,0,0,0,4,2,2,21,10,11,1,0,0.18,0.12,0.06,0.13,0.0,1492,1.27,71,71,1492,746,0.06
883,Erik Lamela,29,Premier League,Midfielder,Tottenham Hotspur,719,310,409,Argentina,23,11,12,1,0,1,0,0,0,0,0,5,3,2,14,4,10,6,1,0.13,0.0,0.13,0.0,0.22,719,1.75,51,31,120,0,0.75
884,Erik Pieters,32,Premier League,Defender,Burnley,1261,594,667,Netherlands,20,9,11,0,0,0,1,1,0,0,0,6,2,4,19,9,10,1,0,0.07,0.07,0.0,0.0,0.0,0,1.36,66,63,1261,1261,0.07
885,Erik Thommy,26,Bundesliga,Midfielder,Stuttgart,311,116,195,Germany,8,3,5,0,0,0,2,0,2,0,0,1,0,1,7,1,6,0,0,0.58,0.58,0.0,0.0,0.0,0,2.03,44,39,0,156,0.0
886,Eris Abedini,22,La Liga,Midfielder,Granada CF,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
887,Erling Håland,21,Bundesliga,Forward,Borussia Dortmund,2410,1339,1071,Norway,28,15,13,27,11,16,6,2,4,2,2,10,7,3,32,13,19,2,0,1.23,0.22,1.01,0.74,1.34,89,1.2,75,86,1205,402,0.07
888,Ermedin Demirović,23,Bundesliga,Forward,Freiburg,1509,830,679,Bosnia and Herzegovina,30,17,13,5,3,2,6,4,2,0,0,6,4,2,24,11,13,7,0,0.66,0.36,0.3,0.33,0.27,302,1.43,63,50,216,252,0.42
889,Ermin Bičakčić,31,Bundesliga,Defender,Hoffenheim,129,39,90,Bosnia and Herzegovina,2,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0.7,0.0,0.7,2.31,0.0,129,2.09,43,65,129,0,0.7
890,Ernest Boahene,21,Ligue 1,Defender,Metz,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
891,Ernesto Torregrossa,29,Serie A,Forward,Sampdoria,166,60,106,Italy,6,3,3,1,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0.54,0.0,0.54,1.5,0.0,166,0.54,166,28,0,0,0.0
892,Erwan Belhadji,20,Ligue 1,Forward,Dijon,29,0,29,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,29,0,0,0.0
893,Esteban Rodrigo Burgos,29,La Liga,Defender,SD Eibar,1114,389,725,Argentina,14,5,9,3,0,3,1,0,1,2,1,4,2,2,16,4,12,5,0,0.32,0.08,0.24,0.0,0.37,371,1.29,70,80,223,1114,0.4
894,Ethan Ampadu,20,Premier League,Midfielder,Sheffield United,2090,1027,1063,Wales,25,12,13,0,0,0,0,0,0,0,0,2,2,0,40,18,22,3,0,0.0,0.0,0.0,0.0,0.0,0,1.72,52,84,697,0,0.13
895,Etienne Capoue,33,La Liga,Midfielder,Villarreal,1195,469,726,France,16,6,10,1,0,1,0,0,0,0,0,5,1,4,13,9,4,6,1,0.08,0.0,0.08,0.0,0.12,1195,0.98,92,75,171,0,0.53
896,Etienne Green,21,Ligue 1,Goalkeeper,Saint-Étienne,720,360,360,France,8,4,4,0,0,0,0,0,0,0,0,3,1,2,7,4,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.88,103,90,0,0,0.0
897,Eugeni Valderrama Domènech,27,La Liga,Midfielder,SD Huesca,114,53,61,Spain,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.58,57,38,0,0,0.0
898,Eugenio Pizzuto Puga,19,Ligue 1,Midfielder,Lille,0,0,0,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
899,Eui-Jo Hwang,28,Ligue 1,Forward,Bordeaux,2524,1271,1253,South Korea,36,18,18,12,6,6,3,2,1,3,0,13,9,4,39,14,25,1,0,0.53,0.11,0.43,0.42,0.43,210,1.39,65,70,2524,841,0.04
900,Eusebio Monzó Alfonso,20,La Liga,Defender,Levante UD,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
901,Evann Guessand,20,Ligue 1,Forward,Nice,26,17,9,France,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,0.0
902,Exequiel Palacios,22,Bundesliga,Midfielder,Bayer Leverkusen,572,289,283,Argentina,9,4,5,0,0,0,0,0,0,0,0,4,1,3,4,2,2,1,0,0.0,0.0,0.0,0.0,0.0,0,0.63,143,64,572,0,0.16
903,Ezdzhan Alioski,29,Premier League,Forward,Leeds United,2464,1223,1241,FYR Macedonia,36,18,18,2,1,1,3,1,2,0,0,12,6,6,33,10,23,7,0,0.18,0.11,0.07,0.07,0.07,1232,1.21,75,68,352,821,0.26
904,Ezri Konsa Ngoyo,23,Premier League,Midfielder,Aston Villa,3195,1575,1620,England,36,18,18,2,2,0,0,0,0,0,0,13,6,7,43,27,16,3,0,0.06,0.0,0.06,0.11,0.0,1598,1.21,74,89,1065,0,0.08
905,Eñaut Mendiaren Berasategi,22,La Liga,Forward,SD Eibar,62,0,62,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0,1.45,62,62,62,0,1.45
906,Fabian Bredlow,26,Bundesliga,Goalkeeper,Stuttgart,90,90,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,90,90,0,0,0.0
907,Fabian Delph,31,Premier League,Midfielder,Everton,261,81,180,England,8,3,5,0,0,0,0,0,0,0,0,2,0,2,5,2,3,1,0,0.0,0.0,0.0,0.0,0.0,0,1.72,52,33,261,0,0.34
908,Fabian Klos,33,Bundesliga,Forward,Arminia Bielefeld,2725,1398,1327,Germany,34,17,17,5,2,3,2,1,1,1,1,11,6,5,43,21,22,4,0,0.23,0.07,0.17,0.13,0.2,545,1.42,63,80,681,1363,0.13
909,Fabian Kunze,23,Bundesliga,Defender,Arminia Bielefeld,1259,654,605,Germany,26,13,13,0,0,0,0,0,0,0,0,9,4,5,30,17,13,6,0,0.0,0.0,0.0,0.0,0.0,0,2.14,42,48,210,0,0.43
910,Fabian Schär,29,Premier League,Defender,Newcastle United,1255,698,557,Switzerland,18,10,8,1,0,1,0,0,0,1,0,4,1,3,18,10,8,5,1,0.07,0.0,0.07,0.0,0.16,1255,1.29,70,70,209,0,0.43
911,Fabien Centonze,25,Ligue 1,Defender,Metz,3222,1692,1530,France,36,19,17,1,1,0,0,0,0,0,0,8,4,4,42,25,17,9,0,0.03,0.0,0.03,0.05,0.0,3222,1.17,77,90,358,0,0.25
912,Fabien Lemoine,34,Ligue 1,Midfielder,Lorient,1948,901,1047,France,30,13,17,1,1,0,0,0,0,0,0,4,3,1,40,15,25,8,0,0.05,0.0,0.05,0.1,0.0,1948,1.85,49,65,244,0,0.37
913,Fabinho,27,Premier League,Midfielder,Liverpool,2565,1305,1260,Brazil,30,16,14,0,0,0,0,0,0,0,0,11,5,6,27,12,15,6,0,0.0,0.0,0.0,0.0,0.0,0,0.95,95,86,428,0,0.21
914,Fabio Carvalho,18,Premier League,Midfielder,Fulham,255,90,165,England,4,1,3,1,0,1,0,0,0,0,0,0,0,0,6,2,4,0,0,0.35,0.0,0.35,0.0,0.55,255,2.12,43,64,0,0,0.0
915,Fabio Depaoli,24,Serie A,Midfielder,Atalanta,1392,671,721,Italy,22,11,11,0,0,0,0,0,0,0,0,2,1,1,34,14,20,2,0,0.0,0.0,0.0,0.0,0.0,0,2.2,41,63,696,0,0.13
916,Fabio Pisacane,35,Serie A,Defender,Cagliari,226,13,213,Italy,5,2,3,0,0,0,0,0,0,0,0,1,1,0,4,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0,1.59,57,45,226,0,0.4
917,Fabio Ponsi,20,Serie A,Defender,Fiorentina,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
918,Fabio Quagliarella,38,Serie A,Forward,Sampdoria,2212,1126,1086,Italy,33,16,17,13,6,7,1,1,0,2,1,6,3,3,32,17,15,1,0,0.57,0.04,0.53,0.48,0.58,170,1.3,69,67,2212,2212,0.04
919,Fabio Vanni,19,Ligue 1,Goalkeeper,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
920,Fabián,25,Serie A,Midfielder,Napoli,2576,1326,1250,Spain,33,17,16,3,2,1,1,1,0,0,0,11,4,7,30,16,14,1,0,0.14,0.03,0.1,0.14,0.07,859,1.05,86,78,2576,2576,0.03
921,Fabián Ariel Orellana Valenzuela,35,La Liga,Midfielder,Real Valladolid,2153,1228,925,Chile,30,17,13,6,4,2,2,2,0,4,0,2,0,2,31,20,11,5,0,0.33,0.08,0.25,0.29,0.19,359,1.3,69,72,431,1077,0.21
922,Fabián Cornelio Balbuena González,29,Premier League,Defender,West Ham United,1198,658,540,Paraguay,14,8,6,1,0,1,0,0,0,0,0,4,2,2,18,9,9,2,1,0.08,0.0,0.08,0.0,0.17,1198,1.35,67,86,399,0,0.23
923,Fabricio Martín Agosto Ramírez,33,Premier League,Goalkeeper,Fulham,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
924,Fabrizio Alastra,23,Serie A,Goalkeeper,Parma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
925,Fabrizio Caligara,21,Serie A,Midfielder,Cagliari,177,74,103,Italy,10,5,5,0,0,0,0,0,0,0,0,1,1,0,5,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0,2.54,35,18,177,0,0.51
926,Facundo Ferreyra,30,La Liga,Forward,Celta de Vigo,295,117,178,Argentina,13,6,7,1,0,1,0,0,0,0,0,3,2,1,4,3,1,5,1,0.31,0.0,0.31,0.0,0.51,295,1.22,74,23,59,0,1.53
927,Facundo Medina,22,Ligue 1,Defender,Lens,2007,867,1140,Argentina,24,11,13,2,1,1,0,0,0,0,0,7,4,3,24,11,13,11,0,0.09,0.0,0.09,0.1,0.08,1004,1.08,84,84,182,0,0.49
928,Facundo Pellistri Rebollo,19,La Liga,Midfielder,Deportivo Alavés,539,272,267,Uruguay,12,7,5,0,0,0,0,0,0,0,0,2,1,1,9,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0,1.5,60,45,0,0,0.0
929,Facundo Roncaglia,34,La Liga,Defender,CA Osasuna,1234,533,701,Argentina,17,8,9,1,1,0,1,1,0,0,0,4,3,1,18,5,13,3,1,0.15,0.07,0.07,0.17,0.0,1234,1.31,69,73,411,1234,0.22
930,Faitout Maouassa,23,Ligue 1,Midfielder,Rennes,1171,545,626,France,23,11,12,0,0,0,1,1,0,0,0,6,3,3,12,5,7,4,0,0.08,0.08,0.0,0.0,0.0,0,0.92,98,51,293,1171,0.31
931,Faouzi Ghoulam,30,Serie A,Defender,Napoli,283,218,65,Algeria,11,5,6,0,0,0,0,0,0,0,0,2,2,0,3,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.95,94,26,283,0,0.32
932,Farid Boulaya,28,Ligue 1,Midfielder,Metz,2822,1396,1426,France,33,16,17,6,5,1,8,4,4,1,1,7,3,4,33,19,14,5,0,0.45,0.26,0.19,0.32,0.06,470,1.05,86,86,564,353,0.16
933,Farid El Melali,24,Ligue 1,Forward,Angers SCO,405,231,174,Algeria,17,9,8,0,0,0,0,0,0,0,0,5,2,3,5,3,2,1,0,0.0,0.0,0.0,0.0,0.0,0,1.11,81,24,405,0,0.22
934,Faustino Anjorin,19,Premier League,Defender,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
935,Federico Artioli,20,Serie A,Midfielder,Sassuolo,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
936,Federico Barba,27,Serie A,Defender,Benevento,2663,1312,1351,Italy,32,16,16,0,0,0,2,2,0,0,0,6,2,4,51,26,25,8,0,0.07,0.07,0.0,0.0,0.0,0,1.72,52,83,333,1332,0.27
937,Federico Bernardeschi,27,Serie A,Forward,Juventus,959,519,440,Italy,27,13,14,0,0,0,2,1,1,0,0,7,5,2,10,5,5,3,0,0.19,0.19,0.0,0.0,0.0,0,0.94,96,36,320,480,0.28
938,Federico Bonazzoli,24,Serie A,Forward,Torino,683,377,306,Italy,22,11,11,2,1,1,3,3,0,0,0,2,1,1,21,13,8,2,0,0.66,0.4,0.26,0.24,0.29,342,2.77,33,31,342,228,0.26
939,Federico Brancolini,20,Serie A,Goalkeeper,Fiorentina,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
940,Federico Ceccherini,29,Serie A,Defender,Hellas Verona,2019,1004,1015,Italy,28,14,14,0,0,0,0,0,0,0,0,6,2,4,28,13,15,10,0,0.0,0.0,0.0,0.0,0.0,0,1.25,72,72,202,0,0.45
941,Federico Chiesa,23,Serie A,Forward,Juventus,2468,1307,1161,Italy,33,17,16,9,3,6,9,3,6,0,0,7,5,2,28,13,15,4,1,0.66,0.33,0.33,0.21,0.47,274,1.02,88,75,494,274,0.18
942,Federico Dimarco,23,Serie A,Defender,Hellas Verona,2615,1378,1237,Italy,35,19,16,5,3,2,3,3,0,0,0,6,3,3,34,20,14,6,0,0.28,0.1,0.17,0.2,0.15,523,1.17,77,75,436,872,0.21
943,Federico Fazio,34,Serie A,Defender,Roma,407,155,252,Argentina,6,3,3,1,0,1,0,0,0,0,0,3,2,1,7,2,5,2,0,0.22,0.0,0.22,0.0,0.36,407,1.55,58,68,204,0,0.44
944,Federico Fernández,32,Premier League,Defender,Newcastle United,2083,1016,1067,Argentina,24,12,12,0,0,0,0,0,0,0,0,5,2,3,35,19,16,4,0,0.0,0.0,0.0,0.0,0.0,0,1.51,60,87,521,0,0.17
945,Federico Javier Santander Mereles,30,Serie A,Forward,Bologna,34,14,20,Paraguay,4,2,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2.65,2.65,0.0,0.0,0.0,0,2.65,34,9,0,34,0.0
946,Federico Marchetti,38,Serie A,Goalkeeper,Genoa,335,90,245,Italy,4,1,3,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,0,0.0,0.0,0.0,0.0,0.0,0,2.96,30,84,0,0,0.0
947,Federico Mattiello,26,Serie A,Defender,Spezia,35,35,0,Italy,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,35,0,0,0.0
948,Federico Peluso,37,Serie A,Defender,Sassuolo,204,7,197,Italy,7,2,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0,1.76,51,29,204,0,0.44
949,Federico Ravaglia,21,Serie A,Goalkeeper,Bologna,360,270,90,Italy,4,3,1,0,0,0,0,0,0,0,0,0,0,0,10,8,2,0,0,0.0,0.0,0.0,0.0,0.0,0,2.5,36,90,0,0,0.0
950,Federico Ricci,27,Serie A,Midfielder,Sassuolo,3,0,3,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,0.0
951,Federico San Emeterio Díaz,24,La Liga,Midfielder,Real Valladolid,1462,833,629,Spain,24,14,10,0,0,0,0,0,0,0,0,2,0,2,20,11,9,7,0,0.0,0.0,0.0,0.0,0.0,0,1.23,73,61,209,0,0.43
952,Federico Valverde,23,La Liga,Midfielder,Real Madrid,1331,661,670,Uruguay,24,12,12,3,1,2,1,1,0,0,0,8,4,4,14,6,8,0,0,0.27,0.07,0.2,0.14,0.27,444,0.95,95,55,0,1331,0.0
953,Federico Vico Villegas,27,La Liga,Midfielder,Granada CF,768,404,364,Spain,20,10,10,0,0,0,0,0,0,0,0,5,5,0,16,4,12,1,0,0.0,0.0,0.0,0.0,0.0,0,1.88,48,38,768,0,0.12
954,Felipe Anderson Pereira Gomes,28,Premier League,Midfielder,West Ham United,1,1,0,Brazil,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0.0
955,Felipe Augusto de Almeida Monteiro,32,La Liga,Defender,Atlético Madrid,2052,970,1082,Brazil,31,16,15,0,0,0,0,0,0,0,0,14,8,6,17,7,10,8,0,0.0,0.0,0.0,0.0,0.0,0,0.75,121,66,257,0,0.35
956,Felipe Salvador Caicedo Corozo,32,Serie A,Forward,Lazio,922,479,443,Ecuador,25,12,13,8,6,2,0,0,0,1,0,8,4,4,12,6,6,5,0,0.78,0.0,0.78,1.13,0.41,115,1.17,77,37,184,0,0.49
957,Felix Agu,22,Bundesliga,Midfielder,Werder Bremen,697,338,359,Germany,15,8,7,1,1,0,0,0,0,0,0,2,1,1,13,7,6,0,0,0.13,0.0,0.13,0.27,0.0,697,1.68,54,46,0,0,0.0
958,Felix Alexandre Andrade Sanches Correia,20,Serie A,Forward,Juventus,6,0,6,Portugal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,6,0,0,0.0
959,Felix Götze,23,Bundesliga,Defender,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
960,Felix Kalu Nmecha,20,Premier League,Midfielder,Manchester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
961,Felix Klaus,28,Bundesliga,Midfielder,Wolfsburg,133,27,106,Germany,6,3,3,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.68,133,22,0,0,0.0
962,Felix Passlack,23,Bundesliga,Midfielder,Borussia Dortmund,358,178,180,Germany,7,5,2,1,1,0,0,0,0,0,0,5,3,2,3,3,0,0,0,0.25,0.0,0.25,0.51,0.0,358,0.75,119,51,0,0,0.0
963,Felix Uduokhai,23,Bundesliga,Defender,Augsburg,2610,1350,1260,Germany,29,15,14,1,1,0,0,0,0,0,0,6,2,4,40,21,19,5,0,0.03,0.0,0.03,0.07,0.0,2610,1.38,65,90,522,0,0.17
964,Femi Seriki,0,Premier League,Midfielder,Sheffield United,0,0,0,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
965,Ferland Mendy,26,La Liga,Defender,Real Madrid,2207,1049,1158,France,26,13,13,1,1,0,0,0,0,0,0,11,6,5,16,7,9,3,0,0.04,0.0,0.04,0.09,0.0,2207,0.65,138,85,736,0,0.12
966,Fernando Francisco Reges,34,La Liga,Midfielder,Sevilla FC,2546,1199,1347,Brazil,31,16,15,3,0,3,4,4,0,0,0,15,9,6,24,8,16,6,0,0.25,0.14,0.11,0.0,0.2,849,0.85,106,82,424,637,0.21
967,Fernando Llorente Torres,36,Serie A,Forward,Udinese,764,413,351,Spain,17,9,8,1,1,0,0,0,0,0,0,4,3,1,11,3,8,2,0,0.12,0.0,0.12,0.22,0.0,764,1.3,69,45,382,0,0.24
968,Fernando Luiz Rosa,36,Premier League,Midfielder,Manchester City,1181,669,512,Brazil,21,10,11,0,0,0,2,2,0,0,0,11,6,5,8,5,3,6,0,0.15,0.15,0.0,0.0,0.0,0,0.61,148,56,197,591,0.46
969,Fernando Martín Forestieri,31,Serie A,Forward,Udinese,538,238,300,Italy,19,10,9,1,0,1,1,0,1,0,0,0,0,0,13,5,8,1,0,0.33,0.17,0.17,0.0,0.3,538,2.17,41,28,538,538,0.17
970,Fernando Marçal,32,Premier League,Defender,Wolverhampton Wanderers,620,314,306,Brazil,13,7,6,0,0,0,0,0,0,0,0,3,1,2,8,3,5,2,0,0.0,0.0,0.0,0.0,0.0,0,1.16,78,48,310,0,0.29
971,Fernando Marçal,32,Ligue 1,Defender,Olympique Lyonnais,79,79,0,Brazil,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.14,79,79,0,0,0.0
972,Fernando Niño Rodriguez,20,La Liga,Forward,Villarreal,593,294,299,Spain,17,10,7,3,1,2,0,0,0,0,0,4,2,2,9,6,3,1,0,0.46,0.0,0.46,0.31,0.6,198,1.37,66,35,593,0,0.15
