,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
1375,Javairo Dilrosun,23,Bundesliga,Forward,Hertha BSC,527,304,223,Netherlands,12,7,5,0,0,0,1,1,0,0,0,4,4,0,5,1,4,0,0,0.17,0.17,0.0,0.0,0.0,0,0.85,105,44,0,527,0.0
1376,Javi Martinez,32,Bundesliga,Midfielder,Bayern München,455,309,146,Spain,19,11,8,0,0,0,0,0,0,0,0,5,3,2,6,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.19,76,24,0,0,0.0
1377,Javier Díaz Sánchez,24,La Liga,Goalkeeper,Sevilla FC,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1378,Javier Enrique Delgado Saverio,22,La Liga,Forward,CA Osasuna,0,0,0,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1379,Javier Galán Gil,26,La Liga,Midfielder,SD Huesca,3067,1525,1542,Spain,37,18,19,1,1,0,2,1,1,0,0,8,6,2,41,18,23,5,0,0.09,0.06,0.03,0.06,0.0,3067,1.2,75,83,613,1534,0.15
1380,Javier López Carballo,19,La Liga,Defender,Deportivo Alavés,242,218,24,Spain,9,6,3,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,1,0.0,0.0,0.0,0.0,0.0,0,0.74,121,27,81,0,1.12
1381,Javier Manquillo Gaitán,27,Premier League,Defender,Newcastle United,826,305,521,Spain,13,7,6,0,0,0,0,0,0,0,0,3,0,3,14,8,6,1,0,0.0,0.0,0.0,0.0,0.0,0,1.53,59,64,826,0,0.11
1382,Javier Martín Contreras,22,La Liga,Forward,Cádiz,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1383,Javier Martínez Calvo,21,La Liga,Midfielder,CA Osasuna,458,154,304,Spain,13,6,7,1,1,0,1,1,0,0,0,2,1,1,6,3,3,1,0,0.39,0.2,0.2,0.58,0.0,458,1.18,76,35,458,458,0.2
1384,Javier Moyano Lujano,35,La Liga,Defender,Real Valladolid,104,90,14,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.73,52,52,0,0,0.0
1385,Javier Ontiveros Parra,23,La Liga,Midfielder,SD Huesca,915,539,376,Spain,20,11,9,2,2,0,1,1,0,1,0,4,3,1,14,7,7,5,0,0.3,0.1,0.2,0.33,0.0,458,1.38,65,46,183,915,0.49
1386,Javier Pastore,32,Serie A,Midfielder,Roma,77,29,48,Argentina,5,2,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,15,0,0,0.0
1387,Javier Rafael Gasca Biarge,0,La Liga,Goalkeeper,SD Huesca,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1388,Javier Sánchez de Felipe,24,La Liga,Defender,Real Valladolid,920,456,464,Spain,16,8,8,0,0,0,0,0,0,0,0,1,0,1,16,7,9,3,0,0.0,0.0,0.0,0.0,0.0,0,1.57,58,58,307,0,0.29
1389,Jawad El Yamiq,29,La Liga,Midfielder,Real Valladolid,1377,729,648,Morocco,19,9,10,0,0,0,1,0,1,0,0,3,0,3,18,10,8,6,0,0.07,0.07,0.0,0.0,0.0,0,1.18,77,72,230,1377,0.39
1390,Jay Rodriguez,31,Premier League,Forward,Burnley,1254,607,647,England,31,14,17,1,0,1,2,1,1,0,0,9,2,7,24,11,13,3,0,0.22,0.14,0.07,0.0,0.14,1254,1.72,52,40,418,627,0.22
