,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
238,Irvin Cardona,0.6,0.0,1.2,0.0,0.3,1.1,0.0,0.0,6.67
239,Lamine Koné,1.7,1.4,0.9,0.2,2.6,0.3,0.3,0.0,6.67
240,Benjamin Lecomte,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,6.67
241,Jonathan Cafú,2.3,0.3,1.7,0.0,0.7,1,0.0,0.0,6.67
242,William Vainqueur,3.2,1.4,2,0.0,1.0,1.8,0.2,0.0,6.67
243,Haris Belkebla,1.9,2.3,1.3,0.0,0.8,0.8,0.2,0.0,6.66
244,Marshall Munetsi,1.6,0.7,1.1,0.0,1.2,0.4,0.4,0.0,6.66
245,Jean-Charles Castelletto,0.8,1.5,1.2,0.4,3.9,0.4,0.7,0.0,6.66
246,Loïck Landre,1.5,1.5,1.1,0.5,3.0,0.4,0.8,0.0,6.66
247,Steve Mandanda,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.66
248,Ibrahima Diallo,2,1.2,0.9,0.1,0.8,0.9,0.1,0.0,6.66
249,Jean Eudes Aholou,1.5,1.4,1,0.0,0.9,0.5,0.1,0.0,6.65
250,Luiz Gustavo,2.3,1.7,2.7,0.0,1.3,0.7,0.7,0.0,6.65
251,Benoît Costil,0.0,0.1,0.0,0.0,0.5,0.1,0.0,0.0,6.64
252,Jean-Ricner Bellegarde,1.7,0.9,1.3,0.0,0.3,0.3,0.1,0.0,6.64
253,Bafodé Diakité,1.4,1.3,0.3,0.3,4.6,0.4,0.6,0.0,6.64
254,Yassine Benzia,1,1.0,1.7,0.0,0.3,1.7,0.7,0.0,6.64
255,Clément Grenier,1.9,0.6,1.1,0.1,1.5,2.6,0.2,0.0,6.64
256,Adrien Hunou,0.9,0.2,0.8,0.0,0.2,0.7,0.0,0.0,6.64
257,Ismael Traoré,1,1.2,0.3,0.4,3.7,0.3,0.6,0.0,6.64
258,Jérémy Morel,0.7,0.8,0.5,0.0,2.5,0.5,0.8,0.0,6.63
259,Nemanja Radonjic,0.5,0.1,0.8,0.1,0.3,0.5,0.0,0.0,6.63
260,Alban Lafont,0.0,0.0,0.1,0.0,1.1,0.0,0.0,1,6.63
261,Pedro Mendes,1.8,1.7,1.6,0.1,2.4,0.6,0.8,0.0,6.63
262,Adrien Silva,1.6,0.5,1.0,0.0,0.5,1.2,0.3,0.0,6.63
263,Ruben Aguilar,1.9,0.6,0.5,0.3,1.1,0.5,0.1,0.0,6.63
264,Matthieu Dossevi,1.2,0.5,0.8,0.0,0.1,0.6,0.0,0.0,6.63
265,Álvaro González,1,0.9,0.8,0.9,3.2,0.2,0.2,1,6.62
266,Rémi Walter,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.62
267,Cristian Battocchio,1.3,0.8,0.4,0.0,0.8,0.9,0.2,0.0,6.62
268,Patrick Burner,1.8,1.5,0.9,0.4,1.6,0.6,0.1,0.0,6.61
269,Yaya Sanogo,0.4,0.5,1.9,0.0,0.9,0.1,0.1,0.0,6.61
270,Jean-Kévin Duverne,0.9,1.4,0.7,0.4,3.1,0.3,0.6,0.0,6.61
271,Paul Bernardoni,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,6.61
272,Flavien Tait,1.2,0.5,0.6,0.0,0.3,1.1,0.0,0.0,6.61
273,Ibrahim Cissé,2,0.0,2,0.0,1.0,0.0,0.0,0.0,6.61
274,Leandro Paredes,1.3,0.9,1.2,0.0,0.4,0.9,0.1,1,6.61
275,Stevan Jovetic,0.2,0.1,1.1,0.0,0.3,0.4,0.0,0.0,6.61
276,Saman Ghoddos,0.4,0.4,1.4,0.0,0.6,0.2,0.0,0.0,6.61
277,Moussa Wague,1.2,0.4,0.2,0.0,0.4,0.2,0.2,0.0,6.6
278,Rafael,1.8,0.8,1.2,0.0,0.8,0.6,0.2,0.0,6.6
279,Aurélien Chedjou,1.2,1.8,0.6,0.2,5.4,0.5,0.5,0.0,6.6
280,Jordan Ferri,1.4,0.6,1.3,0.0,0.6,1.9,0.0,0.0,6.6
