,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
291,Ambroise Oyongo,0.0,0.0,0.5,0.6,0.8,1,0.1,0.5,1.1,6.58
292,Loïc Rémy,7,0.0,1.4,0.4,0.6,0.6,0.5,0.5,1.2,6.58
293,Martin Terrier,1,2,0.7,0.7,0.7,0.7,0.0,0.3,1,6.58
294,Kevin Strootman,2,3,0.4,0.5,0.1,0.5,0.0,0.1,0.5,6.57
295,Romain Perraud,0.0,1,1.1,0.8,0.6,1.5,0.1,1,1.8,6.57
296,Mathias Pereira Lage,1,3,1.4,0.9,0.5,1,0.1,1,1.5,6.57
297,Yassine Benrahou,0.0,2,0.5,1.2,0.7,0.5,0.2,0.3,1,6.57
298,Jérémy Gelin,0.0,0.0,0.2,0.1,0.0,0.6,0.0,0.0,0.1,6.57
299,Brendan Chardonnet,0.0,0.0,0.3,0.2,0.2,0.4,0.0,0.0,0.2,6.57
300,Ngonda Muzinga,0.0,0.0,0.0,0.3,0.3,0.8,0.0,0.5,2.2,6.57
301,Romain Philippoteaux,5,2,1.1,0.9,1,0.8,0.1,0.7,1.4,6.57
302,Fodé Ballo-Touré,0.0,0.0,0.2,0.8,1.1,1,0.2,0.5,1.4,6.57
303,Reinildo,0.0,0.0,0.1,0.4,0.5,1.3,0.1,0.4,0.7,6.57
304,Moussa Doumbia,2,1,1.7,1,1.5,2.2,0.0,1.3,2.5,6.56
305,Colin Dagba,0.0,0.0,0.2,0.7,0.7,0.3,0.2,0.5,0.7,6.56
306,Quentin Boisgard,1,1,0.9,0.9,1.6,1.3,0.0,1.1,2.2,6.56
307,Edinson Cavani,4,1,2,0.7,0.5,0.1,0.2,0.1,1.5,6.56
308,Florian Miguel,1,0.0,0.8,0.5,0.6,2,0.1,0.4,1.3,6.56
309,Denis Petric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56
310,Ibrahima Sissoko,0.0,1,0.7,0.6,0.4,0.7,0.0,1.2,1.5,6.56
311,Antonin Bobichon,2,1,1.8,0.6,0.5,0.6,0.1,0.8,1.6,6.56
312,Malang Sarr,1,0.0,0.2,0.1,0.2,0.5,0.0,0.2,0.5,6.56
313,Efthymios Koulouris,4,2,1.6,0.7,0.3,0.5,0.2,1.0,1.6,6.56
314,Abdoulaye Jules Keita,0.0,0.0,1.0,0.3,3.0,0.7,0.0,1.3,3.0,6.55
315,Haitam Aleesami,1,1,0.1,0.6,0.6,0.4,0.0,1.0,1.0,6.55
316,Theo Valls,1,1,1.1,1.1,0.6,1.0,0.0,0.5,1.3,6.54
317,Sergi Palencia,0.0,0.0,0.2,0.3,0.7,1.3,0.2,0.8,1.2,6.54
318,Renaud Cohade,1,0.0,0.7,0.7,0.3,0.3,0.1,1.1,1.3,6.54
319,Sofiane Alakouch,0.0,0.0,0.5,0.6,1.0,1.6,0.1,0.4,1.2,6.54
320,Tiago Djaló,0.0,0.0,0.0,0.1,0.3,0.6,0.0,0.3,0.3,6.54
321,Christophe Hérelle,3,0.0,0.4,0.1,0.2,0.7,0.0,0.2,0.2,6.54
322,Samuel Grandsir,3,1,1.2,0.8,1,0.7,0.3,1.5,2.4,6.54
323,Lamine Fomba,0.0,0.0,0.8,0.5,0.7,0.4,0.0,1,1.8,6.54
324,Miguel Trauco,1,2,0.6,0.5,1.3,0.2,0.1,0.9,1.1,6.53
325,Nuno da Costa,1,0.0,1.3,0.4,1.1,0.9,0.0,1.1,1.1,6.53
326,Ibrahima Niane,3,0.0,1.4,0.4,1,1.4,0.1,1,1.8,6.53
327,Stefan Mitrovic,1,1,0.2,0.2,0.0,0.4,0.0,0.0,0.4,6.53
328,Luiz Araújo,2,1,1.1,0.6,1,1.1,0.0,0.7,0.8,6.53
329,Nicolas Isimat-Mirin,1,0.0,0.3,0.1,0.1,0.6,0.0,0.0,0.8,6.53
330,Prince-Désir Gouano,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,6.53
331,Wahbi Khazri,3,2,2.8,1.2,1,1.2,0.3,1.7,2.8,6.52
332,Yann M'Vila,0.0,2,0.4,0.4,0.2,0.7,0.0,0.5,0.6,6.52
333,Mahdi Camara,0.0,0.0,0.5,0.3,0.7,1.2,0.0,1.1,1.1,6.52
334,James Léa Siliki,0.0,0.0,0.8,0.4,0.6,1.7,0.0,0.7,1,6.52
335,Mathias Autret,2,3,1.2,1.3,0.2,0.3,0.0,0.6,1.6,6.52
336,Hwang Ui-Jo,6,2,1.5,0.3,0.6,1.3,0.3,0.9,1.8,6.52
337,Alexis Blin,0.0,1,0.1,0.3,0.4,1.1,0.0,0.4,1.2,6.51
338,Lionel Carole,0.0,0.0,0.3,0.8,0.7,1.1,0.1,0.6,0.8,6.51
339,Juan Ferney Otero,1,2,1.1,0.5,0.6,1.0,0.3,1.4,1.8,6.51
340,Josh Maja,6,2,0.9,0.5,0.5,0.5,0.2,0.7,1,6.51
341,Farid Boulaya,2,1,1.3,1.2,0.8,0.3,0.2,0.5,1.4,6.51
342,Régis Gurtner,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,6.51
343,Valère Germain,2,4,0.8,0.5,0.1,0.6,0.1,0.7,0.9,6.51
344,Jonas Martin,0.0,0.0,0.7,1.3,1,1.3,0.0,1.3,1,6.5
345,Bakaye Dibassy,2,0.0,0.2,0.1,0.5,0.6,0.0,0.1,0.7,6.5
346,Manuel Cabit,0.0,1,0.0,0.7,1.3,3.0,0.0,0.0,1.7,6.5
347,Paul Lasne,2,1,0.7,0.8,0.3,0.7,0.1,0.8,1.3,6.5
348,Franck Honorat,0.0,3,0.4,1.1,0.5,0.5,0.0,0.5,1.6,6.49
349,Benjamin Henrichs,0.0,0.0,0.8,0.5,0.6,1.6,0.0,0.6,0.7,6.48
350,Stephy Mavididi,5,1,1.1,0.4,1.2,0.9,0.0,1.8,2.2,6.48
351,Nicholas Opoku,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.1,0.4,6.48
