,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
201,Ferrán Torres García,21,Forward,Manchester City,1306,632,674,Spain,24,12,12,7,3,4,2,1,1,0,0,13,6,7,12,6,6,1,0,0.62,0.14,0.48,0.43,0.53,187,0.83,109,54,1306,653,0.07,24,103,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Fikayo Tomori,23,Defender,Chelsea,44,44,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4.09,22,44,0,0,0,-1,-1,-1,20,2,2,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,96.6,0,0,0
203,Filip Krovinović,25,Midfielder,West Bromwich Albion,543,246,297,Croatia,11,5,6,0,0,0,0,0,0,0,0,2,2,0,11,5,6,0,0,0,0,0,0,0,0,1.82,49,49,0,0,0,300,291,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Florin Andone,28,Forward,Brighton & Hove Albion,0,0,0,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Frankie Maguire,0,Midfielder,Sheffield United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Fraser Forster,33,Goalkeeper,Southampton,720,360,360,England,8,4,4,0,0,0,0,0,0,0,0,2,1,1,10,5,5,0,0,0,0,0,0,0,0,1.25,72,90,0,0,0,358,349,81,23,0.1,0,0.1,0,2,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,30.4,51.9,0,4.5,0
207,Frédéric Guilbert,26,Defender,Aston Villa,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Frederico Rodrigues Santos,28,Midfielder,Manchester United,2396,1160,1236,Brazil,30,15,15,1,0,1,0,0,0,0,0,11,5,6,23,13,10,5,0,0.04,0,0.04,0,0.07,2396,0.86,104,80,479,0,0.19,229,374,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Frederik Alves Ibsen,19,Defender,West Ham United,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Gabriel dos Santos Magalhães,23,Defender,Arsenal,1996,1142,854,Brazil,23,13,10,2,1,1,0,0,0,0,0,6,1,5,24,18,6,4,1,0.09,0,0.09,0.08,0.11,998,1.08,83,87,499,0,0.18,157,337,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
