,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
769,Vladimir Golemić,30,Defender,Crotone,2338,1024,1314,Slovenia,30,13,17,2,1,1,0,0,0,1,0,1,0,1,69,22,47,5,1,0.08,0,0.08,0.09,0.07,1169,2.66,34,78,390,0,0.23,201,368,185,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,Walace,26,Midfielder,Udinese,2059,925,1134,Brazil,30,13,17,0,0,0,0,0,0,0,0,5,4,1,34,8,26,4,0,0,0,0,0,0,0,1.49,61,69,515,0,0.17,303,338,-1,17,1.7,1.1,1,0.7,0.1,0,0,0,0.6,0.3,0.8,0.9,0,0.5,1.3,0,0.3,38.4,88.5,0,2.3,0
771,Wesley Hoedt,27,Defender,Lazio,947,468,479,Netherlands,17,8,9,0,0,0,0,0,0,0,0,3,2,1,19,6,13,6,0,0,0,0,0,0,0,1.81,50,56,158,0,0.57,311,333,155,10,1.3,1,0.6,2.8,0.3,0,0,0,0.1,0.2,0.2,0.1,0,0.1,0.2,0,0.2,39.8,90,0,5.1,0
772,Weston McKennie,22,Midfielder,Juventus,1699,959,740,USA,34,18,16,5,4,1,2,0,2,0,0,8,6,2,14,7,7,5,0,0.37,0.11,0.26,0.38,0.12,340,0.74,121,50,340,850,0.26,78,152,-1,4,1,0.8,1.3,0.7,0.1,0,5,2,0.9,0.8,0.6,0.2,0.1,0.6,1.1,2,0.8,22.2,85.4,0,0.7,0
773,Wilfried Stephane Singo,20,Defender,Torino,1854,804,1050,Côte d'Ivoire,28,13,15,1,0,1,2,1,1,0,0,6,3,3,35,17,18,4,1,0.15,0.1,0.05,0,0.09,1854,1.7,53,66,464,927,0.19,254,168,140,16,1,1,1,1.3,0.1,0,1,2,0.4,0.9,1.9,1.8,0.1,0.5,1.5,2,0.9,25.5,79.9,0.6,0.9,0
774,William Troost-Ekong,27,Defender,Udinese,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,Wisdom Amey,15,Defender,Bologna,1,1,0,Italy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,1,0
776,Wojciech Szczęsny,31,Goalkeeper,Juventus,2678,1350,1328,Poland,30,15,15,0,0,0,1,0,1,0,0,5,4,1,30,15,15,0,0,0.03,0.03,0,0,0,0,1.01,89,89,0,2678,0,345,268,27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,Wylan Cyprien,26,Midfielder,Parma,399,127,272,France,13,5,8,0,0,0,0,0,0,0,0,0,0,0,11,3,8,2,0,0,0,0,0,0,0,2.48,36,31,200,0,0.45,325,321,-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,Yann Karamoh,23,Forward,Parma,1300,657,643,France,24,13,11,2,0,2,1,1,0,0,0,5,5,0,23,8,15,3,0,0.21,0.07,0.14,0,0.28,650,1.59,57,54,433,1300,0.21,144,216,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,Yayah Kallon,20,Forward,Genoa,44,0,44,Sierra Leone,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,33,0,0,0,0,0,0,0,0,2,1,1,0,2,4,0,0,1,8,87.5,0,0,0
780,Yildirim Mert Cetin,24,Defender,Hellas Verona,417,270,147,Turkey,6,3,3,0,0,0,0,0,0,0,0,2,2,0,3,1,2,1,0,0,0,0,0,0,0,0.65,139,70,417,0,0.22,414,306,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,Yordan Hernando Osorio Paredes,27,Forward,Parma,1811,961,850,Venezuela,23,12,11,0,0,0,0,0,0,0,0,4,4,0,36,16,20,2,0,0,0,0,0,0,0,1.79,50,79,906,0,0.1,286,305,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,Zlatan Ibrahimović,39,Forward,AC Milan,1498,697,801,Sweden,19,9,10,15,7,8,2,0,2,3,3,6,4,2,21,12,9,3,1,1.02,0.12,0.9,0.9,0.9,100,1.26,71,79,375,749,0.24,3,143,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,Łukasz Skorupski,30,Goalkeeper,Bologna,2520,1260,1260,Poland,28,14,14,0,0,0,0,0,0,0,0,4,3,1,46,21,25,1,0,0,0,0,0,0,0,1.64,55,90,2520,0,0.04,429,391,134,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
