,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
564,Samy Benchama,21,Midfielder,Montpellier,37,15,22,France,5,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,37,0,2.43,-1,-1,-1,19,0.2,0,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,4.6,87,0,0,0
565,Sanjin Prcić,27,Midfielder,Strasbourg,347,70,277,Bosnia and Herzegovina,14,7,7,0,0,0,1,1,0,0,0,6,4,2,9,1,8,1,0,0.26,0.26,0,0,0,0,2.33,39,25,347,347,0.26,423,33,-1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Sébastien Cibois,23,Goalkeeper,Brest,270,180,90,France,3,2,1,0,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,0,0,0,0,0,1.33,68,90,0,0,0,-1,-1,-1,19,0,0,0.3,0.3,0,0,0,0,0,0,0.3,0,0,0,0,0,0,26.3,67.1,0,6,0
567,Sébastien Corchia,30,Defender,Nantes,2067,1102,965,France,25,14,11,0,0,0,1,1,0,0,0,3,2,1,31,17,14,3,0,0.04,0.04,0,0,0,0,1.35,67,83,689,2067,0.13,306,225,94,15,2.2,1.5,0.8,1.4,0.4,0,0,1,0.8,1.1,0.7,1.7,0,0.6,1,1,1.1,24.9,72.1,1.3,0.8,0
568,Sehrou Guirassy,25,Forward,Rennes,1765,840,925,France,27,13,14,10,2,8,1,1,0,1,0,6,3,3,22,11,11,3,0,0.56,0.05,0.51,0.21,0.78,177,1.12,80,65,588,1765,0.15,18,214,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,Seko Fofana,26,Midfielder,Lens,2311,1151,1160,Côte d'Ivoire,30,16,14,2,1,1,3,0,3,0,0,6,2,4,32,18,14,2,0,0.19,0.12,0.08,0.08,0.08,1156,1.25,72,77,1156,770,0.08,187,111,-1,10,0.5,1.1,0.7,0.5,0.2,0,2,3,1.3,0.8,1.4,0.7,0,1.1,1.7,3,0.8,39.8,87.4,0.1,1.4,0
570,Sékou Mara,19,Forward,Bordeaux,225,100,125,France,8,4,4,1,1,0,2,2,0,0,0,2,2,0,3,0,3,0,0,1.2,0.8,0.4,0.9,0,225,1.2,75,28,0,113,0,-1,-1,-1,9,0.6,0.1,0.9,0.1,0,0,1,2,0.5,0.3,0.4,0.5,0.1,0.1,1.5,2,0.3,7.6,59,0,0.1,0
571,Senou Coulibaly,26,Defender,Dijon,1936,972,964,France,22,11,11,2,1,1,0,0,0,0,0,4,2,2,41,20,21,6,1,0.09,0,0.09,0.09,0.09,968,1.91,47,88,323,0,0.28,182,281,157,6,1.5,1.4,0.8,3.8,0.5,0,2,0,0.2,0,0.3,0.7,0,0.4,0.4,0,0,46.3,79.8,0,2.8,0
572,Sepe Elye Wahi,18,Forward,Montpellier,545,322,223,France,18,9,9,3,2,1,1,0,1,0,0,1,0,1,6,6,0,1,0,0.66,0.17,0.5,0.56,0.4,182,0.99,91,30,545,545,0.17,19,77,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,Sergio Rico,27,Goalkeeper,PSG,808,584,224,Spain,10,7,3,0,0,0,0,0,0,0,0,5,4,1,7,4,3,0,0,0,0,0,0,0,0,0.78,115,81,0,0,0,309,297,19,22,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,17.3,89,0,1.2,0
