,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
347,Yannik Keitel,0.0,0.3,16.7,77.5,0.0,0.7,0.0,6.34
348,Robert Glatzel,0.0,0.2,10.0,68.5,0.1,0.2,0.0,6.34
349,Jean-Manuel Mbom,1,0.4,15.2,67.7,0.2,0.5,0.0,6.34
350,Marek Suchy,0.0,0.0,28.6,88.1,0.2,1,0.0,6.34
351,Christian Gentner,0.0,0.4,21.1,77.0,0.1,1,0.0,6.34
352,Davy Klaassen,0.0,0.3,19.7,67.8,0.0,0.0,0.0,6.34
353,Benjamin Henrichs,1,0.2,22.7,77.6,0.3,0.5,0.0,6.33
354,Davie Selke,0.0,0.3,8.8,55.0,0.0,0.1,0.0,6.33
355,Romano Schmid,3,0.7,20.4,70.6,0.3,0.5,0.0,6.33
356,Jannes Horn,1,0.4,25.9,79.7,0.6,1.8,0.0,6.32
357,Alexander Nübel,0.0,0.0,34.0,94.1,0.0,1,0.0,6.32
358,Fabian KunzeArminia Bielefeld,0.0,0.2,22.0,76.0,0.0,0.7,0.0,6.32
359,Tobias Strobl,0.0,0.5,27.6,81.9,0.1,1.7,0.0,6.32
360,Pascal Stenzel,1,0.2,42.8,85.1,0.0,3.6,0.0,6.32
361,Hannes Wolf,2,0.5,17.0,76.3,0.0,0.2,0.1,6.32
362,Pierre Kunde Malong,0.0,0.5,23.9,78.3,0.4,1.5,0.1,6.31
363,Dan-Axel Zagadou,0.0,0.1,27.3,86.2,0.0,1.0,0.0,6.31
364,Michael Gregoritsch,2,0.2,10.1,65.7,0.2,0.3,0.0,6.31
365,Niklas Moisander,0.0,0.1,51.8,86.7,0.0,3.9,0.0,6.31
366,William,0.0,0.1,21.8,54.0,0.3,0.9,0.0,6.31
367,Akaki Gogia,1,0.3,8.0,71.4,0.0,0.3,0.1,6.31
368,Lukas Klünter,0.0,0.3,44.1,77.5,0.2,2.1,0.0,6.31
369,Kerim Çalhanoglu,0.0,0.0,27.5,64.5,0.0,0.5,0.0,6.31
370,Jan Morávek,0.0,0.2,29.0,66.2,0.0,1.8,0.0,6.3
371,Mathew Leckie,1,0.4,10.8,78.1,0.2,0.5,0.0,6.3
372,Marius Bülter,0.0,0.5,10.0,66.4,0.4,0.2,0.0,6.3
373,Keita Endo,0.0,0.4,6.4,70.6,0.2,0.1,0.0,6.3
374,Tiago Dantas,0.0,0.5,15.5,77.4,1,0.5,0.5,6.3
375,Oscar Wendt,1,0.4,25.7,77.0,0.4,0.6,0.0,6.29
376,Cedric Teuchert,1,0.3,7.4,70.2,0.1,0.3,0.0,6.29
377,Robert Gumny,1,0.3,17.3,75.5,0.2,0.3,0.0,6.28
378,Salih Özcan,1,0.4,24.2,80.5,0.0,1.0,0.0,6.28
379,Julian Ryerson,1,0.3,18.1,74.0,0.2,1.0,0.0,6.28
380,Ridle Baku,0.0,0.0,34.0,70.6,0.5,2.0,0.0,6.28
381,Matija Nastasic,0.0,0.1,44.7,86.0,0.0,3.5,0.0,6.28
382,Cebio SoukouArminia Bielefeld,0.0,0.3,7.6,86.9,0.1,0.3,0.0,6.28
383,Arne MaierArminia Bielefeld,0.0,0.7,25.6,76.1,0.3,1.6,0.0,6.27
384,Mijat Gacinovic,2,0.5,15.5,76.1,0.2,0.4,0.0,6.27
385,Gonçalo Paciência,1,0.2,10.7,60.0,0.1,0.5,0.0,6.27
386,Nassim Boujellab,0.0,0.3,14.4,69.4,0.0,0.3,0.0,6.27
387,Yuya Osako,1,0.4,9.6,69.1,0.1,0.3,0.0,6.26
388,Kilian Ludewig,0.0,0.8,35.2,73.0,0.7,0.8,0.0,6.25
389,Benno Schmitz,1,0.4,15.6,71.1,0.1,1.1,0.0,6.25
390,Tahith Chong,1,0.5,9.1,64.4,0.2,0.3,0.0,6.25
391,Reinier,1,0.2,8.4,87.2,0.0,0.1,0.1,6.25
392,Felix Klaus,0.0,0.0,9.8,84.7,0.2,0.7,0.0,6.25
393,Joao Victor,1,0.5,8.3,80.5,0.0,0.1,0.0,6.25
394,László Bénes,1,0.6,13.7,79.2,0.7,0.1,0.0,6.24
395,Bastian Oczipka,2,0.9,31.9,78.7,0.8,1.4,0.0,6.24
396,Ragnar Ache,0.0,0.0,4.4,61.3,0.0,0.0,0.0,6.24
