,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
10,Elias Bördner,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,58.8,0.0,4.0,0.0
11,Filip Kostic,1.8,0.9,0.7,0.7,0.2,0.0,4.0,14.0,1.7,3.0,0.8,0.7,0.1,1.2,2.0,14.0,3.0,35.1,69.9,2.6,1.4,0.0
12,Christopher Nkunku,0.6,0.3,1.4,0.5,0.0,0.0,6.0,6.0,2.0,2.5,1.3,1.8,0.6,1.3,2.0,6.0,2.5,29.8,84.3,1.6,0.6,0.0
13,Mats Hummels,1.8,2.2,0.8,3.7,0.7,0.0,5.0,0.0,0.9,0.4,0.2,0.5,0.2,0.1,0.3,0.0,0.4,80.0,87.6,0.0,7.6,0.0
14,Leon Bailey,0.5,0.3,0.8,0.1,0.0,0.0,9.0,8.0,1.9,1.6,2.5,1.4,0.5,1.0,2.4,8.0,1.6,25.9,78.1,1.3,1.6,0.0
15,Raphael Guerreiro,1.1,1.0,0.4,0.9,0.1,0.0,5.0,10.0,1.4,2.0,1.2,0.4,0.1,0.7,1.5,10.0,2.0,70.4,86.9,0.8,2.0,0.3
16,Andrej Kramaric,0.3,0.3,0.1,0.2,0.0,0.0,20.0,5.0,3.4,1.4,0.9,1.5,0.3,1.4,2.0,5.0,1.4,31.9,82.2,0.9,1.3,0.1
17,Ermin Bicakcic,0.5,1.5,1.0,4.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.5,86.9,0.0,0.5,0.0
18,Leon Goretzka,1.5,1.8,1.1,0.4,0.1,0.0,5.0,5.0,1.8,0.8,0.5,0.7,0.0,0.3,1.1,5.0,0.8,43.5,87.7,0.1,3.0,0.0
19,Serge Gnabry,1.4,1.0,0.8,0.1,0.0,0.0,10.0,2.0,2.2,1.4,0.9,0.8,0.2,0.9,1.9,2.0,1.4,28.3,83.5,0.5,0.8,0.0
20,Willi Orban,1.4,1.4,0.6,2.4,0.7,0.0,4.0,1.0,0.8,0.3,0.3,0.5,0.1,0.3,0.3,1.0,0.3,72.0,87.5,0.1,2.4,0.0
21,Silas,1.9,0.9,1.3,0.4,0.0,0.0,11.0,4.0,1.8,0.9,1.9,1.6,0.5,1.7,2.7,4.0,0.9,17.0,70.8,0.2,0.5,0.0
22,Jonas Hofmann,1.1,1.1,0.8,0.3,0.1,0.0,6.0,11.0,1.0,2.4,0.7,0.8,0.4,0.8,1.3,11.0,2.4,36.3,80.3,2.1,2.3,0.0
23,Kingsley Coman,0.5,0.1,0.4,0.1,0.0,0.0,5.0,10.0,1.8,1.6,1.9,1.2,0.2,1.3,1.7,10.0,1.6,25.5,84.9,0.9,0.9,0.0
24,Marco Reus,1.0,0.4,0.8,0.4,0.1,0.0,8.0,6.0,1.8,1.5,1.3,1.1,0.3,0.8,1.5,6.0,1.5,33.1,81.7,0.4,1.3,0.1
25,Angeliño,1.2,1.2,0.8,1.3,0.0,0.0,4.0,4.0,1.3,2.0,0.6,1.0,0.3,0.5,1.0,4.0,2.0,42.8,74.4,2.0,1.7,0.0
26,Bas Dost,0.3,0.2,1.3,0.7,0.1,0.0,4.0,2.0,1.3,0.9,0.0,0.8,0.3,0.8,0.3,2.0,0.9,25.1,64.8,0.0,0.4,0.1
27,Vincenzo Grifo,0.6,0.9,0.4,0.5,0.0,0.0,9.0,10.0,1.9,2.1,1.0,0.6,0.1,1.1,1.9,10.0,2.1,32.3,78.6,1.4,2.3,0.1
28,Emre Can,1.5,1.7,1.3,1.8,0.4,0.0,1.0,4.0,0.6,0.6,1.1,0.8,0.0,0.5,0.7,4.0,0.6,62.3,87.0,0.3,3.8,0.0
29,Daniel Caligiuri,2.2,1.2,1.1,0.9,0.2,0.0,6.0,4.0,1.2,1.5,1.8,1.8,0.1,1.9,2.4,4.0,1.5,29.6,71.0,1.0,1.9,0.0
30,Alphonso Davies,1.7,1.2,0.6,1.2,0.0,0.0,1.0,2.0,0.2,0.9,2.7,1.6,0.1,1.2,2.7,2.0,0.9,56.2,89.6,0.3,1.0,0.0
31,Borna Sosa,0.5,1.2,0.7,2.5,0.2,0.0,0.0,9.0,0.5,2.2,1.0,0.5,0.1,0.6,1.1,9.0,2.2,34.0,77.5,1.9,1.0,0.0
32,Wataru Endo,2.0,1.5,1.4,1.7,0.4,0.0,3.0,3.0,0.8,0.8,1.2,1.6,0.0,1.6,1.5,3.0,0.8,55.1,83.6,0.0,2.2,0.1
33,Maxence Lacroix,1.6,2.2,0.8,4.5,0.7,0.0,1.0,1.0,0.5,0.1,0.4,0.9,0.0,0.3,0.6,1.0,0.1,58.9,83.4,0.0,4.3,0.0
34,Christopher Trimmel,1.6,1.6,1.0,2.9,0.2,0.0,1.0,9.0,0.3,1.9,0.3,0.4,0.1,0.4,0.6,9.0,1.9,33.9,73.9,2.0,2.4,0.0
35,Sasa Kalajdzic,0.5,0.3,0.9,0.6,0.0,0.0,16.0,5.0,2.1,0.8,0.5,1.1,0.1,0.9,2.4,5.0,0.8,20.0,68.7,0.0,0.3,0.0
36,Lars Stindl,0.8,0.4,1.4,0.5,0.1,0.0,14.0,8.0,1.9,1.5,0.3,1.0,0.1,1.0,1.4,8.0,1.5,33.4,83.0,0.4,1.4,0.2
37,Marcel Sabitzer,1.1,1.3,0.8,1.0,0.1,0.0,8.0,3.0,2.2,1.1,0.6,1.3,0.3,0.9,1.3,3.0,1.1,47.4,79.7,0.3,2.6,0.0
38,Martin Hinteregger,2.7,1.5,1.1,3.1,0.4,1.0,2.0,1.0,0.8,0.3,0.2,1.2,0.0,0.3,0.8,1.0,0.3,63.9,81.7,0.0,3.4,0.0
39,Nico Elvedi,1.7,2.2,0.4,4.1,0.8,0.0,3.0,0.0,0.4,0.1,0.1,0.5,0.0,0.0,0.4,0.0,0.1,65.3,91.2,0.0,1.9,0.0
40,Kevin Mbabu,2.3,1.0,2.0,2.5,0.3,0.0,0.0,1.0,0.5,0.6,1.6,0.9,0.0,0.5,1.2,1.0,0.6,36.0,69.2,0.7,1.6,0.0
41,Nicolás González,0.3,0.3,0.9,0.3,0.2,0.0,6.0,2.0,3.3,0.8,1.3,2.2,0.5,0.9,2.3,2.0,0.8,14.7,63.8,0.1,0.5,0.1
42,Max Kruse,0.3,0.1,0.2,0.1,0.0,0.0,11.0,5.0,1.4,1.7,0.5,0.5,0.3,0.5,1.6,5.0,1.7,31.0,78.0,1.0,2.0,0.1
43,Stefan Bell,1.5,1.7,1.7,4.6,0.7,0.0,1.0,1.0,0.5,0.2,0.0,0.4,0.1,0.1,0.3,1.0,0.2,36.1,75.4,0.0,1.9,0.0
44,Marcus Thuram,0.8,0.5,1.3,0.3,0.1,0.0,8.0,2.0,2.0,0.6,1.6,1.3,0.6,1.2,2.2,2.0,0.6,19.0,71.4,0.1,0.2,0.0
45,Lucas Hernández,1.8,0.8,0.7,1.4,0.3,0.0,0.0,2.0,0.2,0.6,0.8,1.3,0.0,0.4,1.2,2.0,0.6,50.6,85.1,0.7,2.0,0.0
46,Ridle Baku,1.6,1.3,1.0,0.8,0.1,0.0,6.0,6.0,1.1,1.4,1.2,1.2,0.3,1.2,1.9,6.0,1.4,36.7,76.0,0.6,1.4,0.0
47,Xaver Schlager,2.1,1.7,1.4,1.1,0.2,0.0,2.0,4.0,1.5,0.8,1.3,1.0,0.0,1.0,2.0,4.0,0.8,38.9,76.8,0.0,1.9,0.1
48,Niklas Süle,1.6,1.1,0.5,1.7,0.6,0.0,1.0,0.0,1.0,0.4,0.6,0.2,0.0,0.2,0.4,0.0,0.4,62.9,90.7,0.3,2.6,0.0
49,Pavao Pervan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,67.7,0.0,6.0,0.0
50,Tobias Sippel,0.0,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,33.5,61.2,0.0,8.3,0.0
51,Edmond Tapsoba,1.7,1.5,1.4,2.9,0.9,1.0,1.0,0.0,0.5,0.1,0.6,0.3,0.2,0.3,0.7,0.0,0.1,90.4,89.7,0.0,6.7,0.0
52,Ihlas Bebou,0.8,0.5,0.8,0.5,0.1,0.0,9.0,7.0,1.5,1.2,1.3,1.0,0.1,1.8,3.4,7.0,1.2,18.0,76.9,0.5,0.3,0.0
53,Dani Olmo,0.7,0.4,0.6,0.7,0.0,0.0,5.0,9.0,2.4,1.3,1.0,1.2,0.1,1.2,2.2,9.0,1.3,38.0,77.6,0.2,1.3,0.1
54,John Brooks,1.5,1.7,0.9,4.0,0.3,1.0,2.0,0.0,0.6,0.2,0.2,0.5,0.0,0.1,0.3,0.0,0.2,60.3,83.4,0.0,4.3,0.0
55,Florian Neuhaus,1.5,1.5,0.7,0.6,0.2,0.0,6.0,5.0,1.5,0.7,1.3,1.2,0.0,0.9,1.4,5.0,0.7,52.9,84.4,0.0,3.6,0.1
56,Leroy Sané,0.6,0.3,0.4,0.2,0.0,0.0,6.0,9.0,1.8,1.0,1.9,0.7,0.2,1.5,2.6,9.0,1.0,22.9,78.3,0.5,0.7,0.0
57,Moussa Diaby,0.3,0.4,0.8,0.1,0.0,0.0,4.0,10.0,1.6,1.4,1.8,0.5,0.3,1.3,1.9,10.0,1.4,25.1,84.0,0.8,0.7,0.0
58,Marvin Friedrich,1.4,1.5,0.7,2.9,0.5,0.0,5.0,2.0,0.7,0.4,0.4,0.6,0.1,0.2,0.7,2.0,0.4,53.0,79.7,0.1,4.4,0.0
59,Josip Stanisic,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,91.4,0.0,2.0,0.0
60,Felix Uduokhai,1.1,1.9,0.8,5.4,0.9,1.0,1.0,0.0,0.4,0.1,0.5,0.9,0.0,0.3,0.6,0.0,0.1,50.4,81.7,0.1,3.5,0.0
61,Daichi Kamada,1.5,0.4,1.3,0.7,0.0,0.0,5.0,12.0,1.2,1.8,1.0,0.9,0.2,1.3,1.9,12.0,1.8,28.0,78.0,0.8,1.0,0.0
62,Amos PieperArminia Bielefeld,1.9,2.2,0.7,5.3,1.2,0.0,1.0,1.0,0.5,0.2,0.3,0.8,0.0,0.1,0.4,1.0,0.2,50.7,82.7,0.0,4.8,0.0
63,Mark Flekken,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,72.6,0.0,11.3,0.0
64,Konstantinos Mavropanos,2.0,2.8,1.1,3.0,0.5,0.0,0.0,0.0,0.7,0.2,0.4,0.8,0.0,0.3,0.8,0.0,0.2,46.1,79.2,0.1,3.4,0.0
65,Christopher Lenz,2.7,1.3,1.0,1.6,0.2,0.0,0.0,3.0,0.6,0.7,0.7,0.7,0.1,0.5,1.0,3.0,0.7,36.1,73.4,0.7,2.1,0.0
66,Matthias Ginter,0.8,1.5,0.3,3.5,0.9,0.0,2.0,1.0,0.7,0.3,0.3,1.0,0.0,0.1,0.1,1.0,0.3,68.9,84.8,0.1,4.0,0.0
67,Christoph Baumgartner,1.4,0.8,2.3,0.6,0.3,0.0,6.0,3.0,2.0,1.1,1.1,1.7,0.0,1.2,2.9,3.0,1.1,29.4,74.9,0.2,1.1,0.0
68,Florian Hübner,1.7,2.2,1.7,3.5,0.5,0.0,0.0,0.0,0.5,0.2,0.2,1.3,0.0,0.2,1.0,0.0,0.2,41.5,74.7,0.2,1.5,0.0
69,Renato Steffen,1.1,1.0,1.5,0.6,0.1,0.0,5.0,4.0,1.4,1.0,0.4,0.9,0.1,1.0,2.0,4.0,1.0,27.5,75.4,0.4,1.3,0.0
70,Nicolas Höfler,1.7,2.1,2.3,1.1,0.3,0.0,1.0,3.0,0.6,0.5,1.1,1.1,0.0,0.5,0.9,3.0,0.5,44.5,84.5,0.1,2.3,0.0
71,Paulo Otávio,2.6,1.8,1.2,2.0,0.3,0.0,0.0,2.0,0.6,0.6,0.8,1.4,0.0,0.5,1.7,2.0,0.6,32.4,74.5,0.8,1.3,0.0
72,Orel Mangala,1.1,1.1,1.4,1.0,0.4,0.0,1.0,3.0,1.1,0.8,2.2,1.2,0.0,1.8,2.1,3.0,0.8,41.6,84.6,0.0,1.3,0.0
73,Blendi Idrizi,2.7,1.0,1.0,0.3,0.7,0.0,1.0,0.0,1.3,0.3,1.3,0.3,0.0,1.3,2.3,0.0,0.3,23.0,72.5,0.0,1.3,0.0
74,Marc Oliver Kempf,1.5,2.1,1.1,2.9,0.8,1.0,2.0,1.0,0.5,0.3,0.6,1.2,0.0,0.5,0.5,1.0,0.3,56.6,82.4,0.1,3.8,0.0
75,Benjamin Pavard,1.8,2.0,0.8,1.0,0.2,0.0,0.0,0.0,0.5,0.5,0.1,0.9,0.0,0.1,0.8,0.0,0.5,59.8,87.1,0.5,2.6,0.0
76,Florian Wirtz,1.2,0.3,0.9,0.2,0.0,0.0,5.0,5.0,1.1,1.6,2.1,0.5,0.2,1.5,2.2,5.0,1.6,34.6,77.7,0.2,1.2,0.1
77,Ellyes Skhiri,2.6,2.6,1.3,1.0,0.4,0.0,5.0,2.0,0.5,0.5,0.5,0.5,0.1,0.5,1.0,2.0,0.5,47.3,86.7,0.0,2.9,0.0
78,Robert Andrich,1.8,1.8,1.7,1.1,0.2,1.0,5.0,2.0,1.4,0.7,0.7,1.2,0.1,0.4,1.2,2.0,0.7,48.8,79.6,0.0,2.5,0.0
79,Ondrej Duda,1.1,0.6,1.7,0.6,0.1,0.0,7.0,4.0,1.6,1.3,1.6,1.7,0.2,0.9,2.8,4.0,1.3,34.5,76.6,1.2,2.4,0.1
80,Dayot Upamecano,1.3,1.1,1.2,2.4,0.5,0.0,1.0,0.0,0.5,0.3,0.4,0.3,0.0,0.2,0.8,0.0,0.3,76.0,88.4,0.0,5.4,0.0
81,Ludwig Augustinsson,1.6,0.9,0.7,2.3,0.3,1.0,0.0,4.0,0.7,1.8,0.3,1.1,0.1,0.2,0.7,4.0,1.8,34.2,69.1,2.3,1.1,0.0
82,Ritsu DoanArminia Bielefeld,1.6,0.9,0.9,0.2,0.0,0.0,5.0,2.0,2.0,1.4,1.8,1.9,0.1,1.5,3.2,2.0,1.4,20.2,70.0,0.9,0.8,0.0
83,Amine Harit,0.8,0.6,1.0,0.2,0.0,0.0,2.0,5.0,0.8,1.8,3.2,2.8,0.3,2.1,2.3,5.0,1.8,28.1,77.4,0.9,1.0,0.2
84,Manuel Akanji,1.5,1.8,0.8,2.5,0.4,0.0,2.0,0.0,0.7,0.1,0.3,0.6,0.0,0.3,0.3,0.0,0.1,75.6,92.0,0.0,4.5,0.0
85,Diadie Samassékou,2.3,2.5,1.4,1.6,0.4,0.0,0.0,2.0,0.5,0.3,0.7,1.5,0.0,0.7,1.3,2.0,0.3,44.1,82.7,0.1,2.4,0.1
86,Fabian KlosArminia Bielefeld,0.7,0.1,1.4,0.8,0.2,0.0,5.0,2.0,1.6,0.9,0.2,1.6,0.4,0.9,2.4,2.0,0.9,23.3,54.9,0.1,0.6,0.0
87,Exequiel Palacios,3.4,1.3,0.8,0.8,0.0,0.0,0.0,0.0,0.2,0.9,0.7,1.8,0.0,1.2,1.0,0.0,0.9,45.6,86.6,0.1,1.9,0.0
88,Marcel Halstenberg,1.2,0.7,0.7,1.4,0.1,0.0,2.0,2.0,0.6,1.1,0.5,0.4,0.2,0.4,0.5,2.0,1.1,62.6,86.7,0.6,2.3,0.0
89,Obite Evan Ndicka,1.3,2.0,1.4,3.3,0.3,0.0,3.0,1.0,0.7,0.3,0.4,1.3,0.0,0.6,1.1,1.0,0.3,55.6,84.8,0.1,1.7,0.0
90,Salif Sané,1.2,1.8,1.1,4.6,0.9,0.0,0.0,0.0,0.5,0.3,0.3,1.0,0.1,0.4,0.1,0.0,0.3,49.1,80.8,0.1,2.1,0.0
91,Josip Brekalo,0.8,0.6,0.3,0.1,0.0,0.0,7.0,3.0,1.6,1.3,1.0,0.6,0.1,1.1,2.1,3.0,1.3,27.4,77.0,0.7,1.1,0.0
92,Alassane Plea,0.7,0.2,0.6,0.2,0.0,0.0,6.0,1.0,2.1,1.0,0.9,1.0,0.7,0.7,2.2,1.0,1.0,22.3,75.3,0.2,0.6,0.1
93,Ramy Bensebaini,1.7,1.9,1.4,2.5,0.3,0.0,4.0,0.0,0.9,0.4,0.5,1.2,0.1,0.4,1.3,0.0,0.4,42.9,80.9,0.2,2.0,0.0
94,Djibril Sow,2.1,1.8,1.4,0.5,0.3,0.0,0.0,2.0,0.4,0.6,0.6,1.4,0.1,0.8,1.3,2.0,0.6,43.0,87.8,0.0,1.6,0.0
95,Rafal Gikiewicz,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,34.4,64.4,0.0,7.2,0.0
96,Shkodran Mustafi,1.2,2.5,0.6,5.8,1.2,1.0,1.0,0.0,0.7,0.1,0.2,0.9,0.2,0.0,0.5,0.0,0.1,44.0,78.3,0.0,4.0,0.0
97,Jonas Hector,1.8,1.0,0.6,0.9,0.3,0.0,3.0,1.0,1.4,0.9,0.3,1.2,0.1,0.6,1.4,1.0,0.9,28.5,78.6,0.4,1.6,0.0
98,Florian Grillitsch,1.4,2.0,1.2,1.7,0.3,0.0,2.0,1.0,0.8,0.6,0.7,1.2,0.0,0.6,0.7,1.0,0.6,53.9,86.6,0.2,4.9,0.0
99,Giovanni Reyna,0.8,0.3,0.8,0.3,0.0,0.0,4.0,5.0,1.2,1.1,1.4,1.5,0.1,1.4,1.7,5.0,1.1,27.3,83.1,0.4,0.4,0.1
100,Amadou Haidara,1.6,1.0,0.7,0.6,0.0,0.0,3.0,1.0,1.4,1.1,0.6,0.5,0.2,0.7,1.4,1.0,1.1,32.9,80.0,0.3,1.1,0.0
101,Patrik Schick,0.2,0.1,1.0,0.7,0.1,0.0,9.0,1.0,1.9,0.9,0.7,0.8,0.2,0.7,2.1,1.0,0.9,14.6,69.3,0.0,0.0,0.0
102,Joakim NilssonArminia Bielefeld,1.4,1.6,0.5,4.4,0.9,1.0,0.0,0.0,0.2,0.1,0.1,0.6,0.0,0.0,0.3,0.0,0.1,43.1,82.6,0.0,2.6,0.0
103,Julian Baumgartlinger,2.5,0.7,0.6,0.6,0.0,0.0,2.0,0.0,0.4,0.3,0.4,0.8,0.0,0.5,0.4,0.0,0.3,37.9,86.0,0.1,2.3,0.0
104,Stefan Ortega MorenoArminia Bielefeld,0.1,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,1.0,0.1,53.7,70.6,0.0,14.8,0.0
105,Nordi Mukiele,1.6,0.8,1.4,1.1,0.0,0.0,3.0,1.0,0.8,0.4,0.5,0.8,0.1,0.5,0.9,1.0,0.4,33.9,78.4,0.4,1.7,0.0
106,Sheraldo Becker,0.3,0.3,1.2,0.4,0.0,0.0,3.0,3.0,1.7,1.0,0.8,0.8,0.2,0.6,1.3,3.0,1.0,14.9,69.1,0.8,0.5,0.0
107,David Alaba,1.2,1.3,0.6,1.8,0.4,0.0,2.0,3.0,0.7,0.9,0.5,0.3,0.0,0.4,0.6,3.0,0.9,68.8,85.6,0.2,3.3,0.0
108,Chris Richards,1.7,1.9,0.5,3.5,0.4,0.0,0.0,1.0,0.2,0.4,0.2,0.5,0.0,0.2,0.5,1.0,0.4,62.6,85.5,0.0,3.5,0.0
109,André Hahn,1.1,0.5,1.1,0.7,0.1,0.0,8.0,3.0,1.5,0.6,0.6,0.9,0.5,0.8,1.7,3.0,0.6,14.4,56.9,0.1,0.6,0.0
110,Nico Schlotterbeck,2.1,1.9,1.4,1.8,0.4,1.0,1.0,0.0,1.4,0.2,0.7,1.6,0.0,0.3,0.6,0.0,0.2,50.6,81.1,0.0,3.4,0.0
111,Jhon Córdoba,0.4,0.3,1.8,0.2,0.1,0.0,7.0,1.0,2.3,1.1,0.7,2.1,0.8,1.4,3.0,1.0,1.1,13.7,76.7,0.2,0.4,0.0
112,Dominik Kohr,2.8,1.6,1.5,0.9,0.3,0.0,1.0,1.0,0.9,0.4,0.2,1.1,0.0,0.9,1.4,1.0,0.4,31.4,73.4,0.0,1.2,0.0
113,Ansgar Knauff,0.0,0.0,0.8,0.0,0.3,0.0,1.0,1.0,0.5,1.0,1.5,0.5,0.0,0.3,0.5,1.0,1.0,5.5,63.6,0.8,0.0,0.0
114,Jeremiah St. Juste,2.0,2.0,1.3,2.4,0.8,1.0,0.0,1.0,0.7,0.2,0.8,0.8,0.0,0.2,0.9,1.0,0.2,40.9,78.1,0.2,3.2,0.0
115,Yussuf Poulsen,0.4,0.2,0.8,0.5,0.0,0.0,5.0,4.0,1.7,0.5,1.0,1.1,0.3,1.0,1.4,4.0,0.5,16.0,72.7,0.0,0.3,0.0
116,Mahmoud Dahoud,1.4,0.9,1.3,0.4,0.2,0.0,1.0,1.0,0.8,0.5,1.0,0.9,0.0,1.0,1.1,1.0,0.5,43.6,86.4,0.0,2.8,0.1
117,Amin Younes,1.0,0.5,1.5,0.2,0.0,0.0,3.0,3.0,1.3,0.9,2.0,1.0,0.2,1.2,1.2,3.0,0.9,23.5,76.6,0.4,1.0,0.0
118,Emil Forsberg,0.4,0.4,0.5,0.1,0.0,0.0,7.0,4.0,1.2,1.2,0.7,0.9,0.2,0.8,1.3,4.0,1.2,19.6,79.4,0.5,0.4,0.1
119,Leandro Barreiro Martins,2.0,2.0,2.2,1.8,0.3,0.0,2.0,2.0,1.1,0.6,0.2,1.6,0.0,0.4,1.2,2.0,0.6,23.8,64.6,0.1,0.8,0.1
120,Maximilian Mittelstädt,2.4,2.0,0.9,1.8,0.2,0.0,0.0,2.0,0.6,0.9,0.7,0.7,0.0,0.4,0.9,2.0,0.9,32.9,74.6,0.7,2.7,0.0
121,Stefan Lainer,1.9,1.1,0.9,2.2,0.2,0.0,2.0,2.0,0.8,1.1,0.6,0.6,0.0,0.6,1.5,2.0,1.1,40.2,75.4,0.5,1.5,0.0
122,Lars Bender,1.4,1.1,0.8,1.4,0.4,0.0,1.0,2.0,0.6,0.5,0.4,0.9,0.0,0.2,0.9,2.0,0.5,44.3,82.7,0.3,2.8,0.0
123,Lucas Alario,0.3,0.1,0.7,0.4,0.0,0.0,11.0,2.0,1.6,0.6,0.6,0.7,0.4,0.6,1.8,2.0,0.6,12.2,73.9,0.0,0.2,0.0
124,Danny da Costa,1.4,1.1,0.3,1.3,0.1,0.0,0.0,1.0,0.2,0.8,1.1,0.3,0.1,0.3,1.1,1.0,0.8,21.9,62.1,0.8,1.3,0.0
125,Jonathan Tah,1.1,1.2,1.1,3.0,0.4,0.0,1.0,0.0,0.3,0.0,0.3,0.4,0.0,0.5,0.5,0.0,0.0,72.3,89.8,0.0,3.4,0.0
126,Kerem Demirbay,1.6,0.3,1.5,0.2,0.1,0.0,4.0,4.0,1.5,1.2,0.8,0.9,0.0,1.0,1.9,4.0,1.2,38.2,80.8,0.9,2.5,0.1
127,Alexander Sørloth,0.2,0.1,0.9,0.4,0.1,0.0,5.0,3.0,1.6,1.0,0.8,0.2,0.2,1.1,1.5,3.0,1.0,15.3,73.6,0.1,0.1,0.0
128,Yannick Gerhardt,1.8,0.7,1.2,0.9,0.1,0.0,2.0,4.0,1.1,0.9,0.5,0.9,0.2,1.0,1.4,4.0,0.9,23.3,75.6,0.3,0.7,0.0
129,Jamal Musiala,0.8,0.5,0.5,0.0,0.1,0.0,6.0,1.0,1.0,0.3,1.7,0.8,0.1,1.1,1.6,1.0,0.3,15.9,83.8,0.0,0.4,0.0
130,Jérôme Boateng,0.9,1.4,0.8,2.1,0.6,0.0,1.0,1.0,0.3,0.2,0.2,0.3,0.0,0.0,0.2,1.0,0.2,68.9,88.4,0.1,5.6,0.0
131,Axel Witsel,1.2,1.5,1.1,0.7,0.2,0.0,0.0,0.0,0.8,0.3,0.5,1.3,0.0,0.3,0.5,0.0,0.3,52.9,93.7,0.0,2.3,0.1
132,Iago,2.1,1.2,0.6,2.4,0.3,0.0,1.0,1.0,0.5,0.8,0.4,0.6,0.0,0.7,0.8,1.0,0.8,36.0,73.8,0.6,1.8,0.0
133,Gregor Kobel,0.1,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,30.7,79.6,0.0,4.6,0.0
134,Baptiste Santamaría,1.7,1.7,1.1,1.0,0.2,1.0,1.0,2.0,1.0,0.5,0.6,0.9,0.0,0.9,1.9,2.0,0.5,33.4,76.6,0.2,1.8,0.0
135,Alexander Hack,1.5,2.0,0.7,4.3,0.8,0.0,1.0,0.0,0.3,0.3,0.3,0.6,0.0,0.0,0.3,0.0,0.3,32.8,77.1,0.0,2.7,0.0
136,Mattéo Guendouzi,1.0,0.9,1.0,0.8,0.2,0.0,2.0,1.0,0.7,0.7,1.0,2.0,0.0,1.1,1.2,1.0,0.7,40.9,86.7,0.1,2.5,0.0
137,Joshua Sargent,1.0,0.5,1.0,1.1,0.1,1.0,5.0,2.0,1.4,1.0,0.8,1.3,0.2,0.8,2.4,2.0,1.0,17.8,70.8,0.1,0.2,0.0
