,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
46,Emiliano Buendía,2.3,0.6,1.0,0.0,0.7,2.2,0.1,0.0,1.0,7.0,1.1,2.3,2.8,1.5,0.1,2.2,2.3,7.0,2.3,39.1,80.0,1.1,2.5,0.3
47,Luke Thomas,0.3,1.0,0.3,1.3,2.3,1.0,0.0,0.0,0.0,1.0,0.0,3.3,1.0,1.0,0.0,1.0,2.3,1.0,3.3,51.0,77.8,3.0,2.0,0.0
48,Nicolas Pépé,1.0,0.3,0.5,0.0,0.1,0.3,0.1,0.0,5.0,6.0,1.6,1.3,2.3,1.2,0.1,1.7,2.0,6.0,1.3,22.8,81.4,0.9,0.5,0.1
49,Serge Aurier,2.8,1.4,1.2,0.2,2.5,0.9,0.2,1.0,1.0,5.0,0.4,1.0,1.2,0.7,0.2,0.8,1.6,5.0,1.0,38.8,79.1,0.6,1.0,0.0
50,Dwight McNeil,1.2,0.8,0.8,0.0,0.7,1.3,0.2,0.0,2.0,6.0,1.3,1.4,2.0,1.0,0.0,1.7,1.5,6.0,1.4,27.1,79.1,1.8,1.5,0.0
51,Diego Rico,2.3,3.1,0.7,0.2,2.2,1.1,0.3,0.0,0.0,4.0,0.4,1.2,0.5,0.8,0.1,0.8,1.0,4.0,1.2,40.2,67.3,1.6,2.1,0.1
52,Troy Deeney,0.7,0.4,1.4,0.0,1.0,0.9,0.0,0.0,10.0,2.0,1.7,1.1,0.4,1.3,0.4,1.0,1.9,2.0,1.1,26.3,54.2,0.0,0.3,0.0
53,Çaglar Söyüncü,1.8,1.3,0.9,0.6,4.4,0.6,0.6,0.0,1.0,1.0,0.5,0.1,0.5,0.6,0.0,0.1,0.5,1.0,0.1,68.2,89.6,0.0,3.3,0.0
54,Bernardo Silva,1.1,0.7,0.7,0.0,0.4,0.9,0.0,0.0,6.0,7.0,1.5,1.5,1.2,0.6,0.1,0.6,0.7,7.0,1.5,40.4,90.2,0.5,1.1,0.0
55,Pierre-Emerick Aubameyang,0.9,0.4,0.4,0.0,0.4,1.1,0.0,0.0,22.0,3.0,2.6,0.7,0.5,0.6,0.6,0.9,1.6,3.0,0.7,22.7,72.2,0.6,0.3,0.0
