,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
51,Sergio Canales,1.4,0.3,0.9,0.0,0.2,1.3,0.1,0.0,7.0,2.0,2.1,1.7,1.8,1.6,0.3,1.7,2.1,2.0,1.7,54.3,88.3,1.3,2.4,0.2
52,Sergio Busquets,2.6,1.5,1.1,0.0,0.6,1.4,0.2,0.0,0.0,1.0,0.2,0.4,0.3,1.5,0.0,0.7,0.4,1.0,0.4,68.4,89.7,0.0,4.3,0.1
53,Iñaki Williams,0.7,0.2,1.1,0.0,0.8,0.4,0.0,0.0,13.0,4.0,2.0,0.8,1.4,1.4,0.6,1.5,2.7,4.0,0.8,18.1,70.3,0.2,0.2,0.1
54,Brais Méndez,2.0,0.8,1.2,0.0,0.6,1.3,0.1,0.0,6.0,7.0,2.3,1.5,0.6,2.1,0.4,1.2,1.6,7.0,1.5,35.9,78.5,0.9,1.3,0.0
55,Francis Coquelin,1.8,1.9,0.8,0.0,1.1,0.7,0.2,0.0,0.0,1.0,0.3,0.7,1.0,1.1,0.0,1.0,0.6,1.0,0.7,37.2,86.1,0.0,2.9,0.1
56,Diego Godín,1.7,1.5,1.1,0.2,4.5,0.7,0.3,1.0,3.0,1.0,0.5,0.1,0.3,0.8,0.0,0.0,0.4,1.0,0.1,34.9,80.5,0.0,3.1,0.0
57,José Gayà,2.4,1.2,1.0,0.4,2.7,1.0,0.2,0.0,1.0,1.0,0.4,0.7,1.1,1.6,0.1,0.5,0.9,1.0,0.7,41.5,81.9,0.6,2.1,0.0
58,Borja Garcés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0
59,Yeray Álvarez,1.8,2.1,1.0,0.8,4.8,0.5,0.5,0.0,0.0,0.0,0.4,0.1,0.2,0.8,0.0,0.3,0.3,0.0,0.1,42.8,80.1,0.0,3.0,0.0
60,Marc Bartra,2.6,1.8,0.9,1.1,3.9,1.1,0.6,0.0,1.0,0.0,0.3,0.1,0.4,1.2,0.1,0.4,0.8,0.0,0.1,68.7,87.8,0.0,4.2,0.0
61,Jorge Molina,0.3,0.2,1.2,0.0,0.7,0.3,0.0,0.0,14.0,5.0,1.5,1.2,0.9,1.2,0.6,1.3,2.3,5.0,1.2,19.3,66.7,0.1,0.4,0.2
62,Fabián Orellana,1.3,0.6,0.7,0.0,0.1,1.0,0.0,0.0,3.0,5.0,2.4,1.5,2.5,1.8,0.2,3.0,2.4,5.0,1.5,35.3,77.8,0.7,1.3,0.1
63,Jean-Clair Todibo,3.5,1.5,2.0,0.5,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.5,0.0,0.0,59.0,92.4,0.0,0.5,0.0
64,Filipe Luís,2.4,1.6,1.0,0.0,1.4,1.0,0.1,0.0,2.0,2.0,0.4,0.6,0.9,0.5,0.1,0.7,0.6,2.0,0.6,47.7,83.1,0.3,1.5,0.0
65,Unai Núñez,1.3,2.3,1.3,0.6,4.8,0.3,1.0,0.0,0.0,0.0,1.0,0.3,0.2,0.2,0.0,0.1,0.2,0.0,0.3,44.7,87.3,0.0,3.8,0.0
66,Maximiliano Gómez,0.2,0.1,2.0,0.0,1.2,0.3,0.0,0.0,13.0,5.0,2.3,0.9,0.4,1.9,1.2,1.2,2.1,5.0,0.9,19.2,73.1,0.1,0.9,0.1
67,Geoffrey Kondogbia,2.5,1.4,1.1,0.0,1.2,0.8,0.4,0.0,1.0,1.0,1.2,0.3,1.2,1.0,0.0,1.1,0.8,1.0,0.3,39.2,84.4,0.0,3.8,0.2
68,Mario Hermoso,1.2,1.2,0.7,0.7,5.2,0.6,0.8,0.0,3.0,0.0,0.8,0.2,0.3,0.9,0.1,0.2,0.2,0.0,0.2,50.3,83.9,0.0,4.9,0.1
69,Raúl de Tomás,0.2,0.3,1.8,0.0,1.3,0.4,0.1,0.0,14.0,1.0,3.5,0.5,1.5,1.1,0.5,2.1,2.7,1.0,0.5,13.9,81.7,0.0,1.1,0.0
70,Rúben Vezo,1.7,1.3,1.0,0.4,5.7,0.5,1.3,0.0,2.0,1.0,0.5,0.3,0.3,0.7,0.1,0.2,0.5,1.0,0.3,33.1,78.0,0.0,2.5,0.0
71,Dimitrios Siovas,1.7,1.9,0.9,0.3,4.4,0.6,0.4,0.0,1.0,0.0,0.6,0.3,0.4,0.3,0.1,0.3,0.3,0.0,0.3,39.7,72.3,0.1,3.6,0.0
72,André Silva,0.3,0.1,1.6,0.0,1.2,0.4,0.0,0.0,9.0,0.0,2.3,1.1,0.5,1.0,0.6,2.1,2.1,0.0,1.1,19.9,72.7,0.1,0.1,0.2
73,Thomas Partey,2.1,1.5,1.0,0.0,0.6,0.9,0.2,0.0,3.0,4.0,1.1,0.6,1.1,0.7,0.0,0.6,0.9,4.0,0.6,41.5,83.8,0.3,2.3,0.1
74,Aritz Elustondo,1.7,1.4,0.8,0.5,5.1,0.6,0.3,0.0,1.0,0.0,0.4,0.3,0.6,1.0,0.0,0.1,0.5,0.0,0.3,41.0,78.9,0.3,1.7,0.0
75,Jesús Navas,0.9,0.9,0.4,0.2,1.6,0.3,0.2,0.0,1.0,5.0,1.0,1.3,1.1,1.0,0.3,0.4,0.5,5.0,1.3,44.3,77.0,1.3,2.9,0.1
76,Martín Mantovani,1.7,2.4,1.3,0.7,5.2,0.6,0.3,1.0,2.0,0.0,0.6,0.0,0.0,1.8,0.0,0.3,0.3,0.0,0.0,25.1,79.6,0.0,1.2,0.0
77,Gabriel Paulista,1.0,2.3,0.8,0.6,5.2,0.5,0.7,0.0,0.0,1.0,0.4,0.2,0.1,1.0,0.0,0.1,0.4,1.0,0.2,43.3,86.7,0.0,3.8,0.0
78,Junior Firpo,1.6,1.0,1.3,0.1,1.5,0.6,0.1,0.0,3.0,4.0,0.8,0.8,1.3,1.1,0.2,0.6,1.0,4.0,0.8,38.9,82.9,0.3,0.8,0.0
79,Borja Iglesias,0.6,0.2,1.5,0.0,1.1,0.5,0.2,0.0,17.0,3.0,2.4,1.1,0.6,1.4,1.2,1.8,3.0,3.0,1.1,18.2,70.5,0.0,0.4,0.1
80,Philippe Coutinho,0.5,0.4,0.6,0.0,0.1,0.4,0.1,0.0,5.0,2.0,2.0,0.9,1.5,1.3,0.2,1.4,1.2,2.0,0.9,40.8,87.9,0.2,1.2,0.1
81,Rodrigo,0.6,0.1,0.7,0.0,0.5,0.4,0.0,0.0,8.0,6.0,2.4,0.9,1.3,1.2,0.4,1.1,2.0,6.0,0.9,25.1,74.4,0.1,1.1,0.1
82,Ezequiel Garay,0.8,0.7,0.8,0.4,5.7,0.4,1.0,0.0,2.0,0.0,0.5,0.2,0.1,0.5,0.0,0.0,0.2,0.0,0.2,44.6,83.6,0.0,4.1,0.0
83,Sergio Ramos,1.5,1.3,1.0,1.0,3.0,0.6,0.5,0.0,6.0,1.0,1.1,0.3,0.1,1.3,0.2,0.1,0.4,1.0,0.3,68.5,92.1,0.0,7.1,0.0
84,Youssef En-Nesyri,0.5,0.2,1.2,0.0,0.7,0.6,0.1,1.0,9.0,2.0,2.4,0.5,0.9,1.3,0.5,1.7,1.9,2.0,0.5,15.0,56.8,0.2,0.5,0.0
85,Guido Carrillo,0.8,0.3,1.3,0.0,0.8,0.4,0.0,0.0,6.0,1.0,1.8,0.7,0.3,0.9,0.3,0.7,1.2,1.0,0.7,20.0,63.7,0.0,0.3,0.0
86,Toni Moya,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,91.8,0.0,5.0,0.0
87,Sergi Roberto,1.0,1.5,0.6,0.1,0.9,0.3,0.1,0.0,0.0,7.0,0.3,1.0,0.5,1.1,0.0,0.7,1.0,7.0,1.0,55.9,90.5,0.2,1.0,0.1
