Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Arturo Vidal,3,7,0.7,0.7,0.2,1,0,0.5,0.9,6.89
Antunes,1,3,1,1.1,0.8,0.7,0,0.5,0.9,6.89
Jonathan Silva,3,6,0.8,1.6,0.4,0.7,0.1,0.4,1.4,6.89
Sergio Asenjo,0,0,0,0,0,0.1,0,0,0,6.89
Damián Suárez,0,3,0.4,1.7,0.6,1.5,0.1,0.6,0.8,6.89
Mikel Merino,3,3,0.8,0.4,1,1.3,0,1.6,1.5,6.88
Jaime Mata,14,6,1.7,0.6,0.4,1.5,0.9,1.1,2.5,6.88
Ximo Navarro,2,2,0.4,0.3,0.5,1.2,0,0.5,0.8,6.88
Gareth Bale,8,3,2.6,0.6,0.8,0.7,0.5,0.7,0.8,6.88
Clément Lenglet,1,0,0.3,0,0.3,0.6,0,0.1,0.2,6.88
Daniel Carriço,1,1,0.4,0.2,0.3,0.3,0,0.3,0.3,6.88
Pedro Alcalá,1,1,0.6,0.2,0.2,0.5,0.1,0.2,0.3,6.88
Okay Yokuslu,2,0,0.6,0.4,0.9,1.1,0,0.7,0.9,6.87
Simon Kjaer,0,0,0.5,0.2,0,0.5,0,0,0.2,6.87
Nacho,1,3,0.5,1.2,0.4,1,0.2,0.3,0.8,6.87
Alejandro Granell,0,4,1.2,1.6,0.7,1.5,0,0.8,0.8,6.87
Franco Vázquez,3,4,1.3,0.9,1.3,2.1,0.1,1.8,1.6,6.87
Thomas Lemar,3,3,0.8,1.2,1.5,1.1,0.2,1.5,1.2,6.87
Joaquín,6,0,0.8,1.5,1.6,1.1,0.1,0.9,1,6.87
Yuri Berchiche,2,2,0.8,0.5,0.9,2.2,0.1,0.5,1.2,6.87
Hugo Mallo,1,4,0.7,0.9,0.6,0.8,0.3,0.5,1.1,6.86
José Luis Morales,12,5,1.8,1.2,1.9,1.4,0.6,2.3,2.2,6.86
Pape Diop,1,1,1.3,0.4,0.6,1.7,0,0.4,1.1,6.85
Íñigo Martínez,0,0,0.8,0.2,0.1,1.7,0,0.2,0.4,6.85
Esteban Granero,3,1,1.1,1,1.2,1.5,0,1.3,0.9,6.85
Kévin Rodrigues,0,0,0.3,0.9,1.3,0.9,0,1,0.9,6.85
Aihen Muñoz,0,0,0.2,0.6,1.8,0.5,0,0.6,1,6.84
Marc Muniesa,0,0,0.4,0.3,0.6,1.1,0,0.3,0.5,6.83
