,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
159,Sergi Darder,1.8,0.6,0.9,0.1,0.7,1.3,0.1,,6.78
160,Raphaël Varane,1.0,1.0,0.3,0.7,4.3,0.1,0.3,,6.78
161,Adrián Embarba,1.5,0.8,1.2,0.1,0.3,1.1,0.1,,6.78
162,Cristian Tello,1.1,0.6,0.2,,0.3,0.6,,,6.78
163,Tomás Pina,2.3,1.5,2.1,,1.4,1.0,0.1,,6.77
164,Rubén Duarte,2.2,1.7,1.1,0.3,3.3,0.9,0.4,,6.77
165,Carlos Soler,1.3,0.6,1.7,,1,1.6,0.2,1,6.77
166,Mikel Vesga,1.9,1.5,1.2,,1,2.4,0.2,,6.77
167,Bernardo Espinosa,0.6,1.3,1.1,0.8,6.3,0.3,1,,6.77
168,Vinícius Júnior,0.6,0.4,0.7,,,0.7,0.1,,6.77
169,Víctor Laguardia,1.3,1.5,0.7,0.8,6.2,0.3,0.5,1,6.76
170,Raúl García,2.1,1.1,1.1,0.6,2.9,0.5,0.4,,6.76
171,Dani Ceballos,1.4,0.7,0.7,,0.2,0.9,,,6.76
172,Mauro Arambarri,1.8,0.9,2,0.1,1.0,1.6,0.3,1,6.76
173,David Soria,,,,,1.2,,,,6.76
174,Keylor Navas,,0.1,,,0.6,,,,6.76
175,Jason,1.5,1.5,0.9,0.1,0.8,1.7,0.1,,6.76
176,Juanpe,1.5,1.7,1.2,0.5,4.0,0.6,0.5,,6.76
177,Jorge Pulido,2,1.5,1.6,0.5,4.7,0.6,0.6,1,6.75
178,Asier Illarramendi,1.7,1.3,1.5,,1.9,1.3,0.4,,6.75
179,Diego Llorente,1.2,1.2,1,0.8,3.8,0.6,0.7,1,6.74
180,Álvaro Odriozola,2,0.8,1.1,0.5,0.9,0.3,0.1,,6.74
181,Willian José,0.2,,1.1,,0.9,0.2,0.2,,6.74
182,Brahim Díaz,1,,0.4,,,0.6,,,6.74
183,Christian Rivera,1.7,1.4,0.8,,1.2,0.6,0.2,,6.74
184,Denis Cheryshev,1.7,0.6,1.6,,0.4,0.7,0.1,,6.74
185,Unai Bustinza,1.6,2.1,1.2,0.5,4.2,0.6,0.5,,6.74
186,Fernando Pacheco,,,,,1.1,,,,6.74
187,Daniel Wass,1.1,1.1,0.9,0.1,1.3,0.7,0.1,1,6.74
188,Ibai Gómez,0.8,0.4,0.1,,0.8,0.7,,,6.74
189,Álex Moreno,1.8,1.1,1.1,0.5,2.2,0.7,0.3,,6.73
190,Néstor Araújo,1.3,1.1,0.5,0.6,4.6,0.1,0.7,,6.73
191,Rodrigo Ely,1.6,1.4,1.4,0.6,5.4,0.4,1.4,,6.73
192,Fernando Calero,1.4,1.5,1,0.5,4.6,0.4,0.9,,6.73
193,Andrés Fernández,0.2,,,,1.0,,,,6.73
194,Álex Gálvez,2.2,2.6,1.3,1.1,4.1,0.8,0.1,,6.73
195,Enis Bardhi,1.9,0.9,1.7,,0.9,1.6,0.1,,6.73
196,Yassine Bounou,,,,,0.5,0.1,,1,6.73
197,Raúl Navas,1.4,1.3,0.6,0.7,3.8,0.5,0.6,,6.72
198,Alfonso Pedraza,1.7,0.9,1.2,0.1,1.3,1.2,0.2,,6.72
199,Gabriel Mercado,1.5,1.1,1.4,0.3,3.0,0.8,0.5,,6.72
200,Aitor Fernández,0.1,0.1,,,1.0,,,,6.72
201,Roberto Santamaría,,0.1,,,0.7,,,,6.72
202,David López,1.3,1.3,0.9,0.9,3.1,0.6,0.6,1,6.72
203,Diego López,,0.1,,,0.5,,,,6.72
204,Iván Ramis,1.1,0.9,0.5,1.2,3.0,0.3,0.2,,6.72
205,Pablo Fornals,1.4,0.7,0.9,,0.5,1.1,0.1,,6.71
206,Thibaut Courtois,,0.1,,,0.3,0.1,,,6.71
207,Santi Mina,0.6,0.1,1.3,,0.6,0.7,0.1,,6.71
208,Vasyl Kravets,2.7,0.7,1.8,,1.3,1.2,0.2,,6.71
209,Míchel,1.7,1.2,1.2,,0.7,1.6,0.1,,6.71
210,Mario Gaspar,2.0,1.4,1.6,0.3,2.7,0.6,0.4,,6.71
211,Kiko Olivas,1.5,1.3,0.5,0.5,4.7,0.7,0.5,,6.71
212,Sidnei,2.0,1.7,0.6,0.5,2.1,0.7,0.3,,6.71
213,Joris Gnagnon,1.6,1.4,1.1,0.1,2.1,0.4,0.3,,6.71
214,Sergi Gómez,1.5,1.3,0.9,0.5,4.0,0.3,0.6,,6.7
215,Santiago Comesaña,2.2,1.2,1.1,0.1,1.6,1.6,0.2,,6.7
216,Anaitz Arbilla,1.2,1.8,0.6,1.3,3.6,0.4,0.2,,6.7
217,Charles,0.2,0.1,1.1,0.1,0.4,0.3,,,6.7
218,Yangel Herrera,3.0,0.9,2.0,0.2,1.8,1.3,0.1,,6.7
219,Moi Gómez,1.2,0.8,1.3,,0.7,1.0,0.1,,6.7
220,Paulo Oliveira,1.8,1.3,0.7,1.5,4.1,0.6,0.4,1,6.7
221,Neto,0.1,,,,0.6,,,,6.7
222,Pablo Hervías,0.3,,0.7,,,1.3,,,6.69
223,Juanfran,1.6,0.9,0.8,0.1,1.4,0.6,0.2,,6.69
224,Óscar Plano,1.9,0.7,2.1,,0.6,1,0.1,,6.69
225,Xabier Etxeita,1.5,1.3,1.1,0.9,5.2,0.7,0.8,1,6.69
226,Marc-André ter Stegen,,0.1,,,0.4,0.1,,,6.69
227,Manu García,2.4,0.7,1.8,,1.8,1.6,0.2,1,6.68
228,Nélson Semedo,1.5,0.8,0.8,0.1,0.7,0.2,0.3,,6.68
229,Pablo Ínsua,2.3,1.2,1.6,0.9,3.9,0.7,,,6.68
230,Toño,0.8,0.7,0.5,0.1,1.3,0.5,0.2,1,6.68
231,Beñat Etxebarria,1.7,0.9,1.1,,0.4,1.5,,,6.68
232,Chimy Avila,0.5,0.4,1.1,,0.6,0.6,0.1,,6.68
233,Maximilian Wöber,1.7,1.0,1.1,0.3,2.3,0.4,,,6.68
234,Ángel Correa,1.1,0.5,1.1,,0.5,1.2,0.1,,6.68
235,Carlos Akapo,2.2,1.7,1.2,0.3,2.5,1.1,0.2,,6.68
236,Martin Braithwaite,0.3,0.2,1.3,,0.2,0.2,,,6.67
237,Dani García,1.9,1.7,1.6,0.1,1.6,1.3,0.3,,6.67
238,Luis Advíncula,1.9,0.7,1.7,0.6,2.0,0.4,0.1,,6.67
239,Aïssa Mandi,1.5,1.2,1.6,0.5,1.9,0.5,0.7,,6.67
240,Giannelli Imbula,0.6,0.4,1.2,,0.2,0.3,0.1,,6.67
241,Víctor Ruiz,1.3,1.7,1.3,1,2.8,0.2,0.7,,6.67
242,Andrés Solano,4.0,,,,1.0,,,,6.67
243,Rodrigo Tarín,1.2,1.7,0.8,0.2,4.1,0.2,0.3,,6.67
244,Iñigo Córdoba,1.6,0.7,0.8,,0.3,1.4,,,6.67
245,Cucho Hernández,0.6,0.3,1,,0.5,0.4,0.1,,6.66
246,Jaume Costa,1.6,1,1,0.1,2.1,0.6,0.1,1,6.66
247,Ryad Boudebouz,1.3,0.3,0.5,,0.6,0.5,0.1,,6.66
248,Miguelón,2.6,1.5,1.8,0.4,1.6,1,0.3,,6.66
249,Mathías Olivera,1.7,0.7,1.1,0.3,1.3,0.6,0.1,,6.66
250,Abel Ruiz,1.0,,,,,,,,6.66
251,Isco,1.1,0.2,0.7,,0.1,0.7,,,6.66
252,Pere Pons,2.4,1,2.1,0.1,1,1.5,0.4,,6.66
253,Rubén Pérez,2.3,1.3,1.1,,1,1.5,0.3,,6.66
254,Álvaro González,1.4,1.1,0.8,0.5,5.1,0.3,0.7,,6.66
255,Wu Lei,0.8,0.4,0.5,,0.4,0.7,,,6.66
256,Sergio Escudero,2.0,1.1,1,0.1,1.8,0.8,0.2,,6.65
257,Moussa Wague,2.0,1.3,3,0.3,0.7,1.3,,,6.65
258,Bruno González,1.0,1,1,0.5,4.8,0.4,0.3,,6.65
259,Allan-Roméo Nyom,1.4,0.9,1.5,0.2,1.1,0.2,0.1,,6.65
260,Iván Cuéllar,,0.1,,,1,,,,6.65
261,Mouctar Diakhaby,0.6,0.9,1.1,0.7,4.3,0.2,0.7,,6.65
262,Nacho,1.3,1.6,1.4,0.6,3,0.6,0.4,,6.64
263,Chema Rodríguez,1.4,1.0,1,0.4,4.3,0.3,0.6,,6.64
264,Óscar Trejo,2.2,0.7,1.8,,0.5,1,0.1,,6.64
265,David Timor,1,1.5,0.5,,1.5,0.5,0.5,,6.64
266,Robert Mazán,3,3.0,2,1,,,,,6.64
267,Pau López,,0.1,,,0.8,0.1,,,6.64
268,Facundo Roncaglia,1.9,1.4,0.9,0.1,3,0.3,0.3,,6.64
269,Juanfran,0.9,0.8,0.3,0.2,1.1,0.3,0.2,,6.64
270,Adrià Pedrosa,1.2,0.7,1.2,0.2,1.8,0.6,0.3,,6.63
271,Rubén Pardo,0.5,0.9,0.5,,0.3,0.5,0.3,,6.63
272,Lucas Vázquez,1.4,0.4,1.3,,0.2,0.8,,,6.63
273,Stefan Savic,0.6,1.2,0.8,0.1,3.6,0.3,0.5,,6.63
274,Roger Martí,0.3,0.1,1.2,,0.3,0.6,,,6.63
275,Francis,2.3,1.0,0.4,0.2,1.5,0.8,,,6.63
276,David Zurutuza,1.3,1.1,0.9,,1.0,0.7,0.2,,6.63
277,Peru Nolaskoain,1.4,1.3,0.6,0.5,2.3,0.5,0.8,,6.63
278,Coke,1.6,1.5,1.0,,1.9,1.1,0.3,,6.63
279,Pedro Porro,1.6,1.2,0.8,0.1,1.2,1.5,0.1,,6.63
280,Leo Baptistão,1.1,0.4,1.3,,0.7,1,,,6.61
281,Amath Ndiaye,1.3,0.7,1.8,,0.5,1.4,,,6.61
282,Portu,1,0.2,0.8,,,0.9,,,6.61
283,Juan Soriano,,0.3,,,1,,,,6.61
284,Samuel Umtiti,0.6,1.3,0.9,0.4,1.9,0.1,0.6,,6.6
