,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
86,Toni Moya,0.0,0.0,49.0,91.8,0.0,5.0,0.0,6.91
87,Sergi Roberto,7,1,55.9,90.5,0.2,1.0,0.1,6.91
88,Santiago Arias,1,0.6,31.6,81.9,0.4,0.6,0.0,6.91
89,Marc Roca,2,0.7,55.9,86.9,0.0,4.3,0.3,6.9
90,Jan Oblak,0.0,0.0,20.5,49.4,0.0,6.2,0.0,6.9
91,Jeison Murillo,0.0,0.0,17.0,94.1,0.0,0.0,0.0,6.9
92,Jorge Miramón,0.0,0.9,32.8,75.1,0.8,2.6,0.0,6.9
93,Naldo,1,0.1,37.5,81.3,0.0,2.9,0.0,6.9
94,Óscar Rodríguez,3,1.5,30.6,75.4,1.3,1.7,0.0,6.9
95,Gonçalo Guedes,3,0.8,23.9,75.9,0.4,0.9,0.1,6.89
96,Jony,10,2.4,21.6,65.3,2,1.7,0.1,6.89
97,Rubén Alcaraz,2,0.6,50.4,83.6,0.2,5.3,0.0,6.89
98,Arturo Vidal,7,0.7,45.4,89.0,0.1,1.6,0.1,6.89
99,Antunes,3,1.1,28.2,58.2,1.5,2.9,0.0,6.89
100,Jonathan Silva,6,1.6,29.6,71.7,1.4,1.6,0.0,6.89
101,Sergio Asenjo,0.0,0.0,21.4,60.3,0.0,6.4,0.0,6.89
102,Damián Suárez,3,1.7,36.8,65.0,1.7,4.0,0.0,6.89
103,Mikel Merino,3,0.4,37.6,79.6,0.2,1.9,0.1,6.88
104,Jaime Mata,6,0.6,19.1,62.9,0.1,0.6,0.0,6.88
105,Ximo Navarro,2,0.3,26.5,79.1,0.5,2.0,0.0,6.88
106,Gareth Bale,3,0.6,23.8,78.3,0.4,1.5,0.0,6.88
107,Clément Lenglet,0.0,0.0,49.8,89.4,0.0,3.0,0.0,6.88
108,Daniel Carriço,1,0.2,41.7,79.7,0.0,3.0,0.0,6.88
109,Pedro Alcalá,1,0.2,34.5,79.4,0.0,2.6,0.0,6.88
110,Okay Yokuslu,0.0,0.4,46.2,86.1,0.0,2.7,0.0,6.87
111,Simon Kjaer,0.0,0.2,34.9,85.7,0.0,2.5,0.1,6.87
112,Nacho,3,1.2,39.4,71.0,0.7,2.7,0.0,6.87
113,Alejandro Granell,4,1.6,40.8,76.1,1.7,3.4,0.1,6.87
114,Franco Vázquez,4,0.9,31.4,79.3,0.2,1.4,0.2,6.87
115,Thomas Lemar,3,1.2,30.3,85.2,0.7,1.0,0.1,6.87
116,Joaquín,0.0,1.5,28.2,84.8,0.9,0.7,0.0,6.87
117,Yuri Berchiche,2,0.5,39.1,81.9,0.6,1.1,0.0,6.87
118,Hugo Mallo,4,0.9,42.6,74.6,0.9,2.2,0.0,6.86
119,José Luis Morales,5,1.2,18.8,71.1,0.2,0.8,0.1,6.86
120,Pape Diop,1,0.4,40.3,73.2,0.1,2.0,0.0,6.85
121,Íñigo Martínez,0.0,0.2,43.6,78.0,0.1,5.3,0.0,6.85
122,Esteban Granero,1,1.0,40.0,86.2,0.8,2.0,0.0,6.85
123,Kévin Rodrigues,0.0,0.9,25.9,74.6,0.6,1.0,0.0,6.85
124,Aihen Muñoz,0.0,0.6,36.3,73.7,0.8,1.0,0.0,6.84
125,Marc Muniesa,0.0,0.3,40.3,80.7,0.4,2.3,0.1,6.83
126,Cristiano Piccini,0.0,0.2,33.5,78.5,0.5,1.1,0.0,6.83
127,Marcos Llorente,0.0,0.6,53.6,93.1,0.0,5.7,0.0,6.83
128,Theo Hernández,2,0.8,37.9,82.8,0.4,0.7,0.0,6.83
129,Mikel Oyarzabal,2,1.2,25.0,73.9,0.5,0.8,0.1,6.83
