,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
447,Salif Sané,30,Midfielder,Schalke 04,2613,1260,1353,Senegal,30,14,16,2,0,2,0,0,0,0,0,5,2,3,45,24,21,4,0,0.07,0,0.07,0,0.13,1307,1.55,58,87,653,0,0.14,196,246,-1,7,1.8,2.3,0.9,0.4,4.8,0.6,1,0,2,0,0.6,0.2,0.5,1.1,0,0.2,0.4,0,0.2,51.1,83.2,0.1,3.1,0
448,Salomon Armand Magloire Kalou,35,Midfielder,Hertha BSC,2327,1192,1135,Côte d'Ivoire,30,16,14,8,3,5,2,2,0,3,0,9,4,5,38,19,19,0,0,0.39,0.08,0.31,0.23,0.4,291,1.47,61,78,0,1164,0,65,165,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Sam Francis Schreck,22,Midfielder,Bayer Leverkusen,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,Samuel Radlinger,28,Goalkeeper,Hannover 96,90,0,90,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Sandro Wagner,33,Forward,Bayern München,138,90,48,Germany,7,2,5,0,0,0,0,0,0,0,0,4,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,20,69,0,1.3,-1,-1,-1,20,0.4,0,0.1,0,0.3,0.1,0,0,0,0,0.4,0.1,0,0,0,0.1,0.6,0,0.1,5.1,66.7,0,0.3,0
452,Santiago Ascacibar,24,Midfielder,Stuttgart,2430,1350,1080,Argentina,27,15,12,0,0,0,0,0,0,0,0,3,2,1,52,26,26,11,1,0,0,0,0,0,0,1.93,47,90,203,0,0.44,339,364,-1,24,2.9,1.6,0.9,0,1.1,1.5,0.4,1,0,0,0.7,0.5,0.5,1.2,0,0.7,0.7,0,0.5,40.4,80.7,0.1,1.8,0
453,Sascha Riether,38,Defender,Schalke 04,1,1,0,Germany,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0
454,Sebastian Jung,30,Defender,Wolfsburg,57,0,57,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.58,57,57,0,0,0,-1,-1,-1,25,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46,87,3,0,0
455,Sebastian Kerk,26,Midfielder,Nürnberg,1187,690,497,Germany,21,12,9,0,0,0,1,1,0,0,0,1,1,0,21,7,14,0,0,0.08,0.08,0,0,0,0,1.59,57,57,0,1187,0,254,166,-1,13,0.8,0.1,0.4,0,0.7,0.8,0.2,0,0,1,0.9,1.1,0.2,0.5,0,0.7,0.8,1,1.1,17.1,73.5,1.2,0.6,0
456,Sebastian Langkamp,33,Defender,Werder Bremen,1410,755,655,Germany,21,10,11,0,0,0,0,0,0,0,0,5,2,3,25,13,12,4,0,0,0,0,0,0,0,1.6,56,67,353,0,0.26,281,334,85,20,1.1,1,0.5,0.7,3.7,0.3,0.5,0,0,0,0.5,0.2,0.1,0.7,0,0,0.2,0,0.2,46,88.5,0,2.5,0
457,Sebastian Rode,30,Midfielder,Eintracht Frankfurt,931,550,381,Germany,12,7,5,0,0,0,0,0,0,0,0,6,3,3,8,6,2,4,0,0,0,0,0,0,0,0.77,116,78,233,0,0.39,253,256,-1,16,2.6,1.6,1.3,0.1,1.1,1.6,0,0,0,0,0.3,1.5,0.9,0.8,0,0.4,1.3,0,1.5,43.1,83.4,1,2.3,0.1
458,Sebastian Rudy,31,Midfielder,Schalke 04,1360,728,632,Germany,21,11,10,0,0,0,0,0,0,0,0,3,2,1,23,9,14,4,0,0,0,0,0,0,0,1.52,59,65,340,0,0.26,255,243,-1,26,2.1,0.7,1.4,0,0.6,1.4,0.1,0,0,0,0.2,0.6,0.3,0.8,0,0.5,0.6,0,0.6,30.6,80.5,0.2,1.3,0
459,Sebastian Soto,20,Forward,Hannover 96,26,9,17,USA,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,19,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.7,0,0.3,1,100,0,0,0
460,Sébastien Haller,26,Forward,Eintracht Frankfurt,2180,1180,1000,France,29,15,14,15,6,9,9,7,2,3,0,8,3,5,31,14,17,3,0,0.99,0.37,0.62,0.46,0.81,145,1.28,70,75,727,242,0.12,14,9,-1,2,0.8,0.5,1.4,0,0.8,0.4,0,0,15,9,1.9,1.3,1,1.5,0.7,1.7,3,9,1.3,27,63.5,0,0.4,0.1
