,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
401,Luca Pellegrini,22,Defender,Cagliari,1103,406,697,Italy,16,7,9,0,0,0,2,1,1,0,0,3,1,2,18,6,12,6,1,0.16,0.16,0,0,0,0,1.47,61,69,184,552,0.49,316,79,125,11,0.3,0.8,1,0,0.3,0.3,0.3,0,0,1,0,0.3,0.3,0.3,0,0.3,0.5,1,0.3,26.5,81.1,0.3,2.3,0
402,Luca Rigoni,36,Midfielder,Parma,1764,979,785,Italy,23,12,11,2,0,2,1,0,1,0,0,9,6,3,29,11,18,5,0,0.15,0.05,0.1,0,0.23,882,1.48,61,77,353,1764,0.26,162,216,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Luca Rossettini,35,Defender,Chievo,1822,1012,810,Italy,21,12,9,0,0,0,0,0,0,0,0,4,2,2,39,21,18,5,0,0,0,0,0,0,0,1.93,47,87,364,0,0.25,347,425,173,24,1.2,1.7,0.7,0.6,5.4,0.2,0.7,0,0,0,0.2,0,0,0.4,0,0.2,0,0,0,38.2,85.2,0,3.4,0
404,Luca Siligardi,33,Forward,Parma,1644,885,759,Italy,29,16,13,1,0,1,2,0,2,0,0,7,5,2,25,8,17,2,0,0.16,0.11,0.05,0,0.12,1644,1.37,66,57,822,822,0.11,235,132,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Luca Valzania,25,Midfielder,Frosinone,977,614,363,Italy,15,9,6,2,1,1,1,1,0,0,0,2,1,1,19,15,4,4,0,0.28,0.09,0.18,0.15,0.25,489,1.75,51,65,244,977,0.37,98,162,-1,4,1.6,1.2,1,0,0.5,1.5,0,0,2,1,1.5,0.8,0.5,1.3,0,0.4,1.4,1,0.8,19.4,77,0.2,0.8,0.1
406,Luca Valzania,25,Midfielder,Frosinone,977,614,363,Italy,15,9,6,2,1,1,1,1,0,0,0,2,1,1,19,15,4,4,0,0.28,0.09,0.18,0.15,0.25,489,1.75,51,65,244,977,0.37,98,162,-1,4,2.5,0.5,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,13,76.9,0,0.5,0
407,Lucas Biglia,35,Midfielder,AC Milan,1114,520,594,Argentina,16,8,8,1,0,1,0,0,0,0,0,2,2,0,13,6,7,3,0,0.08,0,0.08,0,0.15,1114,1.05,86,70,371,0,0.24,185,397,-1,14,3.8,1.4,1.3,0.1,1.3,1.6,0.2,0,1,0,0.4,0.8,0.2,1,0,0.8,0.6,0,0.8,51.9,90.4,0.1,3.6,0
408,Lucas Castro,32,Midfielder,Cagliari,899,435,464,Argentina,12,6,6,1,1,0,3,3,0,0,0,3,2,1,11,3,8,1,0,0.4,0.3,0.1,0.21,0,899,1.1,82,75,899,300,0.1,168,12,-1,5,1.5,1.4,1.4,0,0.5,1.3,0.3,0,1,3,0.8,1.3,0.6,0.8,0.2,1.8,2.5,3,1.3,36.8,80,0.8,0.9,0
409,Lucas Gemello,20,Goalkeeper,Torino,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Lucas Leiva,34,Midfielder,Lazio,1988,894,1094,Brazil,27,13,14,0,0,0,2,2,0,0,0,10,5,5,23,10,13,7,0,0.09,0.09,0,0,0,0,1.04,86,74,284,994,0.32,388,160,-1,22,3.4,2,1.7,0,1.4,1.5,0.4,0,0,2,0.6,1.1,0.4,0.7,0.1,0.9,0.3,2,1.1,51,87.9,0.4,2.6,0.1
