,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
602,Wesley Lautoa,33,Defender,Dijon,3025,1407,1618,New Caledonia,34,16,18,0,0,0,0,0,0,0,0,6,4,2,48,20,28,13,1,0,0,0,0,0,0,1.43,63,89,233,0,0.39,319,336,140,25,2.4,2.6,1.5,0.3,3.1,1.2,0.4,1,0,0,0.4,0.1,0.4,1.1,0,0.3,0.5,0,0.1,46.5,86.5,0,3.4,0
603,Wesley Saïd,25,Forward,Dijon,2260,1141,1119,France,34,17,17,4,3,1,1,1,0,0,1,5,4,1,41,20,21,4,0,0.2,0.04,0.16,0.24,0.08,565,1.63,55,66,565,2260,0.16,113,213,-1,2,0.7,0.3,1.4,0,0.3,0.4,0,0,4,1,1.7,0.8,1.3,0.4,0.2,0.9,1.4,1,0.8,16.1,74.5,0.2,0.4,0
604,Wilfried Aka Kanga,23,Forward,Angers SCO,482,204,278,France,18,11,7,2,0,2,0,0,0,0,0,5,4,1,5,2,3,3,0,0.37,0,0.37,0,0.65,241,0.93,96,27,161,0,0.56,34,390,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Willem Geubbels,19,Forward,Monaco,7,7,0,France,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,33.3,0,0,0
606,William Saliba,20,Defender,Saint-Étienne,1276,583,693,France,16,7,9,0,0,0,0,0,0,0,0,8,4,4,9,2,7,1,0,0,0,0,0,0,0,0.63,142,80,1276,0,0.07,411,369,7,20,2,1.8,0.6,0.1,2.7,0.5,0.6,0,0,0,0.3,0.1,0.6,0.7,0,0.5,0.7,0,0.1,40.3,85.6,0,2.9,0
607,William Vainqueur,32,Midfielder,Monaco,79,46,33,France,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,2.28,40,26,0,0,0,-1,-1,-1,18,2,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0,1,1,0,0,21.3,90.6,0,0,0
608,Wilson Isidor,20,Forward,Monaco,41,41,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4.39,21,41,0,0,0,-1,-1,-1,26,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,8,50,0,0,0
609,Wylan Cyprien,26,Midfielder,Nice,2395,1239,1156,France,29,15,14,4,3,1,2,1,1,1,1,13,8,5,20,9,11,3,1,0.23,0.08,0.15,0.22,0.08,599,0.75,120,83,798,1198,0.11,120,161,-1,3,1.4,0.4,0.8,0,0.5,1,0.2,0,4,2,1.8,2.1,0.7,1.7,0,0.8,1,2,2.1,64.7,87.5,1.2,4.3,0.1
610,Xavier Chavalerin,30,Midfielder,Reims,3240,1530,1710,France,36,17,19,2,1,1,2,1,1,0,0,14,6,8,37,14,23,8,0,0.11,0.06,0.06,0.06,0.05,1620,1.03,88,90,405,1620,0.22,196,193,-1,8,2.9,2,1.3,0,0.9,1.2,0.3,0,2,2,0.6,1.3,0.6,0.3,0,0.5,0.8,2,1.3,39,80.5,0.8,2.9,0
611,Xeka,26,Midfielder,Lille,2264,1214,1050,Portugal,27,15,12,2,2,0,0,0,0,0,0,11,7,4,16,7,9,10,0,0.08,0,0.08,0.15,0,1132,0.64,142,84,226,0,0.4,177,419,-1,8,2.2,0.8,2.1,0,1,1.4,0.1,0,2,0,1.3,0.4,0.3,1,0,0.5,1.2,0,0.4,44.7,82,0.2,2.5,0
