,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
10,Joselu,0.7,0.4,1.4,1.3,0.1,0.0,11.0,2.0,2.4,0.4,0.4,1.6,0.2,1.2,2.5,2.0,0.4,26.9,52.0,0.0,0.9,0.0
11,Lucas Ocampos,1.6,0.7,1.3,0.7,0.1,0.0,14.0,3.0,2.5,0.7,2.1,1.7,0.4,2.2,2.8,3.0,0.7,25.4,79.9,0.6,0.8,0.0
12,Raúl García,1.6,0.7,2.2,1.2,0.2,0.0,15.0,1.0,2.3,0.6,0.3,1.7,0.5,0.4,1.7,1.0,0.6,26.8,55.9,0.1,0.6,0.0
13,Toni Kroos,1.6,0.7,0.8,0.4,0.0,0.0,4.0,5.0,1.6,1.7,0.9,1.2,0.1,0.4,0.5,5.0,1.7,66.7,93.5,1.0,6.9,0.0
14,Daniel Carvajal,2.1,1.2,1.4,1.1,0.5,0.0,1.0,5.0,0.6,1.3,0.8,1.0,0.1,0.8,1.3,5.0,1.3,64.4,86.6,0.7,2.9,0.0
15,Santi Cazorla,1.4,0.5,0.8,0.3,0.0,0.0,11.0,9.0,1.4,2.0,1.4,1.1,0.1,0.9,1.7,9.0,2.0,44.9,86.4,1.2,4.0,0.1
16,Koke Vegas,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.5,63.3,0.0,6.0,0.0
17,Chimy Avila,0.9,0.2,2.3,0.3,0.0,0.0,9.0,2.0,3.5,1.1,0.8,2.2,1.2,1.5,2.5,2.0,1.1,14.5,57.2,0.2,0.8,0.0
18,Marcelo,1.3,1.2,0.5,1.2,0.1,0.0,1.0,2.0,1.1,1.7,1.2,1.2,0.0,0.7,1.3,2.0,1.7,59.2,84.2,1.1,3.3,0.1
19,Nacho,1.8,2.0,1.5,2.5,0.5,0.0,1.0,0.0,1.0,0.5,0.2,1.2,0.0,0.3,0.8,0.0,0.5,41.7,86.8,0.3,1.3,0.0
20,Rafinha,2.4,1.1,1.2,0.7,0.1,0.0,4.0,1.0,1.1,0.8,2.1,3.4,0.1,1.7,2.1,1.0,0.8,44.1,87.1,0.1,1.8,0.2
21,Martin Ødegaard,0.9,0.5,0.8,0.1,0.0,0.0,4.0,6.0,1.6,2.0,2.0,1.2,0.0,1.2,1.7,6.0,2.0,48.2,84.7,1.1,1.8,0.2
22,Éver Banega,1.3,0.5,0.9,0.1,0.0,0.0,3.0,7.0,1.2,1.8,1.8,1.7,0.1,1.2,1.6,7.0,1.8,67.0,86.0,1.5,7.3,0.2
23,Sergio Reguilón,1.8,1.1,1.8,1.4,0.2,0.0,2.0,4.0,0.9,1.3,1.6,1.5,0.1,0.8,1.6,4.0,1.3,47.4,81.4,0.9,2.3,0.0
24,Thomas Partey,2.0,1.4,1.4,1.1,0.2,0.0,3.0,0.0,0.9,0.5,1.6,0.9,0.0,0.4,0.7,0.0,0.5,46.8,83.4,0.1,2.9,0.0
25,Sébastien Corchia,0.7,1.7,1.3,1.7,0.7,0.0,0.0,0.0,1.0,2.3,2.0,1.7,0.0,1.0,1.3,0.0,2.3,40.7,85.2,3.0,1.7,0.0
26,Sergio Ramos,1.3,1.4,1.5,2.8,0.3,0.0,11.0,0.0,1.1,0.1,0.3,0.8,0.2,0.1,0.4,0.0,0.1,61.4,91.0,0.0,6.8,0.0
27,Sergio Busquets,2.4,1.3,1.4,0.6,0.2,0.0,2.0,2.0,0.3,0.7,0.7,1.5,0.0,0.4,0.5,2.0,0.7,78.0,89.9,0.0,3.3,0.2
28,André-Frank Zambo Anguissa,2.1,1.2,1.2,0.8,0.2,0.0,2.0,0.0,0.8,0.5,2.4,1.1,0.0,1.3,2.0,0.0,0.5,40.6,87.8,0.1,1.6,0.0
29,Mikel Oyarzabal,1.0,0.4,0.9,0.4,0.1,0.0,10.0,11.0,1.7,1.4,1.8,1.5,0.4,1.4,2.4,11.0,1.4,28.0,77.5,0.6,1.2,0.1
30,Gerard Piqué,0.9,1.0,0.9,4.3,0.7,0.0,1.0,0.0,0.4,0.1,0.2,0.5,0.0,0.3,0.4,0.0,0.1,76.6,91.8,0.0,4.3,0.0
31,Yassine Bounou,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,1.0,0.2,24.0,68.8,0.0,6.8,0.0
32,Koke,2.2,0.9,0.7,0.7,0.3,0.0,4.0,5.0,0.7,1.8,0.4,1.0,0.0,1.1,1.4,5.0,1.8,51.4,85.2,0.6,1.3,0.1
33,Daniel Parejo,1.9,0.6,0.7,0.5,0.3,0.0,8.0,3.0,1.0,1.7,1.1,2.6,0.1,0.9,1.0,3.0,1.7,64.1,86.3,1.4,6.0,0.1
34,Luka Modric,1.2,0.7,1.0,0.3,0.1,0.0,3.0,7.0,1.0,1.3,1.4,0.9,0.0,0.9,1.0,7.0,1.3,44.8,88.6,0.5,3.7,0.1
