,Player,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
97,Marko Rog,2.3,0.7,2.0,0.0,0.5,0.4,0.0,1.0,1.0,1.0,1.0,1.8,1.4,0.0,1.2,1.4,1.0,1.0,37.8,86.4,0.3,1.6,0.0
98,Sandro Tonali,1.1,1.2,1.2,0.0,1.1,0.4,0.0,1.0,7.0,0.8,1.9,1.1,1.7,0.0,0.9,1.4,7.0,1.9,39.0,76.1,2.0,3.1,0.1
99,Simone Pinna,1.0,5.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,60.0,85.0,2.0,8.0,0.0
100,Alessio gnoli,1.3,1.6,1.2,0.7,4.3,0.5,0.0,1.0,0.0,0.4,0.3,0.1,0.6,0.0,0.0,0.2,0.0,0.3,56.7,90.7,0.0,3.8,0.0
101,Hernani ,1.9,1.6,1.4,0.0,1.4,0.3,0.0,0.0,4.0,1.1,0.9,1.1,0.6,0.1,0.7,0.9,4.0,0.9,29.5,77.1,0.9,2.7,0.0
102,Riccardo Gagliolo ,1.8,1.6,1.0,0.2,2.4,0.6,0.0,3.0,2.0,1.0,0.7,0.5,1.2,0.1,0.2,0.6,2.0,0.7,34.8,77.3,0.4,2.3,0.0
103,Etrit Berisha ,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,28.2,66.0,0.0,7.2,0.0
104,Simon Kjaer,1.5,1.0,0.7,0.9,3.4,1.1,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.1,0.3,0.0,0.0,46.5,88.5,0.0,3.5,0.0
105,Matteo Scozzarella ,1.4,1.7,0.7,0.0,1.6,0.9,0.0,0.0,3.0,0.3,0.9,0.4,0.6,0.0,0.4,0.5,3.0,0.9,27.4,81.3,0.9,2.4,0.0
106,Ante Rebic,0.6,0.1,1.0,0.0,0.5,0.0,0.0,11.0,3.0,1.6,1.2,0.9,0.5,0.1,0.8,2.1,3.0,1.2,13.8,65.7,0.3,0.3,0.0
