,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
216,Joseph Alfred Duncan,1,5,1.2,0.9,1.0,1.0,0.0,1.1,1.5,6.67
217,Nicolas Nkoulou,1,0.0,0.3,0.1,0.3,0.8,0.0,0.3,0.4,6.67
218,Davide Biraschi,0.0,1,0.3,0.3,1.5,1.0,0.0,0.9,1.0,6.67
219,Rolando Mandragora,0.0,2,2.1,1.3,0.5,0.8,0.0,0.6,1.0,6.67
220,Dalbert,0.0,5,0.6,1.2,0.5,1.1,0.1,0.7,1.1,6.66
221,Simone Zaza,6,1,2.0,0.5,0.4,1.4,0.4,1.1,3.4,6.66
222,Hans Hateboer,0.0,4,0.6,1.4,0.3,0.6,0.2,0.6,0.9,6.66
223,Federico Mattiello,0.0,1,0.4,0.4,0.6,1.3,0.1,0.7,0.8,6.66
224,Allan,2,1,0.5,0.7,0.8,1.0,0.0,0.7,1.3,6.66
225,Christian Kouamé,1,1,1.4,0.7,1.1,0.9,0.0,1.7,2,6.66
226,Gregoire Defrel,3,3,1.2,0.6,0.6,0.7,0.2,0.8,1.5,6.66
227,Nehuén Paz,0.0,1,0.7,0.3,0.0,0.7,0.0,0.0,0.0,6.66
228,Danilo,2,0.0,0.6,0.7,0.7,0.6,0.1,0.1,0.5,6.66
229,Morten Thorsby,1,1,0.8,0.8,0.3,0.3,0.1,0.3,1,6.66
230,Rodrigo Becão,1,1,0.2,0.1,0.0,0.9,0.0,0.2,0.4,6.66
231,Simone Missiroli ,1,0.0,0.4,0.5,0.7,0.8,0.0,0.5,0.9,6.65
232,Lukasz Skorupski,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.65
233,Nahitan Nández,2,3,0.7,1,1.1,1.4,0.2,1.1,1.3,6.65
234,Simon Kjaer,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.65
235,Matteo Gabbia,0.0,0.0,0.4,0.1,0.0,0.3,0.0,0.0,0.4,6.65
236,Nikola Kalinic,5,1,1.3,0.5,0.1,1.3,0.1,0.4,1.3,6.65
237,Federico Fazio,1,0.0,0.3,0.1,0.5,0.4,0.1,0.3,0.5,6.65
238,Cristián Zapata,1,0.0,0.6,0.3,0.3,0.6,0.0,0.1,0.4,6.64
239,Mert Müldür,2,1,0.5,0.4,0.7,0.7,0.0,0.4,0.8,6.64
240,Milan Badelj,1,0.0,0.7,1,0.9,0.9,0.0,0.8,0.9,6.64
241,Aaron Ramsey,3,1,1.2,0.8,0.6,0.8,0.1,0.8,1.2,6.63
242,Tommaso Augello,0.0,2,0.0,1.1,1.1,0.2,0.1,0.7,0.7,6.63
243,Vlad Chiriches,0.0,0.0,0.2,0.0,0.7,0.3,0.1,0.3,0.7,6.63
244,Marco Mancosu,14,2,2.5,0.9,0.6,0.5,0.3,0.6,1.7,6.63
245,Federico Bonazzoli,6,0.0,2.3,0.6,0.5,1.8,0.2,0.5,0.9,6.63
246,Sebastian Walukiewicz,0.0,0.0,0.1,0.2,0.8,0.1,0.0,0.3,0.1,6.63
247,Giulio Donati,1,0.0,0.5,1.3,0.5,1.5,0.0,0.5,0.8,6.63
248,Iago Falque,2,1,1.5,1,1.5,0.2,0.3,0.5,0.9,6.62
