,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
115,Sven Bender,1.5,1.9,0.8,0.4,3.5,0.4,0.5,1.0,0.0,0.0,0.5,0.1,0.2,0.4,0.1,0.1,0.5,0.0,0.1,61.8,90.8,0.0,3.0,0.0
116,Robin Zentner,0.0,0.1,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,28.5,54.4,0.0,5.1,0.0
117,Jérôme Boateng,1.1,1.3,0.8,0.7,2.5,0.6,0.2,0.0,0.0,2.0,0.7,0.6,0.1,0.5,0.0,0.0,0.3,2.0,0.6,79.8,89.0,0.1,7.1,0.2
118,Martin Hinteregger,2.7,1.2,0.9,0.6,3.6,0.6,0.7,0.0,2.0,0.0,0.9,0.4,0.1,0.8,0.1,0.2,0.7,0.0,0.4,47.1,75.5,0.1,3.7,0.1
119,Stefan Bell,1.2,2.2,1.6,0.6,4.8,0.8,0.4,0.0,0.0,0.0,0.7,0.8,0.6,0.6,0.2,0.4,0.4,0.0,0.8,48.0,79.8,0.1,5.0,0.0
120,Makoto Hasebe,1.9,1.4,0.6,1.0,3.5,0.6,0.8,0.0,0.0,0.0,0.1,0.3,0.2,1.1,0.0,0.2,0.3,0.0,0.3,52.0,85.0,0.0,5.3,0.0
121,Christian Pulisic,0.5,0.3,0.5,0.0,0.5,0.2,0.1,0.0,4.0,4.0,1.4,1.0,2.1,1.3,0.4,2.2,2.0,4.0,1.0,24.2,79.5,0.4,0.1,0.1
122,Dayot Upamecano,1.5,2.2,1.1,0.7,2.9,0.2,0.3,0.0,0.0,0.0,0.7,0.2,0.5,0.3,0.0,0.6,0.6,0.0,0.2,49.9,82.5,0.0,2.9,0.0
123,Robin Knoche,0.8,1.4,0.4,0.5,4.3,0.4,0.9,0.0,3.0,0.0,0.5,0.0,0.3,0.5,0.0,0.2,0.4,0.0,0.0,65.7,85.9,0.0,6.3,0.0
124,Philipp Bargfrede,1.5,2.3,1.7,0.5,3.0,1.3,0.7,0.0,0.0,0.0,0.5,0.3,0.3,1.1,0.0,0.4,1.0,0.0,0.3,36.8,81.9,0.0,2.5,0.0
125,Giulio Donati,1.0,1.8,0.7,0.0,2.3,0.2,0.3,0.0,0.0,0.0,0.2,0.8,0.6,0.7,0.0,0.2,0.6,0.0,0.8,27.3,76.4,0.7,1.6,0.0
126,Alfred Finnbogason,0.4,0.2,1.9,0.0,0.6,0.4,0.1,0.0,10.0,1.0,2.2,1.1,0.7,0.5,1.2,1.3,2.3,1.0,1.1,17.6,68.1,0.1,0.5,0.1
